personId,game_winning_3,game_winning_2,game_winning_ft,game_winning_points,player_name
1630172,1,0,0,3,Patrick Williams
1630174,0,1,0,2,Aaron Nesmith
1630175,1,1,0,5,Cole Anthony
1630178,3,1,3,14,Tyrese Maxey
1630180,2,2,0,10,Saddiq Bey
1630182,1,0,0,3,Josh Green
1630183,0,2,0,4,Jaden McDaniels
1630188,1,0,0,3,Jalen Smith
1630191,2,1,1,9,Isaiah Stewart
1630193,4,0,1,13,Immanuel Quickley
1630194,0,2,0,4,Paul Reed
1630198,4,1,2,16,Isaiah Joe
1630200,1,1,3,8,Tre Jones
1630202,2,7,2,22,Payton Pritchard
1630217,4,6,6,30,Desmond Bane
1630224,1,1,0,5,Jalen Green
1630228,0,0,1,1,Jonathan Kuminga
1630230,2,1,0,8,Naji Marshall
1630241,1,1,0,5,Sam Merrill
1630245,1,2,1,8,Ayo Dosunmu
1630249,2,0,0,6,Vít Krejčí
1630286,0,1,0,2,Trevon Scott
1630314,2,3,1,13,Brandon Williams
1630529,1,1,1,6,Herbert Jones
1630530,2,0,2,8,Trey Murphy III
1630532,2,3,1,13,Franz Wagner
1630533,1,0,0,3,Ziaire Williams
1630536,0,2,0,4,Sharife Cooper
1630538,1,1,1,6,Bones Hyland
1630540,3,0,0,9,Miles McBride
1630541,1,0,0,3,Moses Moody
1630543,0,1,0,2,Isaiah Jackson
1630544,0,1,0,2,Tre Mann
1630545,1,0,1,4,Terrence Shannon Jr.
1630549,0,1,0,2,Day'Ron Sharpe
1630552,4,7,1,27,Jalen Johnson
1630557,0,2,0,4,Corey Kispert
1630558,1,0,0,3,Davion Mitchell
1630559,2,5,3,19,Austin Reaves
1630567,0,6,2,14,Scottie Barnes
1630568,1,2,1,8,Luka Garza
1630572,1,7,0,17,Sandro Mamukelashvili
1630573,2,1,0,8,Sam Hauser
1630577,5,2,2,21,Julian Champagnie
1630578,2,7,4,24,Alperen Sengun
1630581,1,1,2,7,Josh Giddey
1630583,1,1,0,5,Santi Aldama
1630590,0,1,0,2,Scotty Pippen Jr.
1630591,3,2,0,13,Jalen Suggs
1630592,1,0,0,3,Jalen Wilson
1630595,2,6,2,20,Cade Cunningham
1630596,0,5,3,13,Evan Mobley
1630598,1,1,0,5,Aaron Wiggins
1630611,0,2,1,5,Gui Santos
1630619,0,1,0,2,Moussa Cisse
1630631,3,1,1,12,Jose Alvarado
1630692,1,2,1,8,Jordan Goodwin
1630696,0,1,0,2,Dru Smith
1630700,0,2,0,4,Dyson Daniels
1631094,1,3,2,11,Paolo Banchero
1631095,2,3,3,15,Jabari Smith Jr.
1631096,1,3,2,11,Chet Holmgren
1631097,1,2,2,9,Bennedict Mathurin
1631101,0,2,0,4,Shaedon Sharpe
1631105,0,6,1,13,Jalen Duren
1631106,1,2,0,7,Tari Eason
1631107,0,1,0,2,Nikola Jović
1631108,0,1,0,2,Max Christie
1631109,0,2,1,5,Mark Williams
1631110,1,0,0,3,Jeremy Sochan
1631113,1,0,0,3,Kennedy Chandler
1631114,0,1,0,2,Jalen Williams
1631119,1,1,0,5,Jaylin Williams
1631121,0,1,0,2,Bryce McGowens
1631123,1,1,0,5,Jamaree Bouyea
1631124,0,1,0,2,Julian Strawther
1631126,1,0,1,4,Caleb Love
1631128,1,1,0,5,Christian Braun
1631133,1,0,0,3,Jabari Walker
1631157,1,2,1,8,Ryan Rollins
1631159,1,0,0,3,Leonard Miller
1631166,0,1,0,2,Drew Timme
1631169,1,0,0,3,Josh Minott
1631170,1,5,0,13,Jaime Jaquez Jr.
1631172,0,1,0,2,Ousmane Dieng
1631200,0,3,0,6,Kris Murray
1631204,1,0,0,3,Marcus Sasser
1631212,0,1,2,4,Peyton Watson
1631213,0,1,0,2,Tyrese Martin
1631217,0,2,1,5,Moussa Diabaté
1631221,1,2,0,7,Collin Gillespie
1631222,0,1,2,4,Jake LaRavia
1631223,0,2,0,4,David Roddy
1631230,0,1,0,2,Dominick Barlow
1631248,1,0,0,3,Baylor Scheierman
1631250,2,0,0,6,Pete Nance
1631260,3,0,0,9,AJ Green
1631321,0,2,0,4,Sidy Cissoko
1631323,1,1,0,5,Simone Fontecchio
1631342,0,1,0,2,Daeqwon Plowden
1641705,0,4,2,10,Victor Wembanyama
1641706,1,4,3,14,Brandon Miller
1641708,1,2,1,8,Amen Thompson
1641709,0,1,1,3,Ausar Thompson
1641710,1,1,1,6,Anthony Black
1641712,2,0,0,6,Rayan Rupert
1641713,0,1,0,2,GG Jackson
1641716,0,0,1,1,Jarace Walker
1641717,0,4,1,9,Cason Wallace
1641718,3,4,1,18,Keyonte George
1641722,1,0,0,3,Jordan Hawkins
1641724,1,0,0,3,Jett Howard
1641729,2,0,0,6,Brice Sensabaugh
1641730,2,2,0,10,Noah Clowney
1641733,2,1,0,8,Nick Smith Jr.
1641739,3,0,0,9,Toumani Camara
1641744,0,1,0,2,Zach Edey
1641750,0,2,0,4,Ryan Kalkbrenner
1641757,1,2,2,9,Jordan Miller
1641764,3,1,1,12,Brandin Podziemski
1641765,1,1,1,6,Olivier-Maxence Prosper
1641772,0,1,0,2,Nae'Qwan Tomlin
1641775,2,0,0,6,Jordan Walsh
1641783,0,1,0,2,Tristan da Silva
1641796,1,3,0,9,Pelle Larsson
1641824,2,0,1,7,Matas Buzelis
1641842,0,1,2,4,Ronald Holland II
1641871,1,0,0,3,Duop Reath
1641989,0,0,1,1,Elijah Harkless
1642258,1,1,0,5,Zaccharie Risacher
1642259,0,1,1,3,Alex Sarr
1642262,0,1,0,2,Cody Williams
1642263,3,2,1,14,Reed Sheppard
1642264,2,3,2,14,Stephon Castle
1642266,1,0,1,4,Ja'Kobe Walter
1642267,2,0,0,6,Bub Carrington
1642268,0,1,1,3,Isaiah Collier
1642270,0,2,2,6,Donovan Clingan
1642271,0,1,0,2,Kyle Filipowski
1642272,3,0,0,9,Jared McCain
1642273,0,1,1,3,Kyshawn George
1642274,0,0,1,1,Yves Missi
1642275,0,1,0,2,Tidjane Salaün
1642276,0,3,1,7,Kel'el Ware
1642278,2,0,0,6,Tyler Kolek
1642281,3,1,0,11,Jaylon Tyson
1642285,3,2,1,14,Cam Spencer
1642345,0,1,0,2,Oso Ighodaro
1642346,1,0,0,3,Ryan Dunn
1642347,3,1,0,11,Jamal Shead
1642348,0,1,1,3,Justin Edwards
