PLAYER_NAME,MIN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,DEF_LOOSE_BALLS_RECOVERED,DEF_BOXOUTS,CONTESTED_SHOTS_2PT_per_36,CONTESTED_SHOTS_3PT_per_36,DEFLECTIONS_per_36,CHARGES_DRAWN_per_36,DEF_LOOSE_BALLS_RECOVERED_per_36,DEF_BOXOUTS_per_36,CONTESTED_SHOTS_2PT_per_36_percentile_rk,CONTESTED_SHOTS_3PT_per_36_percentile_rk,DEFLECTIONS_per_36_percentile_rk,CHARGES_DRAWN_per_36_percentile_rk,DEF_LOOSE_BALLS_RECOVERED_per_36_percentile_rk,DEF_BOXOUTS_per_36_percentile_rk,mean
Donte DiVincenzo,2487.0,137,123,239,0,37,17,1.983112183353438,1.7804583835946923,3.459589867310012,0.0,0.5355850422195416,0.24607961399276235,0.16897506925207756,0.19390581717451524,0.8254847645429363,0.21606648199445982,0.9418282548476454,0.15512465373961218,0.4168975069252077
Drake Powell,1303.0,90,77,82,0,9,15,2.486569455103607,2.127398311588642,2.2655410590943976,0.0,0.2486569455103607,0.41442824251726784,0.3379501385041551,0.3878116343490305,0.3961218836565097,0.21606648199445982,0.32409972299168976,0.42382271468144045,0.34764542936288084
Draymond Green,1869.0,322,182,147,5,13,72,6.202247191011236,3.50561797752809,2.831460674157303,0.09630818619582664,0.2504012841091493,1.3868378812199036,0.8088642659279779,0.9113573407202216,0.6592797783933518,0.8310249307479224,0.33240997229916897,0.8808864265927978,0.7373037857802401
Drew Eubanks,552.0,111,30,36,1,2,21,7.239130434782609,1.9565217391304348,2.3478260869565215,0.06521739130434782,0.13043478260869565,1.3695652173913044,0.8670360110803325,0.296398891966759,0.4515235457063712,0.7590027700831025,0.04709141274238227,0.8698060941828255,0.5484764542936288
Dru Smith,1133.0,82,91,196,12,13,17,2.6054721977052075,2.89143865842895,6.227714033539276,0.38128861429832306,0.41306266548985,0.5401588702559577,0.38227146814404434,0.7313019390581718,1.0,0.9916897506925207,0.8116343490304709,0.5595567867036011,0.7460757156048015
Duncan Robinson,2113.0,142,114,139,6,13,29,2.4193090392806433,1.942262186464742,2.36819687647894,0.10222432560340747,0.22148603880738285,0.4940842404164695,0.31301939058171746,0.29085872576177285,0.4598337950138504,0.8448753462603878,0.23545706371191136,0.5069252077562327,0.4418282548476455
Dwight Powell,899.0,190,49,87,5,16,44,7.60845383759733,1.9621802002224695,3.4838709677419355,0.20022246941045607,0.6407119021134594,1.7619577308120133,0.889196675900277,0.3047091412742382,0.8365650969529086,0.9529085872576177,0.9806094182825484,0.9418282548476454,0.8176361957525392
Dylan Cardwell,901.0,244,48,60,0,6,37,9.749167591564929,1.9178690344062153,2.3973362930077693,0.0,0.2397336293007769,1.4783573806881245,0.96398891966759,0.26869806094182824,0.481994459833795,0.21606648199445982,0.2880886426592798,0.8947368421052632,0.5189289012003694
Dylan Harper,1558.0,135,66,92,0,20,6,3.1193838254172017,1.5250320924261873,2.1258023106546857,0.0,0.4621309370988447,0.1386392811296534,0.48753462603878117,0.09418282548476455,0.32409972299168976,0.21606648199445982,0.889196675900277,0.027700831024930747,0.33979686057248387
Dyson Daniels,2520.0,228,189,315,3,38,21,3.257142857142857,2.6999999999999997,4.5,0.04285714285714286,0.5428571428571428,0.3,0.5235457063711911,0.6786703601108033,0.9418282548476454,0.6565096952908587,0.9473684210526315,0.2520775623268698,0.6666666666666666
Egor Dëmin,1308.0,132,84,88,3,7,19,3.6330275229357802,2.3119266055045875,2.422018348623853,0.08256880733944955,0.19266055045871558,0.5229357798165137,0.5844875346260388,0.48753462603878117,0.49584487534626037,0.817174515235457,0.14681440443213298,0.5457063711911357,0.512927054478301
Evan Mobley,2074.0,464,205,116,0,13,78,8.054001928640309,3.5583413693346193,2.0135004821600773,0.0,0.22565091610414656,1.3539054966248796,0.9224376731301939,0.925207756232687,0.28254847645429365,0.21606648199445982,0.24653739612188366,0.8614958448753463,0.5757156048014774
GG Jackson,1173.0,166,95,63,0,10,7,5.094629156010231,2.915601023017903,1.9335038363171355,0.0,0.3069053708439898,0.21483375959079282,0.7673130193905817,0.7479224376731302,0.24653739612188366,0.21606648199445982,0.5346260387811634,0.10249307479224377,0.43582640812557716
Gabe Vincent,855.0,54,67,67,4,7,9,2.2736842105263158,2.8210526315789473,2.8210526315789473,0.16842105263157894,0.2947368421052632,0.37894736842105264,0.25761772853185594,0.7174515235457064,0.6509695290858726,0.925207756232687,0.4792243767313019,0.3767313019390582,0.5678670360110804
Gary Harris,617.0,24,44,64,0,6,4,1.40032414910859,2.567260940032415,3.7341977309562395,0.0,0.3500810372771475,0.23338735818476497,0.060941828254847646,0.6094182825484764,0.8698060941828255,0.21606648199445982,0.667590027700831,0.12742382271468145,0.425207756232687
Gary Payton II,1122.0,77,60,143,0,14,11,2.4705882352941178,1.9251336898395721,4.588235294117647,0.0,0.44919786096256686,0.3529411764705882,0.3296398891966759,0.2742382271468144,0.9529085872576177,0.21606648199445982,0.8698060941828255,0.3268698060941828,0.494921514312096
Gary Trent Jr.,1298.0,23,30,96,0,7,7,0.637904468412943,0.8320493066255777,2.662557781201849,0.0,0.19414483821263484,0.19414483821263484,0.008310249307479225,0.002770083102493075,0.592797783933518,0.21606648199445982,0.15512465373961218,0.08033240997229917,0.17590027700831024
Goga Bitadze,972.0,206,89,84,1,9,50,7.62962962962963,3.2962962962962963,3.1111111111111107,0.03703703703703704,0.3333333333333333,1.8518518518518519,0.8919667590027701,0.8587257617728532,0.7285318559556787,0.6149584487534626,0.6121883656509696,0.9473684210526315,0.775623268698061
Gradey Dick,1029.0,31,30,117,3,12,8,1.0845481049562682,1.0495626822157433,4.093294460641399,0.10495626822157435,0.4198250728862974,0.27988338192419826,0.0221606648199446,0.0110803324099723,0.8975069252077562,0.853185595567867,0.8282548476454293,0.22160664819944598,0.47229916897506924
Grayson Allen,1443.0,80,76,119,0,16,9,1.9958419958419957,1.8960498960498962,2.9688149688149688,0.0,0.3991683991683992,0.22453222453222454,0.1745152354570637,0.25761772853185594,0.6952908587257618,0.21606648199445982,0.7867036011080333,0.11634349030470914,0.3744228993536473
Guerschon Yabusele,970.0,107,47,57,2,10,35,3.971134020618557,1.7443298969072165,2.1154639175257732,0.07422680412371134,0.3711340206185567,1.2989690721649483,0.6481994459833795,0.1745152354570637,0.3157894736842105,0.7950138504155124,0.703601108033241,0.850415512465374,0.5812557710064635
Gui Santos,1380.0,178,119,106,4,10,34,4.643478260869565,3.1043478260869564,2.765217391304348,0.10434782608695653,0.2608695652173913,0.8869565217391304,0.7257617728531855,0.8088642659279779,0.631578947368421,0.850415512465374,0.3739612188365651,0.7673130193905817,0.692982456140351
Harrison Barnes,1986.0,142,120,98,3,14,42,2.574018126888218,2.175226586102719,1.7764350453172206,0.054380664652567974,0.2537764350453172,0.7613293051359517,0.3739612188365651,0.42382271468144045,0.17174515235457063,0.7119113573407202,0.3462603878116344,0.7008310249307479,0.4547553093259465
Herbert Jones,1588.0,105,105,194,2,16,33,2.380352644836272,2.380352644836272,4.397984886649874,0.04534005037783375,0.36272040302267,0.7481108312342568,0.30193905817174516,0.5235457063711911,0.9335180055401662,0.6703601108033241,0.6897506925207756,0.6897506925207756,0.6348107109879962
Hugo González,1071.0,109,74,68,2,10,11,3.6638655462184873,2.4873949579831933,2.2857142857142856,0.06722689075630252,0.3361344537815126,0.3697478991596639,0.592797783933518,0.5734072022160664,0.42382271468144045,0.7617728531855956,0.628808864265928,0.3628808864265928,0.5572483841181902
Immanuel Quickley,2231.0,128,115,162,0,20,23,2.065441506051098,1.8556701030927834,2.614074406095921,0.0,0.3227252353204841,0.3711340206185567,0.1883656509695291,0.2299168975069252,0.5734072022160664,0.21606648199445982,0.5650969529085873,0.3656509695290859,0.3564173591874423
Isaac Okoro,1695.0,227,119,96,14,13,44,4.8212389380530976,2.527433628318584,2.038938053097345,0.2973451327433628,0.2761061946902655,0.9345132743362832,0.7506925207756233,0.590027700831025,0.2880886426592798,0.9778393351800554,0.44182825484764543,0.7700831024930748,0.6364265927977839
Isaiah Collier,1468.0,46,104,100,1,7,4,1.1280653950953679,2.5504087193460494,2.452316076294278,0.024523160762942777,0.17166212534059946,0.09809264305177111,0.024930747922437674,0.6011080332409973,0.5152354570637119,0.5249307479224377,0.10803324099722991,0.008310249307479225,0.29709141274238227
Isaiah Hartenstein,1137.0,227,92,94,1,12,66,7.1873350923482855,2.9129287598944593,2.9762532981530345,0.0316622691292876,0.37994722955145116,2.0897097625329817,0.8587257617728532,0.7451523545706371,0.6980609418282548,0.5844875346260388,0.739612188365651,0.9806094182825484,0.7677746999076639
Isaiah Jackson,906.0,193,88,101,0,6,22,7.668874172185431,3.4966887417218544,4.013245033112582,0.0,0.23841059602649006,0.8741721854304636,0.8975069252077562,0.9085872576177285,0.8919667590027701,0.21606648199445982,0.2839335180055402,0.7534626038781164,0.6585872576177285
Isaiah Joe,1507.0,66,103,114,8,13,15,1.5766423357664234,2.4605175846051757,2.723291307232913,0.19110816191108163,0.31055076310550767,0.35832780358327804,0.0886426592797784,0.5595567867036011,0.6121883656509696,0.9473684210526315,0.5429362880886427,0.3407202216066482,0.515235457063712
Isaiah Stewart,1317.0,385,142,32,0,9,55,10.523917995444192,3.8815489749430525,0.8747152619589977,0.0,0.2460136674259681,1.5034168564920274,0.9833795013850416,0.9667590027700831,0.00554016620498615,0.21606648199445982,0.3157894736842105,0.9058171745152355,0.5655586334256695
Ivica Zubac,1447.0,340,99,47,0,8,65,8.458880442294403,2.463026952315135,1.1693158258465792,0.0,0.1990324809951624,1.6171389080856944,0.9335180055401662,0.5650969529085873,0.030470914127423823,0.21606648199445982,0.16620498614958448,0.9196675900277008,0.47183748845798706
Ja'Kobe Walter,1474.0,91,97,170,5,14,11,2.2225237449118045,2.3690637720488468,4.151967435549525,0.12211668928086838,0.3419267299864315,0.26865671641791045,0.24376731301939059,0.5124653739612188,0.9058171745152355,0.8781163434903048,0.6454293628808865,0.19667590027700832,0.5637119113573408
Jabari Smith Jr.,2705.0,313,160,117,0,21,44,4.165619223659889,2.129390018484288,1.557116451016636,0.0,0.2794824399260628,0.5855822550831793,0.6814404432132964,0.39058171745152354,0.10803324099722991,0.21606648199445982,0.45429362880886426,0.6121883656509696,0.41043397968605727
Jabari Walker,729.0,59,39,52,4,6,8,2.9135802469135803,1.9259259259259258,2.567901234567901,0.19753086419753085,0.29629629629629634,0.3950617283950617,0.44321329639889195,0.2770083102493075,0.5512465373961218,0.9501385041551247,0.481994459833795,0.40166204986149584,0.5175438596491228
Jaden Hardy,824.0,38,33,36,3,5,11,1.6601941747572815,1.441747572815534,1.5728155339805825,0.13106796116504854,0.21844660194174756,0.4805825242718446,0.0997229916897507,0.08033240997229917,0.11357340720221606,0.8864265927977839,0.23268698060941828,0.49584487534626037,0.3180978762696214
Jaden McDaniels,2316.0,275,174,156,1,26,9,4.274611398963731,2.7046632124352334,2.4248704663212437,0.015544041450777202,0.40414507772020725,0.13989637305699482,0.6925207756232687,0.6814404432132964,0.4986149584487535,0.44598337950138506,0.7977839335180056,0.030470914127423823,0.5244690674053555
Jae'Sean Tate,384.0,40,28,24,2,4,11,3.75,2.625,2.25,0.1875,0.375,1.03125,0.6066481994459834,0.6371191135734072,0.389196675900277,0.9418282548476454,0.7188365650969529,0.7950138504155124,0.6814404432132964
Jaime Jaquez Jr.,2121.0,229,155,106,0,17,48,3.886845827439887,2.630834512022631,1.799151343705799,0.0,0.28854314002828857,0.8147100424328148,0.6398891966759003,0.6398891966759003,0.18282548476454294,0.21606648199445982,0.46814404432132967,0.7313019390581718,0.47968605724838415
