player,pos,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Kentavious Caldwell-Pope,SG,0.533,17.7,-0.1,0.7659574468085106,0.48936170212765956,0.5851063829787234,1.8404255319148937
Toumani Camara,PF,0.578,16.3,0.7,0.515625,0.390625,0.375,1.28125
Clint Capela,C,0.54,13.7,0.6,0.9571428571428572,0.2,0.5285714285714286,1.685714285714286
Dylan Cardwell,C,0.591,11.3,0,0.6714285714285714,0.08571428571428572,0.8285714285714286,1.5857142857142859
Branden Carlson,C,0.613,18.9,0.4,0.5285714285714286,0.6714285714285714,0.6428571428571429,1.842857142857143
Bub Carrington,PG,0.556,18,-1.6,0.5901639344262295,0.26229508196721313,1,1.8524590163934427
Jevon Carter,PG,0.537,17,0.2,0.6885245901639344,0.21311475409836064,0.6229508196721312,1.5245901639344264
Wendell Carter Jr.,C,0.617,15.6,0.8,0.5,0.3,0.4714285714285714,1.2714285714285714
Alex Caruso,SG,0.54,15.7,1,0.6914893617021277,0.32978723404255317,0.2553191489361702,1.2765957446808511
Stephon Castle,PG,0.575,24.9,2,0.39344262295081966,0.7377049180327869,0.22950819672131148,1.3606557377049182
Justin Champagnie,SF,0.589,16.7,0.6,0.3582089552238806,0.3283582089552239,0.417910447761194,1.1044776119402986
Julian Champagnie,SF,0.609,15.2,1.9,0.19402985074626866,0.2537313432835821,0.19402985074626866,0.6417910447761195
Cam Christie,SG,0.484,16.9,-0.3,0.9574468085106383,0.425531914893617,0.7340425531914894,2.117021276595745
Max Christie,SG,0.601,16.5,0.3,0.24468085106382978,0.3829787234042553,0.44680851063829785,1.0744680851063828
Sidy Cissoko,SF,0.514,12.5,-0.7,0.9701492537313433,0.04477611940298507,0.9552238805970149,1.9701492537313432
Jaylen Clark,SG,0.534,13.3,-0.1,0.7553191489361702,0.09574468085106383,0.5851063829787234,1.4361702127659575
Jordan Clarkson,SG,0.548,21.1,-0.4,0.6276595744680851,0.7659574468085106,0.7872340425531915,2.1808510638297873
Nic Claxton,C,0.592,17.7,1.4,0.6428571428571429,0.5142857142857142,0.3,1.457142857142857
Walter Clayton,PG,0.523,18.5,-0.8,0.8032786885245902,0.29508196721311475,0.9508196721311475,2.0491803278688527
Nique Clifford,SG,0.505,17,-1.4,0.9042553191489362,0.44680851063829785,0.9893617021276596,2.3404255319148937
Donovan Clingan,C,0.604,16.9,2.6,0.5714285714285714,0.45714285714285713,0.07142857142857142,1.0999999999999999
Noah Clowney,PF,0.554,20.4,-0.6,0.765625,0.71875,0.96875,2.453125
Amir Coffey,SG,0.594,11.9,-0.1,0.3191489361702128,0.05319148936170213,0.5851063829787234,0.9574468085106383
Isaiah Collier,PG,0.567,20.4,-0.2,0.45901639344262296,0.4426229508196721,0.8524590163934426,1.7540983606557377
John Collins,PF,0.643,19.5,0.7,0.109375,0.65625,0.375,1.140625
Mike Conley,PG,0.517,11.5,0.2,0.8688524590163934,0.01639344262295082,0.6229508196721312,1.5081967213114753
Pat Connaughton,SG,0.586,14.9,0.2,0.35106382978723405,0.26595744680851063,0.48936170212765956,1.1063829787234043
Sharife Cooper,PG,0.609,20,-0.3,0.13114754098360656,0.4098360655737705,0.8688524590163934,1.4098360655737705
Bilal Coulibaly,SG,0.531,19.9,-0.1,0.7978723404255319,0.6702127659574468,0.5851063829787234,2.0531914893617023
Cedric Coward,SG,0.585,21.5,0.7,0.3617021276595745,0.776595744680851,0.32978723404255317,1.4680851063829787
Cade Cunningham,PG,0.564,30.5,4.6,0.5081967213114754,0.9344262295081968,0.04918032786885246,1.4918032786885247
Stephen Curry,PG,0.637,32.5,2.5,0.01639344262295082,0.9672131147540983,0.18032786885245902,1.1639344262295082
Dyson Daniels,SG,0.542,16,2.1,0.6702127659574468,0.35106382978723405,0.06382978723404255,1.0851063829787235
Tristan Da Silva,SF,0.576,16.2,0.7,0.4925373134328358,0.31343283582089554,0.373134328358209,1.1791044776119404
Egor Dёmin,PG,0.561,18.8,0.1,0.5573770491803278,0.3442622950819672,0.6721311475409836,1.5737704918032787
DeMar DeRozan,PF,0.594,22.8,1.1,0.375,0.84375,0.203125,1.421875
Moussa Diabaté,C,0.653,11.4,1.8,0.2857142857142857,0.1,0.14285714285714285,0.5285714285714285
Mohamed Diawara,SF,0.55,17.1,0,0.7313432835820896,0.373134328358209,0.6865671641791045,1.791044776119403
Gradey Dick,SG,0.538,18.7,-0.4,0.7127659574468085,0.6170212765957447,0.7872340425531915,2.117021276595745
Ousmane Dieng,C,0.516,19.7,-0.5,0.9857142857142858,0.7428571428571429,0.9714285714285714,2.7
Rob Dillingham,PG,0.469,23.1,-1.3,0.9672131147540983,0.6229508196721312,0.9672131147540983,2.557377049180328
Donte DiVincenzo,SG,0.567,16.9,1.7,0.5319148936170213,0.425531914893617,0.10638297872340426,1.0638297872340425
Luka Dončić,PG,0.616,38.1,6.6,0.06557377049180328,1,0.01639344262295082,1.0819672131147542
Luguentz Dort,SF,0.524,14.1,0,0.9552238805970149,0.13432835820895522,0.6865671641791045,1.7761194029850746
Ayo Dosunmu,SG,0.63,20.2,1.4,0.07446808510638298,0.7127659574468085,0.1702127659574468,0.9574468085106382
Andre Drummond,C,0.539,14.9,0.4,0.9714285714285714,0.2571428571428571,0.6428571428571429,1.8714285714285714
Kris Dunn,PG,0.581,12.4,0.6,0.3114754098360656,0.06557377049180328,0.45901639344262296,0.8360655737704918
Ryan Dunn,SF,0.532,13.7,0.4,0.8955223880597015,0.1044776119402985,0.4925373134328358,1.4925373134328357
Kevin Durant,SF,0.641,27.1,4.7,0,0.8955223880597015,0.014925373134328358,0.9104477611940299
Jalen Duren,C,0.688,23.6,3.5,0.12857142857142856,0.8714285714285714,0.04285714285714286,1.042857142857143
Tari Eason,PF,0.514,18.7,0.2,0.9375,0.578125,0.59375,2.109375
VJ Edgecombe,SG,0.54,20.1,1,0.6914893617021277,0.6914893617021277,0.2553191489361702,1.6382978723404256
