PLAY_TYPE,PLAYER_NAME,TEAM_ABBREVIATION,POSS,POSS_PCT,player_ppp,league_ppp,pts_saved_above_lg_avg
OffScreen,Miles Bridges,CHA,52,0.066,1.25,0.9780956191238248,-14.13902780556111
OffScreen,Amen Thompson,HOU,69,0.066,0.9710144927536232,0.9780956191238248,0.4885977195439132
OffScreen,Stephon Castle,SAS,58,0.07,1.1896551724137931,0.9780956191238248,-12.270454090818163
OffScreen,Julian Champagnie,SAS,69,0.094,1.0144927536231885,0.9780956191238248,-2.5114022804560925
OffScreen,Matas Buzelis,CHI,71,0.08,1.0985915492957747,0.9780956191238248,-8.555211042208445
OffScreen,Jaden McDaniels,MIN,85,0.077,0.9529411764705882,0.9780956191238248,2.1381276255251134
Isolation,Dejounte Murray,NOP,11,0.077,0.5454545454545454,0.9297001303780965,4.226701434159062
Isolation,Jayson Tatum,BOS,10,0.061,0.6,0.9297001303780965,3.2970013037809656
Isolation,Keaton Wallace,ATL,12,0.063,0.5833333333333334,0.9297001303780965,4.156401564537157
Isolation,Jalen Wilson,BKN,17,0.057,0.47058823529411764,0.9297001303780965,7.8049022164276405
Isolation,Scoot Henderson,POR,13,0.046,0.6153846153846154,0.9297001303780965,4.086101694915254
Isolation,Kevin Love,UTA,11,0.053,0.7272727272727273,0.9297001303780965,2.2267014341590614
Isolation,Jared McCain,PHI,10,0.051,0.8,0.9297001303780965,1.2970013037809647
Isolation,Jaden Hardy,DAL,14,0.097,0.6428571428571429,0.9297001303780965,4.015801825293351
Isolation,Oscar Tshiebwe,UTA,11,0.052,0.8181818181818182,0.9297001303780965,1.226701434159061
Isolation,Ja Morant,MEM,11,0.056,0.8181818181818182,0.9297001303780965,1.226701434159061
Isolation,Kobe Brown,LAC,11,0.099,0.8181818181818182,0.9297001303780965,1.226701434159061
Isolation,Rob Dillingham,MIN,10,0.082,0.9,0.9297001303780965,0.2970013037809649
Isolation,Josh Green,CHA,19,0.061,0.5263157894736842,0.9297001303780965,7.664302477183834
Isolation,Drew Eubanks,SAC,18,0.062,0.5555555555555556,0.9297001303780965,6.734602346805737
Isolation,E.J. Liddell,BKN,10,0.074,1.0,0.9297001303780965,-0.7029986962190349
Isolation,Doug McDermott,SAC,10,0.077,1.0,0.9297001303780965,-0.7029986962190349
Isolation,Jett Howard,ORL,17,0.084,0.6470588235294118,0.9297001303780965,4.8049022164276405
Isolation,Tyrese Martin,BKN,13,0.071,0.8461538461538461,0.9297001303780965,1.0861016949152549
Isolation,Tyson Etienne,BKN,12,0.091,0.9166666666666666,0.9297001303780965,0.1564015645371586
Isolation,Blake Wesley,POR,10,0.085,1.1,0.9297001303780965,-1.7029986962190358
Isolation,Ajay Mitchell,OKC,32,0.067,0.375,0.9297001303780965,17.75040417209909
Isolation,Jase Richardson,ORL,19,0.098,0.631578947368421,0.9297001303780965,5.664302477183835
Isolation,Jordan Hawkins,NOP,18,0.072,0.6666666666666666,0.9297001303780965,4.734602346805738
Isolation,Max Strus,CLE,18,0.13,0.6666666666666666,0.9297001303780965,4.734602346805738
Isolation,Tyrese Proctor,CLE,15,0.081,0.8,0.9297001303780965,1.945501955671447
Isolation,Jonas Valančiūnas,DEN,13,0.033,0.9230769230769231,0.9297001303780965,0.08610169491525399
Isolation,Jeremiah Robinson-Earl,IND,10,0.1,1.2,0.9297001303780965,-2.7029986962190344
Isolation,Caleb Love,POR,16,0.054,0.8125,0.9297001303780965,1.8752020860495442
Isolation,Gabe Vincent,LAL,15,0.065,0.8666666666666667,0.9297001303780965,0.9455019556714472
Isolation,Marcus Sasser,DET,15,0.091,0.8666666666666667,0.9297001303780965,0.9455019556714472
Isolation,Devin Carter,SAC,12,0.043,1.0833333333333333,0.9297001303780965,-1.843598435462841
Isolation,John Konchar,MEM,19,0.115,0.7368421052631579,0.9297001303780965,3.6643024771838344
Isolation,Tony Bradley,IND,18,0.083,0.7777777777777778,0.9297001303780965,2.7346023468057368
Isolation,Jeremy Sochan,SAS,15,0.101,0.9333333333333333,0.9297001303780965,-0.05449804432855254
Isolation,Dalton Knecht,LAL,14,0.074,1.0,0.9297001303780965,-0.9841981747066488
Isolation,Nick Smith Jr.,LAL,10,0.078,1.4,0.9297001303780965,-4.7029986962190335
Isolation,Steven Adams,HOU,25,0.063,0.6,0.9297001303780965,8.242503259452413
