player,player_id,pos,team,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
Ty Jerome,jeromty01,SG,MEM,15,15,339,26,64,10,0,0,guard_percent,90,6,5,195,77,guard,1.1,0.2,1.3,0.191,8.2,-0.6,7.7,0.8,FALSE
Isaiah Joe,joeis01,SG,OKC,71,9,1507,55,46,0,0,0,guard_percent,101,6,4,165,76,guard,3.2,2.4,5.5,0.176,2,0.5,2.5,1.7,FALSE
AJ Johnson,johnsaj01,SG,DAL,23,0,240,22,60,18,0,0,guard_percent,82,6,5,160,77,guard,-0.4,0.1,-0.2,-0.049,-5.6,-1.8,-7.4,-0.3,FALSE
AJ Johnson,johnsaj01,SG,WAS,25,0,214,38,61,1,0,0,guard_percent,99,6,5,160,77,guard,-0.6,0,-0.6,-0.137,-7.2,-3.3,-10.5,-0.5,FALSE
Cameron Johnson,johnsca02,SF,DEN,54,54,1647,0,0,36,62,2,wing_big_percent,98,6,8,210,80,wing,2.7,1,3.7,0.108,0.3,-0.9,-0.6,0.6,FALSE
Chaney Johnson,johnsch06,SF,BRK,17,1,348,0,8,42,47,3,wing_big_percent,89,6,7,220,79,wing,0.6,0.3,0.9,0.128,-0.3,0.4,0.1,0.2,FALSE
Jalen Johnson,johnsja05,SF,ATL,72,72,2532,0,0,8,92,0,wing_big_percent,100,6,8,219,80,wing,3.6,3.9,7.5,0.141,2.8,1.4,4.2,4,TRUE
Keldon Johnson,johnske04,SF,SAS,82,0,1911,0,22,62,16,0,wing_small_percent,84,6,6,220,78,wing,3.9,2.6,6.4,0.161,1.2,-0.3,0.9,1.4,FALSE
Keshad Johnson,johnske10,SF,MIA,32,0,280,0,5,39,54,2,wing_big_percent,93,6,6,225,78,wing,0.3,0.4,0.6,0.11,-1.3,0,-1.3,0.1,FALSE
Tre Johnson,johnstr03,SG,WAS,60,42,1443,13,71,16,0,0,wing_small_percent,87,6,5,190,77,wing,-0.6,-0.1,-0.7,-0.024,-2.1,-2.9,-5,-1.1,FALSE
Nikola Jokić,jokicni01,C,DEN,65,65,2265,0,0,0,0,100,big_percent,100,6,11,284,83,big,11.5,3.4,14.9,0.316,10.1,4.1,14.2,9.2,TRUE
Colby Jones,jonesco02,SG,DET,1,0,7,0,0,100,0,0,wing_small_percent,100,NA,NA,NA,NA,wing,0,0,0,0.124,-3.2,5.7,2.4,0,FALSE
Curtis Jones,jonescu01,SG,DEN,10,0,88,15,77,8,0,0,guard_percent,92,6,3,195,75,guard,0.1,0.1,0.1,0.072,-3,-0.5,-3.5,0,FALSE
David Jones García,jonesda06,SF,SAS,11,0,68,6,82,13,0,0,wing_small_percent,95,6,4,210,76,wing,0.1,0.1,0.3,0.205,2.6,3.8,6.4,0.1,FALSE
Derrick Jones Jr.,jonesde02,SF,LAC,50,45,1350,0,29,60,11,0,wing_small_percent,89,6,6,210,78,wing,1.7,1.1,2.8,0.1,-0.6,-0.1,-0.7,0.5,FALSE
Dillon Jones,jonesdi01,SF,NYK,7,0,39,0,19,73,8,0,wing_small_percent,92,6,5,235,77,wing,0,0.1,0.1,0.134,-5.4,2.8,-2.6,0,FALSE
Herbert Jones,joneshe01,SF,NOP,56,56,1588,17,58,23,2,0,wing_small_percent,81,6,7,206,79,wing,-0.4,1.1,0.7,0.022,-3.7,0.6,-3.1,-0.5,FALSE
Isaac Jones,jonesis01,PF,DET,4,0,19,0,0,0,80,20,big_percent,100,6,8,245,80,big,0,0,0,0.021,-5.6,-2.4,-8,0,FALSE
Isaac Jones,jonesis01,PF,SAC,3,1,17,0,0,0,100,0,big_percent,100,6,8,245,80,big,0,0,0,0.058,-6.3,-1.9,-8.2,0,FALSE
Isaac Jones,jonesis01,PF,SAC,3,1,17,0,0,0,100,0,wing_big_percent,100,6,8,245,80,wing,0,0,0,0.058,-6.3,-1.9,-8.2,0,FALSE
Kam Jones,joneska03,SG,IND,37,7,616,17,60,22,1,0,wing_small_percent,82,6,4,200,76,wing,-0.2,0.2,0,0.002,-4.2,-1.9,-6.2,-0.6,FALSE
Spencer Jones,jonessp01,SF,DEN,64,37,1417,0,0,39,58,4,wing_big_percent,97,6,7,225,79,wing,1.5,1.2,2.6,0.089,-2.4,0,-2.4,-0.1,FALSE
Tre Jones,jonestr01,PG,CHI,65,41,1752,98,2,0,0,0,guard_percent,100,6,1,185,73,guard,4.6,1.1,5.7,0.157,1.2,0.1,1.3,1.5,FALSE
Tyus Jones,jonesty01,PG,DAL,8,2,133,100,0,0,0,0,guard_percent,100,6,0,196,72,guard,0,0.1,0.1,0.029,-3,-1.3,-4.3,-0.1,FALSE
Tyus Jones,jonesty01,PG,DEN,11,2,92,100,0,0,0,0,guard_percent,100,6,0,196,72,guard,-0.1,0,-0.1,-0.026,-3.5,-2.2,-5.7,-0.1,FALSE
Tyus Jones,jonesty01,PG,ORL,48,8,754,100,0,0,0,0,guard_percent,100,6,0,196,72,guard,0.3,0.7,1,0.064,-2.8,1.1,-1.7,0.1,FALSE
DeAndre Jordan,jordade01,C,NOP,12,7,199,0,0,0,0,100,big_percent,100,6,11,265,83,big,0.3,0.2,0.6,0.134,-0.4,0.2,-0.2,0.1,FALSE
Nikola Jović,jovicni01,PF,MIA,47,1,808,0,0,0,61,38,big_percent,99,6,10,205,82,big,-0.9,1,0,0.001,-3.5,-0.1,-3.5,-0.3,FALSE
Johnny Juzang,juzanjo01,SG,MIN,21,0,88,0,39,58,3,0,wing_small_percent,97,NA,NA,NA,NA,wing,0,0.1,0.1,0.038,-1.6,-1.7,-3.3,0,FALSE
Ryan Kalkbrenner,kalkbry01,C,CHO,69,31,1479,0,0,0,0,100,big_percent,100,7,1,256,85,big,3.6,2.1,5.7,0.185,0.5,1.3,1.8,1.4,FALSE
Yuki Kawamura,kawamyu01,PG,CHI,18,0,209,100,0,0,0,0,guard_percent,100,5,7,159,67,guard,0.2,0.1,0.3,0.069,-2.7,-1,-3.7,-0.1,FALSE
Trevor Keels,keelstr01,SG,MIA,8,0,15,0,79,19,3,0,wing_small_percent,98,6,3,215,75,wing,-0.1,0,-0.1,-0.197,-9.4,-5.2,-14.5,0,FALSE
Miles Kelly,kellymi02,PG,DAL,14,0,134,8,92,0,0,0,guard_percent,100,NA,NA,NA,NA,guard,-0.1,0.1,0,0.013,-4.6,-0.5,-5.1,-0.1,FALSE
Luke Kennard,kennalu01,SG,ATL,46,0,944,6,51,43,0,0,wing_small_percent,94,6,5,206,77,wing,1.9,0.9,2.7,0.139,0.2,0.3,0.5,0.6,FALSE
Luke Kennard,kennalu01,SG,LAL,32,6,737,15,48,35,3,0,wing_small_percent,83,6,5,206,77,wing,1.3,0.5,1.8,0.118,-0.1,-0.3,-0.4,0.3,FALSE
Jayson Kent,kentja01,SF,POR,5,0,22,0,0,50,50,0,wing_big_percent,100,6,8,215,80,wing,0,0,0.1,0.181,0.6,3.6,4.2,0,FALSE
Walker Kessler,kesslwa01,C,UTA,5,5,154,0,0,0,0,100,big_percent,100,7,2,245,86,big,0.3,0.1,0.5,0.148,1.6,1.7,3.3,0.2,FALSE
Corey Kispert,kispeco01,SF,ATL,39,8,710,0,26,70,4,0,wing_small_percent,96,6,6,224,78,wing,0.7,0.5,1.2,0.082,-0.4,-1.9,-2.3,-0.1,FALSE
Corey Kispert,kispeco01,SF,WAS,19,2,370,0,26,56,18,0,wing_small_percent,82,6,6,224,78,wing,0.7,0,0.6,0.08,1,-2.1,-1.1,0.1,FALSE
Maxi Kleber,klebima01,PF,LAL,43,1,461,0,0,0,21,79,big_percent,100,6,10,240,82,big,0.2,0.4,0.6,0.063,-4.2,0.3,-3.9,-0.2,FALSE
Bobi Klintman,klintbo01,SF,DET,12,0,71,0,0,4,94,2,wing_big_percent,98,NA,NA,NA,NA,wing,-0.2,0.1,-0.1,-0.043,-7.7,-1,-8.7,-0.1,FALSE
Dalton Knecht,knechda01,SF,LAL,54,1,553,0,48,44,7,1,wing_small_percent,92,6,6,215,78,wing,0.1,0.4,0.4,0.038,-2.1,-1.6,-3.6,-0.2,FALSE
Kon Knueppel,knuepko01,SF,CHO,81,80,2551,0,46,49,5,0,wing_small_percent,95,6,6,215,78,wing,5.6,2.5,8,0.151,3.1,-0.4,2.8,3.1,TRUE
Tyler Kolek,kolekty01,PG,NYK,62,1,727,80,20,0,0,0,guard_percent,100,6,2,195,74,guard,0.6,0.8,1.4,0.093,-0.8,0.2,-0.6,0.3,FALSE
Christian Koloko,kolokch01,C,ATL,14,2,156,0,0,0,0,100,big_percent,100,6,11,225,83,big,-0.1,0.2,0.2,0.05,-7.2,0.7,-6.6,-0.2,FALSE
Christian Koloko,kolokch01,C,LAL,2,0,6,0,0,0,0,100,big_percent,100,6,11,225,83,big,0,0,0,0.026,-6.7,-1.6,-8.4,0,FALSE
Christian Koloko,kolokch01,C,MEM,11,2,195,0,0,0,0,100,big_percent,100,6,11,225,83,big,-0.1,0.2,0.1,0.029,-4.8,1.7,-3.1,-0.1,FALSE
Yanic Konan Niederhäuser,konanya01,C,LAC,41,0,424,0,0,0,2,98,big_percent,100,6,11,242,83,big,0.8,0.5,1.3,0.152,-2.6,0.4,-2.2,0,FALSE
John Konchar,konchjo01,SG,MEM,30,1,435,0,6,77,17,0,wing_big_percent,94,6,5,210,77,wing,0.4,0.6,1,0.109,-1.2,3.5,2.3,0.5,FALSE
John Konchar,konchjo01,SG,UTA,26,7,680,6,56,33,5,0,wing_small_percent,89,6,5,210,77,wing,0.8,0.6,1.4,0.1,-1.4,1.4,0,0.3,TRUE
Luke Kornet,kornelu01,C,SAS,68,25,1430,0,0,0,8,92,big_percent,100,7,1,250,85,big,4.6,2.3,6.9,0.231,1.6,2.1,3.6,2,FALSE
Vít Krejčí,krejcvi01,PG,ATL,46,8,1028,68,33,0,0,0,guard_percent,101,6,8,195,80,guard,1.2,1,2.2,0.103,-1.3,0,-1.3,0.2,FALSE
Vít Krejčí,krejcvi01,PG,POR,19,0,364,20,67,12,0,0,guard_percent,87,6,8,195,80,guard,0.3,0.3,0.7,0.086,-2.2,-0.2,-2.4,0,FALSE
Jonathan Kuminga,kuminjo01,PF,ATL,16,1,354,0,0,0,100,0,big_percent,100,6,7,225,79,big,0.3,0.5,0.8,0.11,-0.2,0.4,0.1,0.2,FALSE
Jonathan Kuminga,kuminjo01,PF,ATL,16,1,354,0,0,0,100,0,wing_big_percent,100,6,7,225,79,wing,0.3,0.5,0.8,0.11,-0.2,0.4,0.1,0.2,FALSE
Jonathan Kuminga,kuminjo01,PF,GSW,20,13,476,0,0,1,64,36,big_percent,100,6,7,225,79,big,-0.2,0.4,0.2,0.021,-2.5,-1.1,-3.6,-0.2,FALSE
Kyle Kuzma,kuzmaky01,PF,MIL,69,43,1806,0,5,52,43,0,wing_big_percent,95,6,8,221,80,wing,0.9,1,1.9,0.051,-1,-1.3,-2.3,-0.1,FALSE
Skal Labissière,labissk01,PF,WAS,3,0,38,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big,0.1,0,0.1,0.12,-0.1,0.4,0.3,0,FALSE
Jock Landale,landajo01,C,ATL,23,2,446,0,0,0,0,100,big_percent,100,6,11,255,83,big,0.8,0.5,1.3,0.141,0.5,-0.4,0.1,0.2,FALSE
Jock Landale,landajo01,C,MEM,45,25,1060,0,0,0,0,100,big_percent,100,6,11,255,83,big,1.9,0.6,2.5,0.114,1,-1.3,-0.2,0.5,FALSE
Chaz Lanier,laniech01,SG,DET,34,0,262,15,74,12,0,0,guard_percent,89,6,3,206,75,guard,0,0.3,0.3,0.046,-3.8,-1.3,-5.1,-0.2,FALSE
Jake LaRavia,laravja01,PF,LAL,82,43,2061,0,5,56,39,1,wing_big_percent,95,6,7,235,79,wing,1.7,2.1,3.8,0.089,-1.6,0.5,-1.2,0.4,FALSE
Pelle Larsson,larsspe01,SG,MIA,70,54,1849,1,28,68,3,0,wing_small_percent,96,6,5,215,77,wing,2.6,1.5,4.1,0.106,-1.2,0,-1.2,0.4,FALSE
Zach LaVine,lavinza01,SG,SAC,39,37,1224,33,37,25,5,0,guard_percent,70,6,5,200,77,guard,1.3,0,1.3,0.051,0.6,-2.2,-1.5,0.2,TRUE
A.J. Lawson,lawsoaj01,SG,TOR,24,0,226,8,68,22,2,0,wing_small_percent,90,6,6,179,78,wing,0.2,0.4,0.6,0.121,-1.3,0.4,-1,0.1,FALSE
Kawhi Leonard,leonaka01,SF,LAC,65,65,2085,0,3,67,30,1,wing_big_percent,97,6,6,225,78,wing,6.5,2.7,9.2,0.212,7.4,0.6,8,5.3,TRUE
Malevy Leons,leonsma01,SF,GSW,25,2,276,0,0,34,63,4,wing_big_percent,97,6,9,210,81,wing,0.2,0.3,0.5,0.087,-3,0.2,-2.8,-0.1,FALSE
Caris LeVert,leverca01,SG,DET,60,0,1154,4,33,56,8,0,wing_small_percent,89,6,7,205,79,wing,-0.2,1.8,1.6,0.066,-1.8,1.5,-0.4,0.5,FALSE
E.J. Liddell,liddeej01,PF,BRK,26,5,349,0,0,2,48,51,big_percent,99,6,6,240,78,big,0.3,0.2,0.5,0.074,-2.2,-1.2,-3.3,-0.1,FALSE
Dereck Lively II,livelde01,C,DAL,7,4,115,0,0,0,0,100,big_percent,100,7,1,230,85,big,0.1,0.2,0.3,0.127,-3,3.6,0.6,0.1,FALSE
Isaiah Livers,liveris01,PF,PHO,36,0,347,0,1,20,79,1,wing_big_percent,99,6,6,232,78,wing,0,0.4,0.4,0.057,-3.7,1.2,-2.5,0,FALSE
Chris Livingston,livinch01,SF,CLE,3,0,17,0,0,100,0,0,wing_small_percent,100,NA,NA,NA,NA,wing,0,0,0.1,0.164,-4.7,2.1,-2.7,0,FALSE
Kevon Looney,looneke01,C,NOP,21,8,308,0,0,0,31,69,big_percent,100,6,9,222,81,big,0.4,0.3,0.7,0.109,-1.2,-0.6,-1.8,0,FALSE
Brook Lopez,lopezbr01,C,LAC,75,40,1635,0,0,0,0,100,big_percent,100,7,1,282,85,big,0.5,1.8,2.3,0.068,-1.3,0.4,-0.9,0.5,FALSE
Caleb Love,loveca01,SG,POR,49,1,1013,86,12,2,0,0,guard_percent,98,6,3,212,75,guard,-0.1,0.8,0.6,0.031,-1.5,-1.6,-3.1,-0.3,FALSE
Kevin Love,loveke01,PF,UTA,37,5,613,0,0,10,64,26,big_percent,90,6,10,251,82,big,0.8,0.3,1.1,0.088,1.1,-0.9,0.2,0.3,FALSE
Lawson Lovering,loverla01,C,MEM,2,1,49,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big,0.1,0.1,0.1,0.106,-3.7,0.1,-3.6,0,FALSE
Kyle Lowry,lowryky01,PG,PHI,14,0,118,100,0,0,0,0,guard_percent,100,6,0,196,72,guard,-0.2,0.1,-0.2,-0.062,-8.2,-2.2,-10.4,-0.3,FALSE
Khaman Maluach,maluakh01,C,PHO,46,1,411,0,0,0,0,100,big_percent,100,7,1,250,85,big,0.2,0.6,0.8,0.099,-3.7,0,-3.7,-0.2,FALSE
Sandro Mamukelashvili,mamuksa01,C,TOR,80,13,1751,0,0,0,8,93,big_percent,101,6,9,240,81,big,3.6,2.5,6.2,0.169,2.1,0.7,2.8,2.1,FALSE
Terance Mann,mannte01,SG,BRK,63,51,1529,9,61,29,1,0,wing_small_percent,90,6,6,215,78,wing,1.2,0.6,1.8,0.056,-2.7,-0.7,-3.4,-0.6,FALSE
Tre Mann,manntr01,PG,CHO,53,1,669,91,9,0,0,0,guard_percent,100,6,4,178,76,guard,-0.8,0.7,0,-0.003,-4.5,-0.8,-5.3,-0.5,FALSE
Chris Mañon,manonch01,SG,LAL,9,0,46,12,32,49,7,0,wing_small_percent,81,6,4,209,76,wing,0,0.1,0.1,0.115,-4.6,4.7,0.1,0,FALSE
Lauri Markkanen,markkla01,PF,UTA,42,42,1443,0,0,12,68,20,big_percent,88,7,1,240,85,big,3.2,0.3,3.5,0.118,4.6,-2,2.6,1.6,TRUE
Naji Marshall,marshna01,SF,DAL,74,47,2184,0,22,57,20,0,wing_small_percent,79,6,6,220,78,wing,2.5,1.8,4.3,0.095,-0.7,0.1,-0.6,0.8,FALSE
Alijah Martin,martial01,SG,TOR,23,0,146,32,53,12,2,0,guard_percent,85,6,2,210,74,guard,-0.2,0.2,0,0.015,-4.6,0.2,-4.3,-0.1,FALSE
Caleb Martin,martica02,SF,DAL,58,12,856,1,56,36,6,0,wing_small_percent,92,6,5,205,77,wing,-0.1,0.9,0.9,0.048,-4,1.7,-2.2,0,FALSE
Cody Martin,martico01,SF,IND,4,0,55,0,32,64,4,0,wing_small_percent,96,NA,NA,NA,NA,wing,-0.2,0.1,-0.1,-0.103,-10.1,2.1,-8,-0.1,FALSE
Tyrese Martin,martity01,SG,BRK,37,6,696,8,65,27,0,0,wing_small_percent,92,6,6,215,78,wing,-0.2,0.3,0.2,0.013,-1.5,-1.5,-3.1,-0.2,FALSE
Tyrese Martin,martity01,SG,PHI,9,0,81,0,63,33,4,0,wing_small_percent,96,6,6,215,78,wing,-0.2,0.1,-0.1,-0.057,-5.6,-0.1,-5.7,-0.1,FALSE
Jahmai Mashack,mashaja01,SG,MEM,31,7,673,27,26,41,6,0,wing_small_percent,67,6,4,203,76,wing,-1,0.5,-0.5,-0.036,-6.1,-0.9,-7,-0.8,FALSE
Garrison Mathews,mathega01,SG,IND,15,1,196,0,78,22,0,0,wing_small_percent,100,NA,NA,NA,NA,wing,0.3,0.1,0.4,0.097,-1.3,0,-1.3,0,FALSE
Bennedict Mathurin,mathube01,SF,IND,28,24,891,0,35,61,5,0,wing_small_percent,96,6,5,210,77,wing,0.3,0.4,0.7,0.038,-1.1,-1.7,-2.8,-0.2,FALSE
Bennedict Mathurin,mathube01,SF,LAC,26,1,729,4,35,39,21,2,wing_small_percent,74,6,5,210,77,wing,0.7,0.7,1.4,0.092,-1,-1,-2.1,0,FALSE
Karlo Matković,matkoka01,PF,NOP,62,2,912,0,0,1,65,34,big_percent,99,6,10,231,82,big,1.8,0.9,2.7,0.141,0.2,0.4,0.7,0.6,FALSE
Tyrese Maxey,maxeyty01,PG,PHI,70,70,2661,98,3,0,0,0,guard_percent,101,6,2,200,74,guard,5.9,2.8,8.7,0.156,5,0.5,5.4,4.9,TRUE
Bez Mbeng,mbengbe01,SG,UTA,15,5,492,18,66,17,0,0,guard_percent,84,6,4,185,76,guard,0.2,0.2,0.5,0.047,-5,0.1,-4.9,-0.4,FALSE
Miles McBride,mcbrimi01,SG,NYK,41,15,1080,33,67,0,0,0,guard_percent,100,6,2,195,74,guard,1.6,1.1,2.7,0.119,1,0.2,1.2,0.9,FALSE
Jared McCain,mccaija01,SG,OKC,30,2,540,15,54,31,1,0,wing_small_percent,85,6,3,195,75,wing,0.4,0.7,1.1,0.101,0,-1,-0.9,0.1,FALSE
Jared McCain,mccaija01,SG,PHI,37,1,620,13,79,9,0,0,guard_percent,92,6,3,195,75,guard,-0.2,0.5,0.3,0.024,-3,-0.7,-3.7,-0.3,FALSE
Mac McClung,mccluma01,SG,CHI,8,0,101,16,47,35,2,0,wing_small_percent,82,6,2,185,74,wing,-0.1,0.1,0,-0.005,-5.6,-1.3,-6.9,-0.1,FALSE
Mac McClung,mccluma01,SG,IND,3,0,34,20,71,9,0,0,guard_percent,91,6,2,185,74,guard,-0.1,0.1,0,-0.016,-5.6,6.1,0.5,0,FALSE
CJ McCollum,mccolcj01,PG,ATL,41,25,1182,97,3,0,0,0,guard_percent,100,6,3,190,75,guard,0.9,1.2,2,0.082,1.6,-0.7,0.9,0.9,FALSE
CJ McCollum,mccolcj01,SG,WAS,35,35,1082,55,45,0,0,0,guard_percent,100,6,3,190,75,guard,1.1,-0.1,0.9,0.042,1.2,-2.7,-1.5,0.1,FALSE
T.J. McConnell,mccontj01,PG,IND,56,4,963,100,0,0,0,0,guard_percent,100,6,1,190,73,guard,1.8,0.8,2.6,0.132,2.1,0.4,2.5,1.1,TRUE
Kevin McCullar Jr.,mcculke01,SF,NYK,21,0,155,0,17,55,28,0,wing_big_percent,83,6,6,210,78,wing,0,0.2,0.2,0.059,-3.7,1,-2.8,0,FALSE
Jaden McDaniels,mcdanja02,PF,MIN,73,73,2316,0,1,88,9,1,wing_big_percent,97,6,9,185,81,wing,2.5,2.7,5.2,0.109,-0.9,0.6,-0.3,1,FALSE
Doug McDermott,mcderdo01,SF,SAC,29,0,439,0,4,65,31,0,wing_big_percent,96,6,7,225,79,wing,0.2,-0.1,0.2,0.018,-1.4,-3,-4.4,-0.3,FALSE
Bryce McGowens,mcgowbr01,SG,NOP,42,13,880,6,65,29,0,0,wing_small_percent,94,6,6,190,78,wing,1.4,0.3,1.7,0.095,-2,-0.9,-2.8,-0.2,FALSE
Jordan McLaughlin,mclaujo01,PG,SAS,44,0,282,100,0,0,0,0,guard_percent,100,5,11,185,71,guard,0.1,0.5,0.6,0.1,-1.9,2.5,0.6,0.2,FALSE
Liam McNeeley,mcneeli01,SF,CHO,31,0,368,0,1,76,22,0,wing_big_percent,98,6,7,210,79,wing,0.5,0.4,0.9,0.112,-1.3,0,-1.3,0.1,FALSE
De'Anthony Melton,meltode01,PG,GSW,49,24,1125,76,24,0,0,0,guard_percent,100,6,2,200,74,guard,-0.7,1.5,0.7,0.031,-2.6,0.1,-2.5,-0.1,FALSE
Sam Merrill,merrisa01,SG,CLE,52,38,1377,0,36,54,10,0,wing_small_percent,90,6,4,205,76,wing,2.8,0.9,3.7,0.127,1,-1,0.1,0.7,FALSE
Khris Middleton,middlkh01,SF,DAL,29,16,612,0,10,58,32,0,wing_big_percent,90,6,7,222,79,wing,-0.3,0.4,0.1,0.008,-3.2,-1.7,-4.9,-0.4,FALSE
Khris Middleton,middlkh01,SF,WAS,34,34,827,0,0,5,92,3,wing_big_percent,97,6,7,222,79,wing,0,0.1,0.2,0.009,-2.6,-1.4,-4,-0.4,FALSE
Brandon Miller,millebr02,SF,CHO,65,65,1968,0,3,87,10,0,wing_big_percent,97,6,7,200,79,wing,2.1,2.4,4.5,0.109,1.7,-0.1,1.6,1.8,FALSE
Emanuel Miller,milleem01,PF,CHI,5,0,33,0,0,62,38,0,wing_big_percent,100,6,5,215,77,wing,0.1,0,0.1,0.111,1.6,0.9,2.5,0,FALSE
Jordan Miller,millejo02,SF,LAC,60,1,1325,9,41,41,8,1,wing_small_percent,82,6,5,194,77,wing,2.5,1,3.5,0.125,0.6,-0.4,0.2,0.8,FALSE
Leonard Miller,millele01,SF,CHI,27,12,624,0,4,62,33,1,wing_big_percent,95,6,10,220,82,wing,1,0.5,1.5,0.113,0.6,-1.2,-0.6,0.2,FALSE
Leonard Miller,millele01,SF,MIN,19,0,95,0,0,2,87,11,big_percent,98,6,10,220,82,big,0,0.1,0.1,0.049,-5.3,-0.6,-5.8,-0.1,FALSE
Riley Minix,minixri01,SF,CLE,6,0,50,0,20,51,29,0,wing_big_percent,80,6,7,230,79,wing,0.1,0,0.1,0.119,-0.7,-1.3,-2,0,FALSE
Riley Minix,minixri01,SF,SAS,3,0,8,0,0,45,55,0,wing_big_percent,100,6,7,230,79,wing,0.1,0,0.1,0.43,18.1,7.5,25.5,0.1,FALSE
Josh Minott,minotjo01,PF,BOS,33,10,526,0,0,0,57,43,big_percent,100,6,8,205,80,big,1.1,0.8,1.9,0.173,0.9,1.4,2.2,0.6,FALSE
Josh Minott,minotjo01,SF,BRK,16,1,308,0,25,24,33,17,wing_big_percent,57,6,8,205,80,wing,0.2,0.3,0.5,0.08,2.3,0.7,3,0.4,FALSE
Yves Missi,missiyv01,C,NOP,66,14,1297,0,0,0,0,100,big_percent,100,6,11,235,83,big,1.6,1.1,2.7,0.098,-1.4,-0.3,-1.7,0.1,FALSE
Ajay Mitchell,mitchaj01,SG,OKC,57,16,1473,13,40,43,4,0,wing_small_percent,83,6,4,190,76,wing,2.2,2.6,4.8,0.156,0.3,1.6,1.9,1.4,TRUE
Davion Mitchell,mitchda01,PG,MIA,70,70,2000,100,0,0,0,0,guard_percent,100,6,0,202,72,guard,2.6,1.7,4.3,0.104,-1.3,0.4,-0.9,0.6,FALSE
Donovan Mitchell,mitchdo01,SG,CLE,70,70,2342,19,54,25,2,0,wing_small_percent,79,6,2,215,74,wing,5.8,2.4,8.2,0.169,5.2,-0.2,5.1,4.2,TRUE
Evan Mobley,mobleev01,PF,CLE,65,63,2074,0,0,0,35,65,big_percent,100,6,11,215,83,big,3.6,2.9,6.5,0.15,1.8,1.2,3,2.6,TRUE
Jonathan Mogbo,mogbojo01,PF,TOR,40,0,249,0,0,0,52,48,big_percent,100,6,9,225,81,big,0.2,0.4,0.6,0.12,-2.6,1.9,-0.7,0.1,FALSE
Malik Monk,monkma01,SG,SAC,62,3,1364,35,57,8,0,0,guard_percent,92,6,3,200,75,guard,0.8,0.2,1,0.034,0.8,-2.1,-1.3,0.2,FALSE
Moses Moody,moodymo01,SG,GSW,60,49,1540,0,18,61,21,0,wing_big_percent,82,6,5,211,77,wing,1.7,1.4,3.1,0.096,0.2,-0.3,-0.1,0.7,FALSE
Wendell Moore Jr.,moorewe01,SG,DET,6,0,60,1,25,66,8,0,wing_small_percent,91,6,5,215,77,wing,0.1,0.1,0.1,0.116,-3,1.8,-1.3,0,FALSE
Alex Morales,moralal01,PG,ORL,4,0,24,45,55,0,0,0,guard_percent,100,6,6,180,78,guard,-0.1,0,-0.1,-0.104,-12.2,-3.8,-16,-0.1,FALSE
Ja Morant,moranja01,PG,MEM,20,20,569,100,0,0,0,0,guard_percent,100,6,2,174,74,guard,0,0.3,0.3,0.024,0.5,-2,-1.5,0.1,FALSE
Monte Morris,morrimo01,PG,IND,6,0,65,79,22,0,0,0,guard_percent,101,NA,NA,NA,NA,guard,-0.1,0,0,-0.028,-4.5,-1.4,-5.9,-0.1,FALSE
Trey Murphy III,murphtr02,SF,NOP,66,66,2341,0,29,63,8,0,wing_small_percent,92,6,8,206,80,wing,4.5,1.6,6,0.123,3,-0.6,2.4,2.6,TRUE
Collin Murray-Boyles,murraco01,PF,TOR,57,22,1246,0,0,8,82,11,big_percent,93,6,7,245,79,big,2.1,1.9,4,0.154,-0.5,1.5,1,1,FALSE
Dejounte Murray,murrade01,PG,NOP,14,14,389,96,4,0,0,0,guard_percent,100,6,4,180,76,guard,0.2,0.4,0.6,0.072,0.8,0.5,1.4,0.3,TRUE
Jamal Murray,murraja01,PG,DEN,75,75,2652,100,0,0,0,0,guard_percent,100,6,4,215,76,guard,7.8,1.7,9.5,0.173,5.5,-1.4,4.1,4.1,TRUE
Keegan Murray,murrake02,PF,SAC,23,22,793,0,0,24,76,0,wing_big_percent,100,6,8,225,80,wing,-0.2,0.4,0.2,0.011,-2,-1,-3.1,-0.2,FALSE
Kris Murray,murrakr01,SF,POR,57,15,1333,2,46,32,18,2,wing_small_percent,78,6,8,218,80,wing,0.9,1.3,2.2,0.079,-2.3,0.8,-1.5,0.2,FALSE
Svi Mykhailiuk,mykhasv01,SF,UTA,50,41,1156,0,62,35,2,0,wing_small_percent,97,6,7,205,79,wing,1.3,-0.2,1.1,0.048,0.3,-2,-1.7,0.1,FALSE
Larry Nance Jr.,nancela02,PF,CLE,35,3,449,0,0,29,58,13,wing_big_percent,87,6,6,245,78,wing,0,0.5,0.6,0.06,-3.9,0.5,-3.4,-0.2,FALSE
Pete Nance,nancepe01,PF,MIL,47,6,737,0,1,38,44,17,wing_big_percent,82,6,9,225,81,wing,0.8,0.4,1.1,0.072,-1,-1.2,-2.3,-0.1,FALSE
Grant Nelson,nelsogr02,PF,BRK,4,0,35,0,0,0,85,15,big_percent,100,NA,NA,NA,NA,big,0,0.1,0.1,0.098,-2.6,4.8,2.2,0,FALSE
