player,player_id,pos,team,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
Bismack Biyombo,biyombi01,C,SAS,25,1,141,0,0,0,51,49,big_percent,100,6,8,255,80,big,0,0.2,0.2,0.057,-7.2,1.4,-5.8,-0.1,FALSE
Anthony Black,blackan01,PG,ORL,64,40,1910,49,50,1,0,0,guard_percent,99,6,7,200,79,guard,0.3,2.4,2.6,0.067,-1.2,0.7,-0.6,0.7,FALSE
Leaky Black,blackle01,SF,WAS,15,9,433,0,19,45,33,2,wing_big_percent,78,6,6,209,78,wing,-0.1,0.1,0,0.004,-4.2,-1.1,-5.3,-0.4,FALSE
Buddy Boeheim,boehebu01,SF,OKC,4,0,15,0,0,54,14,32,wing_big_percent,68,NA,NA,NA,NA,wing,0,0,0,0.012,-3.8,-4.5,-8.4,0,FALSE
Bogdan Bogdanović,bogdabo01,SG,LAC,23,3,452,20,56,23,2,0,wing_small_percent,79,6,5,225,77,wing,-0.1,0.3,0.2,0.02,-2.3,-0.8,-3.1,-0.1,FALSE
Adem Bona,bonaad01,C,PHI,71,18,1234,0,0,0,4,96,big_percent,100,6,10,235,82,big,1.4,1.5,2.9,0.112,-3.2,0.3,-2.9,-0.3,FALSE
Devin Booker,bookede01,SG,PHO,64,64,2146,5,54,38,3,0,wing_small_percent,92,6,5,206,77,wing,4.7,1.8,6.5,0.145,3.2,-1,2.2,2.3,TRUE
Chris Boucher,bouchch01,PF,BOS,9,0,94,0,0,14,47,39,big_percent,86,NA,NA,NA,NA,big,-0.1,0.2,0.1,0.064,-5.9,2.7,-3.1,0,FALSE
Jamaree Bouyea,bouyeja01,PG,PHO,46,1,644,100,0,0,0,0,guard_percent,100,6,2,180,74,guard,0.4,0.8,1.1,0.086,-1.4,1.1,-0.4,0.3,FALSE
Tony Bradley,bradlto01,C,ATL,3,1,34,0,0,0,0,100,big_percent,100,6,10,248,82,big,0,0,0,0.061,-2.9,-3.3,-6.2,0,FALSE
Tony Bradley,bradlto01,C,IND,38,3,416,0,0,1,4,95,big_percent,99,6,10,248,82,big,0.7,0.2,0.9,0.102,-2.4,-1.6,-4.1,-0.2,FALSE
Malaki Branham,branhma01,SG,WAS,28,0,275,15,67,19,0,0,wing_small_percent,86,NA,NA,NA,NA,wing,0.3,0,0.4,0.064,-0.8,-1.5,-2.2,0,FALSE
Christian Braun,braunch01,SG,DEN,44,44,1399,0,42,42,16,0,wing_small_percent,84,6,6,220,78,wing,2.2,0.8,3,0.103,-0.4,-0.9,-1.2,0.3,FALSE
Koby Brea,breako01,SG,PHO,12,0,84,13,87,0,0,0,guard_percent,100,6,5,215,77,guard,0.2,0.1,0.2,0.117,1.7,-1.4,0.2,0,FALSE
