id,player,jump_balls_participated,wins,losses,win_percent,jump_balls_participated_percentile,win_percent_percentile,avg_percentiles
1628415,Dillon Brooks,7,4,3,0.5714285714285714,0.26153846153846155,0.6564102564102564,0.458974358974359
1628418,Thomas Bryant,5,4,1,0.8,0,0.9333333333333333,0.4666666666666667
1628436,Luke Kornet,30,15,15,0.5,0.7948717948717948,0.5282051282051282,0.6615384615384615
1628467,Maxi Kleber,5,4,1,0.8,0,0.9333333333333333,0.4666666666666667
1628963,Marvin Bagley III,18,4,14,0.2222222222222222,0.717948717948718,0.1641025641025641,0.441025641025641
1628969,Mikal Bridges,5,3,2,0.6,0,0.7128205128205128,0.3564102564102564
1628973,Jalen Brunson,7,2,5,0.2857142857142857,0.26153846153846155,0.21025641025641026,0.2358974358974359
1628976,Wendell Carter Jr.,102,69,33,0.6764705882352942,1,0.8615384615384616,0.9307692307692308
1628978,Donte DiVincenzo,5,2,3,0.4,0,0.3282051282051282,0.1641025641025641
1628983,Shai Gilgeous-Alexander,8,3,5,0.375,0.358974358974359,0.28205128205128205,0.3205128205128205
1628991,Jaren Jackson Jr.,51,25,26,0.49019607843137253,0.8666666666666667,0.5230769230769231,0.6948717948717948
1629001,De'Anthony Melton,13,10,3,0.7692307692307693,0.6153846153846154,0.9282051282051282,0.7717948717948718
1629011,Mitchell Robinson,28,21,7,0.75,0.7794871794871795,0.9128205128205128,0.8461538461538461
1629012,Collin Sexton,8,5,3,0.625,0.358974358974359,0.7846153846153846,0.5717948717948718
1629023,P.J. Washington,13,4,9,0.3076923076923077,0.6153846153846154,0.2153846153846154,0.4153846153846154
1629028,Deandre Ayton,84,57,27,0.6785714285714286,0.958974358974359,0.8666666666666667,0.9128205128205129
1629029,Luka Dončić,5,2,3,0.4,0,0.3282051282051282,0.1641025641025641
1629048,Goga Bitadze,10,5,5,0.5,0.517948717948718,0.5282051282051282,0.5230769230769231
1629057,Robert Williams III,9,6,3,0.6666666666666666,0.4717948717948718,0.841025641025641,0.6564102564102564
1629060,Rui Hachimura,5,4,1,0.8,0,0.9333333333333333,0.4666666666666667
1629111,Jock Landale,10,6,4,0.6,0.517948717948718,0.7128205128205128,0.6153846153846154
1629234,Drew Eubanks,17,4,13,0.23529411764705882,0.7025641025641025,0.16923076923076924,0.4358974358974359
1629627,Zion Williamson,13,6,7,0.46153846153846156,0.6153846153846154,0.47692307692307695,0.5461538461538462
1629628,RJ Barrett,7,4,3,0.5714285714285714,0.26153846153846155,0.6564102564102564,0.458974358974359
1629632,Coby White,5,2,3,0.4,0,0.3282051282051282,0.1641025641025641
1629637,Jaxson Hayes,16,11,5,0.6875,0.676923076923077,0.882051282051282,0.7794871794871795
1629640,Keldon Johnson,6,3,3,0.5,0.16923076923076924,0.5282051282051282,0.3487179487179487
1629651,Nic Claxton,86,54,32,0.627906976744186,0.9794871794871794,0.8051282051282052,0.8923076923076922
1629652,Luguentz Dort,7,4,3,0.5714285714285714,0.26153846153846155,0.6564102564102564,0.458974358974359
1629655,Daniel Gafford,56,21,35,0.375,0.8923076923076924,0.28205128205128205,0.5871794871794872
1629674,Neemias Queta,91,42,49,0.46153846153846156,0.9897435897435898,0.47692307692307695,0.7333333333333334
1629675,Naz Reid,12,6,6,0.5,0.5794871794871795,0.5282051282051282,0.5538461538461539
1629731,Dean Wade,6,2,4,0.3333333333333333,0.16923076923076924,0.22564102564102564,0.19743589743589746
1630163,LaMelo Ball,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1630166,Deni Avdija,7,4,3,0.5714285714285714,0.26153846153846155,0.6564102564102564,0.458974358974359
1630168,Onyeka Okongwu,84,39,45,0.4642857142857143,0.958974358974359,0.48717948717948717,0.7230769230769231
1630171,Isaac Okoro,7,3,4,0.42857142857142855,0.26153846153846155,0.38461538461538464,0.3230769230769231
1630172,Patrick Williams,8,3,5,0.375,0.358974358974359,0.28205128205128205,0.3205128205128205
1630173,Precious Achiuwa,10,6,4,0.6,0.517948717948718,0.7128205128205128,0.6153846153846154
1630175,Cole Anthony,5,0,5,0,0,0,0
1630183,Jaden McDaniels,7,3,4,0.42857142857142855,0.26153846153846155,0.38461538461538464,0.3230769230769231
1630188,Jalen Smith,22,10,12,0.45454545454545453,0.7487179487179487,0.46153846153846156,0.6051282051282052
1630191,Isaiah Stewart,7,4,3,0.5714285714285714,0.26153846153846155,0.6564102564102564,0.458974358974359
1630192,Zeke Nnaji,6,3,3,0.5,0.16923076923076924,0.5282051282051282,0.3487179487179487
1630194,Paul Reed,29,18,11,0.6206896551724138,0.7846153846153846,0.7794871794871795,0.782051282051282
1630202,Payton Pritchard,5,0,5,0,0,0,0
1630208,Nick Richards,9,5,4,0.5555555555555556,0.4717948717948718,0.6461538461538462,0.558974358974359
1630228,Jonathan Kuminga,5,1,4,0.2,0,0.10256410256410256,0.05128205128205128
1630245,Ayo Dosunmu,7,3,4,0.42857142857142855,0.26153846153846155,0.38461538461538464,0.3230769230769231
1630264,Anthony Gill,8,1,7,0.125,0.358974358974359,0.041025641025641026,0.2
1630530,Trey Murphy III,12,2,10,0.16666666666666666,0.5794871794871795,0.07179487179487179,0.32564102564102565
1630541,Moses Moody,6,1,5,0.16666666666666666,0.16923076923076924,0.07179487179487179,0.12051282051282051
1630543,Isaiah Jackson,17,7,10,0.4117647058823529,0.7025641025641025,0.37435897435897436,0.5384615384615384
1630549,Day'Ron Sharpe,15,6,9,0.4,0.6512820512820513,0.3282051282051282,0.4897435897435898
1630552,Jalen Johnson,7,5,2,0.7142857142857143,0.26153846153846155,0.8974358974358975,0.5794871794871795
1630567,Scottie Barnes,49,19,30,0.3877551020408163,0.8615384615384616,0.3230769230769231,0.5923076923076923
1630568,Luka Garza,9,4,5,0.4444444444444444,0.4717948717948718,0.4307692307692308,0.4512820512820513
1630572,Sandro Mamukelashvili,6,1,5,0.16666666666666666,0.16923076923076924,0.07179487179487179,0.12051282051282051
1630574,Ariel Hukporti,8,4,4,0.5,0.358974358974359,0.5282051282051282,0.44358974358974357
1630578,Alperen Sengun,87,39,48,0.4482758620689655,0.9846153846153847,0.4512820512820513,0.717948717948718
1630579,Jericho Sims,13,7,6,0.5384615384615384,0.6153846153846154,0.6307692307692307,0.6230769230769231
1630595,Cade Cunningham,5,3,2,0.6,0,0.7128205128205128,0.3564102564102564
1630596,Evan Mobley,41,27,14,0.6585365853658537,0.841025641025641,0.8358974358974359,0.8384615384615385
1630619,Moussa Cisse,8,4,4,0.5,0.358974358974359,0.5282051282051282,0.44358974358974357
1630643,Jay Huff,54,33,21,0.6111111111111112,0.8769230769230769,0.7692307692307693,0.823076923076923
1630692,Jordan Goodwin,6,2,4,0.3333333333333333,0.16923076923076924,0.22564102564102564,0.19743589743589746
1630695,Micah Potter,12,4,8,0.3333333333333333,0.5794871794871795,0.22564102564102564,0.4025641025641026
1630700,Dyson Daniels,6,3,3,0.5,0.16923076923076924,0.5282051282051282,0.3487179487179487
