player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Josh Giddey,Tre Jones,CHI,47,29,40,12,7,17,76,35.86842105263158,18
Collin Gillespie,Royce O'Neale,PHX,44,30,3,7,41,23,74,35.67567567567568,14
Derrick White,Sam Hauser,BOS,59,25,10,12,49,13,84,35.11904761904762,34
Bam Adebayo,Pelle Larsson,MIA,28,47,21,32,7,15,75,35.093333333333334,19
Josh Hart,Karl-Anthony Towns,NYK,63,24,41,18,22,6,87,34.758620689655174,39
Bruce Brown,Nikola Jokić,DEN,24,62,18,44,6,18,86,34.604651162790695,38
Matas Buzelis,Nikola Vučević,CHI,34,35,29,17,5,18,69,34.492753623188406,1
Brandon Miller,Miles Bridges,CHA,38,31,18,10,20,21,69,34.14492753623188,7
Jaylen Brown,Neemias Queta,BOS,52,25,52,17,0,8,77,33.76623376623377,27
DeMar DeRozan,Maxime Raynaud,SAC,48,26,42,24,6,2,74,33.729729729729726,22
Cooper Flagg,Ryan Nembhard,DAL,24,56,10,47,14,9,80,33.6,32
Deni Avdija,Jerami Grant,POR,51,25,11,9,40,16,76,33.55263157894737,26
Keyonte George,Kyle Filipowski,UTA,38,30,26,19,12,11,68,33.529411764705884,8
Karl-Anthony Towns,OG Anunoby,NYK,44,27,29,16,15,11,71,33.46478873239437,17
Neemias Queta,Payton Pritchard,BOS,22,68,10,68,12,0,90,33.24444444444445,46
Jabari Smith Jr.,Reed Sheppard,HOU,27,43,5,24,22,19,70,33.17142857142857,16
Sandro Mamukelashvili,Scottie Barnes,TOR,25,49,21,31,4,18,74,33.108108108108105,24
Alperen Sengun,Jabari Smith Jr.,HOU,78,21,39,17,39,4,99,33.09090909090909,57
Kelly Oubre Jr.,Tyrese Maxey,PHI,22,66,15,27,7,39,88,33,44
Bam Adebayo,Norman Powell,MIA,33,33,21,22,12,11,66,33,0
Andrew Wiggins,Bam Adebayo,MIA,34,32,18,12,16,20,66,32.96969696969697,2
Andrew Wiggins,Davion Mitchell,MIA,21,76,8,28,13,48,97,32.90721649484536,55
