player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Aaron Wiggins,Branden Carlson,OKC,4,2,3,1,1,1,6,2.6666666666666665,2
Blake Wesley,Jrue Holiday,POR,2,4,1,3,1,1,6,2.6666666666666665,2
Anthony Davis,Jaden Hardy,DAL,4,2,2,2,2,0,6,2.6666666666666665,2
Coby White,Dalen Terry,CHI,4,2,1,1,3,1,6,2.6666666666666665,2
Ethan Thompson,T.J. McConnell,IND,2,4,1,1,1,3,6,2.6666666666666665,2
Moses Moody,Trayce Jackson-Davis,GSW,2,4,2,4,0,0,6,2.6666666666666665,2
Anthony Gill,Jamir Watkins,WAS,4,2,2,2,2,0,6,2.6666666666666665,2
Cody Williams,Lauri Markkanen,UTA,4,2,1,2,3,0,6,2.6666666666666665,2
De'Andre Hunter,Nae'Qwan Tomlin,CLE,4,2,2,1,2,1,6,2.6666666666666665,2
E.J. Liddell,Tyson Etienne,BKN,2,4,0,2,2,2,6,2.6666666666666665,2
Noah Penda,Tristan da Silva,ORL,4,2,4,1,0,1,6,2.6666666666666665,2
Jordan Clarkson,Mohamed Diawara,NYK,4,2,2,0,2,2,6,2.6666666666666665,2
Adem Bona,Cameron Payne,PHI,2,4,1,4,1,0,6,2.6666666666666665,2
Jock Landale,Zaccharie Risacher,ATL,4,2,1,2,3,0,6,2.6666666666666665,2
Kelly Olynyk,Lindy Waters III,SAS,4,2,1,1,3,1,6,2.6666666666666665,2
Jordan Hawkins,Yves Missi,NOP,2,3,2,1,0,2,5,2.4,1
Kevin Love,Svi Mykhailiuk,UTA,3,2,1,2,2,0,5,2.4,1
Isaiah Stewart,Kevin Huerter,DET,2,3,0,1,2,2,5,2.4,1
Garrison Mathews,Pascal Siakam,IND,3,2,1,0,2,2,5,2.4,1
Ben Sheppard,Taelon Peter,IND,2,3,1,1,1,2,5,2.4,1
Kevin Porter Jr.,Ousmane Dieng,MIL,3,2,1,2,2,0,5,2.4,1
Ariel Hukporti,Mikal Bridges,NYK,2,3,2,3,0,0,5,2.4,1
Anfernee Simons,Guerschon Yabusele,CHI,3,2,1,0,2,2,5,2.4,1
Liam McNeeley,Sion James,CHA,3,2,1,0,2,2,5,2.4,1
Duop Reath,Shaedon Sharpe,POR,2,3,1,1,1,2,5,2.4,1
Malik Monk,Patrick Baldwin Jr.,SAC,3,2,0,1,3,1,5,2.4,1
Jamal Cain,Jase Richardson,ORL,3,2,2,0,1,2,5,2.4,1
Jordan Hawkins,Jordan Poole,NOP,3,2,1,2,2,0,5,2.4,1
Adama Bal,Jahmai Mashack,MEM,3,2,2,1,1,1,5,2.4,1
Cam Whitmore,Tre Johnson,WAS,2,3,1,2,1,1,5,2.4,1
Sidy Cissoko,Vít Krejčí,POR,2,3,1,1,1,2,5,2.4,1
LaMelo Ball,Tre Mann,CHA,3,2,1,0,2,2,5,2.4,1
Gui Santos,Nate Williams,GSW,3,2,2,2,1,0,5,2.4,1
Ariel Hukporti,Mohamed Diawara,NYK,2,3,1,3,1,0,5,2.4,1
Branden Carlson,Ousmane Dieng,OKC,2,3,1,2,1,1,5,2.4,1
Dylan Harper,Kelly Olynyk,SAS,3,2,2,2,1,0,5,2.4,1
Bronny James,Jaxson Hayes,LAL,3,2,2,1,1,1,5,2.4,1
Jeremiah Robinson-Earl,Pascal Siakam,IND,2,3,2,2,0,1,5,2.4,1
Ben Saraf,Cam Thomas,BKN,3,2,1,0,2,2,5,2.4,1
GG Jackson,John Konchar,MEM,2,3,1,2,1,1,5,2.4,1
Isaiah Collier,John Konchar,UTA,2,3,1,3,1,0,5,2.4,1
Ben Saraf,Nolan Traore,BKN,2,3,1,3,1,0,5,2.4,1
Trae Young,Will Riley,WAS,3,2,1,1,2,1,5,2.4,1
Carter Bryant,Devin Vassell,SAS,3,2,2,0,1,2,5,2.4,1
Anfernee Simons,Jaden Ivey,CHI,3,2,1,0,2,2,5,2.4,1
Bilal Coulibaly,Leaky Black,WAS,2,3,2,0,0,3,5,2.4,1
Jalen Wilson,Ochai Agbaji,BKN,3,2,2,0,1,2,5,2.4,1
Marvin Bagley III,Max Christie,DAL,3,2,1,1,2,1,5,2.4,1
Myron Gardner,Pelle Larsson,MIA,2,3,2,2,0,1,5,2.4,1
Caleb Love,Vít Krejčí,POR,3,2,2,1,1,1,5,2.4,1
Donovan Clingan,Matisse Thybulle,POR,3,2,1,1,2,1,5,2.4,1
Jaylen Brown,Ron Harper Jr.,BOS,3,2,0,1,3,1,5,2.4,1
A.J. Lawson,Sandro Mamukelashvili,TOR,2,3,1,2,1,1,5,2.4,1
Cedric Coward,Rayan Rupert,MEM,2,3,2,3,0,0,5,2.4,1
Kelly Oubre Jr.,Paul George,PHI,2,3,1,1,1,2,5,2.4,1
Jabari Smith Jr.,Jae'Sean Tate,HOU,2,3,1,1,1,2,5,2.4,1
Jaden Hardy,Miles Kelly,DAL,2,3,0,0,2,3,5,2.4,1
Jalen Slawson,Jarace Walker,IND,3,2,2,1,1,1,5,2.4,1
Jaylen Clark,Terrence Shannon Jr.,MIN,2,3,1,1,1,2,5,2.4,1
Jevon Carter,Wendell Carter Jr.,ORL,2,3,1,1,1,2,5,2.4,1
Aaron Nesmith,Micah Potter,IND,3,2,3,1,0,1,5,2.4,1
Dylan Cardwell,Precious Achiuwa,SAC,3,2,3,2,0,0,5,2.4,1
Christian Braun,Peyton Watson,DEN,2,3,2,3,0,0,5,2.4,1
Karl-Anthony Towns,Mohamed Diawara,NYK,3,2,1,0,2,2,5,2.4,1
Hugo González,Jordan Walsh,BOS,2,3,1,2,1,1,5,2.4,1
Ochai Agbaji,RJ Barrett,TOR,3,2,2,2,1,0,5,2.4,1
Keshad Johnson,Myron Gardner,MIA,2,3,1,1,1,2,5,2.4,1
Justin Edwards,MarJon Beauchamp,PHI,2,3,0,1,2,2,5,2.4,1
Keon Ellis,Max Strus,CLE,2,3,1,1,1,2,5,2.4,1
Kristaps Porziņģis,Onyeka Okongwu,ATL,2,3,2,1,0,2,5,2.4,1
Cameron Payne,Justin Edwards,PHI,3,2,3,0,0,2,5,2.4,1
Jahmai Mashack,Rayan Rupert,MEM,3,2,0,2,3,0,5,2.4,1
Josh Green,Tre Mann,CHA,3,2,2,2,1,0,5,2.4,1
Jaylin Williams,Ousmane Dieng,OKC,3,2,2,0,1,2,5,2.4,1
Kentavious Caldwell-Pope,Ty Jerome,MEM,2,3,1,3,1,0,5,2.4,1
Dalen Terry,Kevin Huerter,CHI,2,3,1,0,1,3,5,2.4,1
Kevon Looney,Saddiq Bey,NOP,2,3,0,2,2,1,5,2.4,1
Scotty Pippen Jr.,Ty Jerome,MEM,3,2,2,2,1,0,5,2.4,1
CJ McCollum,Will Riley,WAS,3,2,2,2,1,0,5,2.4,1
Cameron Payne,Dominick Barlow,PHI,3,2,2,0,1,2,5,2.4,1
Cedric Coward,Kentavious Caldwell-Pope,MEM,3,2,3,2,0,0,5,2.4,1
AJ Green,Gary Harris,MIL,2,3,0,0,2,3,5,2.4,1
Jaden Ivey,Paul Reed,DET,3,2,2,1,1,1,5,2.4,1
Alondes Williams,Anthony Gill,WAS,3,2,3,1,0,1,5,2.4,1
Gary Harris,Jericho Sims,MIL,2,3,2,2,0,1,5,2.4,1
Kelly Olynyk,Stephon Castle,SAS,2,3,1,1,1,2,5,2.4,1
Aaron Nesmith,Johnny Furphy,IND,2,3,1,2,1,1,5,2.4,1
Coby White,Moussa Diabaté,CHA,2,3,2,1,0,2,5,2.4,1
Adama Bal,Lucas Williamson,MEM,2,3,1,1,1,2,5,2.4,1
Kenrich Williams,Luguentz Dort,OKC,2,3,0,1,2,2,5,2.4,1
Alijah Martin,Scottie Barnes,TOR,2,3,2,2,0,1,5,2.4,1
MarJon Beauchamp,Quentin Grimes,PHI,2,3,2,2,0,1,5,2.4,1
Caleb Love,Javonte Cooke,POR,3,2,1,2,2,0,5,2.4,1
Ariel Hukporti,Jordan Clarkson,NYK,3,2,3,2,0,0,5,2.4,1
Jase Richardson,Jonathan Isaac,ORL,3,2,3,0,0,2,5,2.4,1
Shaedon Sharpe,Yang Hansen,POR,2,3,1,2,1,1,5,2.4,1
Anfernee Simons,Jordan Walsh,BOS,3,2,2,1,1,1,5,2.4,1
Bryce McGowens,Yves Missi,NOP,2,3,2,2,0,1,5,2.4,1
Pat Connaughton,Sion James,CHA,2,3,1,1,1,2,5,2.4,1
Jerami Grant,Rayan Rupert,POR,3,2,1,1,2,1,5,2.4,1
Jalen Slawson,Kobe Brown,IND,3,2,1,1,2,1,5,2.4,1
Olivier-Maxence Prosper,Tyler Burton,MEM,2,3,1,1,1,2,5,2.4,1
Johnny Juzang,Rob Dillingham,MIN,3,2,1,1,2,1,5,2.4,1
Duncan Robinson,Jaden Ivey,DET,2,3,1,1,1,2,5,2.4,1
John Konchar,Santi Aldama,MEM,3,2,1,1,2,1,5,2.4,1
LaMelo Ball,Liam McNeeley,CHA,2,3,1,0,1,3,5,2.4,1
Olivier-Maxence Prosper,Vince Williams Jr.,MEM,2,3,0,0,2,3,5,2.4,1
Baylor Scheierman,Nikola Vučević,BOS,2,3,2,3,0,0,5,2.4,1
Jay Huff,RayJ Dennis,IND,2,3,1,3,1,0,5,2.4,1
Gabe Vincent,Jalen Johnson,ATL,2,3,2,0,0,3,5,2.4,1
Coby White,LaMelo Ball,CHA,2,3,0,1,2,2,5,2.4,1
Skal Labissiere,Will Riley,WAS,2,3,0,3,2,0,5,2.4,1
Olivier-Maxence Prosper,Rayan Rupert,MEM,3,2,3,1,0,1,5,2.4,1
Jonathan Kuminga,Pat Spencer,GSW,3,2,2,0,1,2,5,2.4,1
Anthony Black,Jett Howard,ORL,2,3,0,2,2,1,5,2.4,1
Bronny James,Jake LaRavia,LAL,3,2,2,1,1,1,5,2.4,1
Goga Bitadze,Jase Richardson,ORL,2,3,2,3,0,0,5,2.4,1
Andre Jackson Jr.,Ryan Rollins,MIL,3,2,1,2,2,0,5,2.4,1
Myron Gardner,Nikola Jović,MIA,2,3,1,1,1,2,5,2.4,1
Bryce McGowens,Karlo Matković,NOP,3,2,2,0,1,2,5,2.4,1
Gabe Vincent,Zaccharie Risacher,ATL,3,2,1,0,2,2,5,2.4,1
Gabe Vincent,Jarred Vanderbilt,LAL,3,2,2,0,1,2,5,2.4,1
Ivica Zubac,Jarace Walker,IND,2,3,1,3,1,0,5,2.4,1
Anthony Gill,Leaky Black,WAS,2,3,0,1,2,2,5,2.4,1
Ariel Hukporti,OG Anunoby,NYK,3,2,1,2,2,0,5,2.4,1
Cam Thomas,Kyle Kuzma,MIL,3,2,3,2,0,0,5,2.4,1
Rayan Rupert,Toumani Camara,POR,2,3,0,2,2,1,5,2.4,1
Isaac Okoro,Rob Dillingham,CHI,2,3,2,2,0,1,5,2.4,1
Bryce McGowens,Jordan Hawkins,NOP,3,2,0,1,3,1,5,2.4,1
Jonas Valančiūnas,Zeke Nnaji,DEN,3,2,1,2,2,0,5,2.4,1
Jalen Brunson,Jose Alvarado,NYK,2,3,2,2,0,1,5,2.4,1
Buddy Hield,De'Anthony Melton,GSW,2,3,2,2,0,1,5,2.4,1
Nolan Traore,Trevon Scott,BKN,2,3,1,2,1,1,5,2.4,1
Brandon Williams,John Poulakidas,DAL,3,2,1,2,2,0,5,2.4,1
Jaylon Tyson,Keon Ellis,CLE,2,3,0,2,2,1,5,2.4,1
Josh Minott,Ochai Agbaji,BKN,2,2,2,2,0,0,4,2,0
Anthony Edwards,Terrence Shannon Jr.,MIN,2,2,1,2,1,0,4,2,0
Rayan Rupert,Shaedon Sharpe,POR,2,2,2,2,0,0,4,2,0
Marvin Bagley III,P.J. Washington,DAL,2,2,1,2,1,0,4,2,0
Anfernee Simons,Isaac Okoro,CHI,2,2,2,1,0,1,4,2,0
Jeremy Sochan,Keldon Johnson,SAS,2,2,2,2,0,0,4,2,0
Amir Coffey,Rasheer Fleming,PHX,2,2,0,2,2,0,4,2,0
Evan Mobley,Luke Travers,CLE,2,2,2,2,0,0,4,2,0
Drake Powell,Tyson Etienne,BKN,2,2,0,1,2,1,4,2,0
Cam Thomas,Drake Powell,BKN,2,2,1,1,1,1,4,2,0
Dwight Powell,Khris Middleton,DAL,2,2,2,2,0,0,4,2,0
Keegan Murray,Malik Monk,SAC,2,2,1,1,1,1,4,2,0
Andrew Nembhard,Jeremiah Robinson-Earl,IND,2,2,2,2,0,0,4,2,0
Malevy Leons,Nate Williams,GSW,2,2,1,2,1,0,4,2,0
Pat Spencer,Seth Curry,GSW,2,2,0,2,2,0,4,2,0
Dalen Terry,Josh Giddey,CHI,2,2,0,2,2,0,4,2,0
Jabari Walker,Joel Embiid,PHI,2,2,1,2,1,0,4,2,0
Scotty Pippen Jr.,Walter Clayton Jr.,MEM,2,2,1,2,1,0,4,2,0
Darius Garland,Lonzo Ball,CLE,2,2,1,1,1,1,4,2,0
Ethan Thompson,Jay Huff,IND,2,2,0,1,2,1,4,2,0
Stephen Curry,Trayce Jackson-Davis,GSW,2,2,2,0,0,2,4,2,0
Blake Hinson,Kyle Filipowski,UTA,2,2,2,0,0,2,4,2,0
Caleb Martin,Daniel Gafford,DAL,2,2,2,0,0,2,4,2,0
Collin Sexton,Pat Connaughton,CHA,2,2,1,1,1,1,4,2,0
Javon Small,Scotty Pippen Jr.,MEM,2,2,1,1,1,1,4,2,0
Andrew Nembhard,Kam Jones,IND,2,2,1,2,1,0,4,2,0
Jarace Walker,RayJ Dennis,IND,2,2,1,0,1,2,4,2,0
Karlo Matković,Yves Missi,NOP,2,2,2,0,0,2,4,2,0
Cam Thomas,Ousmane Dieng,MIL,2,2,0,2,2,0,4,2,0
Andre Jackson Jr.,Jericho Sims,MIL,2,2,2,2,0,0,4,2,0
Malaki Branham,Marvin Bagley III,WAS,2,2,2,2,0,0,4,2,0
Ethan Thompson,Jalen Slawson,IND,2,2,2,0,0,2,4,2,0
Andre Drummond,MarJon Beauchamp,PHI,2,2,2,0,0,2,4,2,0
Jevon Carter,Josh Giddey,CHI,2,2,1,1,1,1,4,2,0
Jarred Vanderbilt,Nick Smith Jr.,LAL,2,2,1,1,1,1,4,2,0
Gui Santos,LJ Cryer,GSW,2,2,0,0,2,2,4,2,0
Andersson Garcia,Elijah Harkless,UTA,2,2,1,2,1,0,4,2,0
Devin Carter,Russell Westbrook,SAC,2,2,1,2,1,0,4,2,0
Harrison Barnes,Kelly Olynyk,SAS,2,2,0,0,2,2,4,2,0
Jalen Johnson,Jonathan Kuminga,ATL,2,2,1,1,1,1,4,2,0
Jamal Cain,Jett Howard,ORL,2,2,0,0,2,2,4,2,0
Aaron Nesmith,Isaiah Jackson,IND,2,2,2,1,0,1,4,2,0
D'Angelo Russell,Ryan Nembhard,DAL,2,2,1,1,1,1,4,2,0
Duop Reath,Rayan Rupert,POR,2,2,1,1,1,1,4,2,0
Amen Thompson,Jae'Sean Tate,HOU,2,2,0,2,2,0,4,2,0
Keon Ellis,Thomas Bryant,CLE,2,2,1,2,1,0,4,2,0
Guerschon Yabusele,Karl-Anthony Towns,NYK,2,2,1,2,1,0,4,2,0
Aaron Wiggins,Jared McCain,OKC,2,2,0,1,2,1,4,2,0
Dalen Terry,Lachlan Olbrich,CHI,2,2,2,1,0,1,4,2,0
Isaiah Livers,Jordan Goodwin,PHX,2,2,0,0,2,2,4,2,0
Amir Coffey,Pete Nance,MIL,2,2,0,2,2,0,4,2,0
Jeremiah Robinson-Earl,Klay Thompson,DAL,2,2,0,1,2,1,4,2,0
Andre Jackson Jr.,Bobby Portis,MIL,2,2,0,0,2,2,4,2,0
Malaki Branham,Will Riley,WAS,2,2,1,0,1,2,4,2,0
Ayo Dosunmu,Mike Conley,MIN,2,2,0,1,2,1,4,2,0
Collin Sexton,Lachlan Olbrich,CHI,2,2,2,1,0,1,4,2,0
Brook Lopez,Cam Christie,LAC,2,2,0,0,2,2,4,2,0
Gui Santos,Jimmy Butler III,GSW,2,2,2,1,0,1,4,2,0
Josh Hart,Mitchell Robinson,NYK,2,2,2,1,0,1,4,2,0
Scoot Henderson,Sidy Cissoko,POR,2,2,2,1,0,1,4,2,0
Jalen Williams,Jaylin Williams,OKC,2,2,2,2,0,0,4,2,0
Kevin McCullar Jr.,OG Anunoby,NYK,2,2,0,0,2,2,4,2,0
David Jones Garcia,De'Aaron Fox,SAS,2,2,1,0,1,2,4,2,0
Devin Booker,Isaiah Livers,PHX,2,2,0,0,2,2,4,2,0
Amir Coffey,Kyle Kuzma,MIL,2,2,2,1,0,1,4,2,0
Jabari Walker,Kelly Oubre Jr.,PHI,2,2,1,1,1,1,4,2,0
Mason Plumlee,Sion James,CHA,2,2,2,2,0,0,4,2,0
Jaden Ivey,Tobias Harris,DET,2,2,1,0,1,2,4,2,0
Karlo Matković,Micah Peavy,NOP,2,2,2,2,0,0,4,2,0
Jonathan Isaac,Wendell Carter Jr.,ORL,2,2,0,2,2,0,4,2,0
Gary Payton II,Trayce Jackson-Davis,GSW,2,2,2,2,0,0,4,2,0
Anthony Black,Jevon Carter,ORL,2,2,1,1,1,1,4,2,0
Blake Hinson,Oscar Tshiebwe,UTA,2,2,2,1,0,1,4,2,0
Justin Edwards,Tyrese Martin,PHI,2,2,0,0,2,2,4,2,0
A.J. Lawson,Gradey Dick,TOR,2,2,2,1,0,1,4,2,0
Javonte Green,Tobias Harris,DET,2,2,2,0,0,2,4,2,0
Elijah Harkless,John Konchar,UTA,2,2,2,1,0,1,4,2,0
Gary Harris,Giannis Antetokounmpo,MIL,2,2,2,0,0,2,4,2,0
Jusuf Nurkić,Taylor Hendricks,UTA,2,2,2,1,0,1,4,2,0
Dwight Powell,Jaden Hardy,DAL,2,2,0,2,2,0,4,2,0
Brooks Barnhizer,Isaiah Joe,OKC,2,2,0,2,2,0,4,2,0
Isaac Okoro,Jaden Ivey,CHI,2,2,0,2,2,0,4,2,0
Klay Thompson,Ryan Nembhard,DAL,1,42,0,12,1,30,43,1.9534883720930232,41
Deandre Ayton,Marcus Smart,LAL,1,30,0,30,1,0,31,1.935483870967742,29
Drew Eubanks,Russell Westbrook,SAC,1,29,0,28,1,1,30,1.9333333333333333,28
AJ Green,Kevin Porter Jr.,MIL,1,26,1,2,0,24,27,1.9259259259259258,25
Dru Smith,Kel'el Ware,MIA,23,1,14,0,9,1,24,1.9166666666666667,22
Daniel Gafford,Ryan Nembhard,DAL,1,19,0,19,1,0,20,1.9,18
Cody Williams,John Konchar,UTA,1,19,0,16,1,3,20,1.9,18
Olivier-Maxence Prosper,Walter Clayton Jr.,MEM,1,18,0,11,1,7,19,1.894736842105263,17
Jaylen Wells,Ty Jerome,MEM,1,18,0,10,1,8,19,1.894736842105263,17
Aaron Nesmith,Quenton Jackson,IND,1,17,1,11,0,6,18,1.8888888888888888,16
Dennis Schröder,Precious Achiuwa,SAC,17,1,16,1,1,0,18,1.8888888888888888,16
Daeqwon Plowden,DeMar DeRozan,SAC,1,15,0,7,1,8,16,1.875,14
Kam Jones,Taelon Peter,IND,15,1,5,0,10,1,16,1.875,14
Jalen Pickett,Zeke Nnaji,DEN,15,1,13,0,2,1,16,1.875,14
Killian Hayes,Malik Monk,SAC,14,1,10,1,4,0,15,1.8666666666666667,13
Isaiah Hartenstein,Jared McCain,OKC,14,1,8,1,6,0,15,1.8666666666666667,13
Ben Saraf,Michael Porter Jr.,BKN,14,1,6,0,8,1,15,1.8666666666666667,13
Jaren Jackson Jr.,Zach Edey,MEM,13,1,13,1,0,0,14,1.8571428571428572,12
Guerschon Yabusele,Jalen Brunson,NYK,1,12,0,5,1,7,13,1.8461538461538463,11
Kel'el Ware,Nikola Jović,MIA,1,12,0,10,1,2,13,1.8461538461538463,11
Justin Champagnie,Sharife Cooper,WAS,1,11,1,6,0,5,12,1.8333333333333333,10
Tristan da Silva,Tyus Jones,ORL,1,11,1,2,0,9,12,1.8333333333333333,10
Brook Lopez,Chris Paul,LAC,1,11,0,2,1,9,12,1.8333333333333333,10
Trae Young,Tre Johnson,WAS,11,1,3,1,8,0,12,1.8333333333333333,10
GG Jackson,Ty Jerome,MEM,1,11,0,6,1,5,12,1.8333333333333333,10
Dennis Schröder,Drew Eubanks,SAC,10,1,10,1,0,0,11,1.8181818181818181,9
Joan Beringer,Joe Ingles,MIN,1,10,1,10,0,0,11,1.8181818181818181,9
Doug McDermott,Nique Clifford,SAC,1,10,1,0,0,10,11,1.8181818181818181,9
CJ McCollum,Jonathan Kuminga,ATL,10,1,7,0,3,1,11,1.8181818181818181,9
Daeqwon Plowden,Russell Westbrook,SAC,1,10,0,5,1,5,11,1.8181818181818181,9
Chris Paul,John Collins,LAC,10,1,10,0,0,1,11,1.8181818181818181,9
Johnny Furphy,T.J. McConnell,IND,1,10,1,6,0,4,11,1.8181818181818181,9
Jaren Jackson Jr.,Javon Small,MEM,1,9,0,6,1,3,10,1.8,8
Gary Harris,Gary Trent Jr.,MIL,9,1,2,0,7,1,10,1.8,8
Gabe Vincent,Rui Hachimura,LAL,9,1,4,1,5,0,10,1.8,8
D'Angelo Russell,Jaden Hardy,DAL,9,1,3,0,6,1,10,1.8,8
Asa Newell,Nickeil Alexander-Walker,ATL,1,9,1,5,0,4,10,1.8,8
AJ Green,Ousmane Dieng,MIL,1,8,0,1,1,7,9,1.7777777777777777,7
Jordan Walsh,Sam Hauser,BOS,1,8,0,3,1,5,9,1.7777777777777777,7
Khris Middleton,Ryan Nembhard,DAL,1,8,0,2,1,6,9,1.7777777777777777,7
Kristaps Porziņģis,Trae Young,ATL,1,8,1,4,0,4,9,1.7777777777777777,7
Doug McDermott,Malik Monk,SAC,1,8,0,1,1,7,9,1.7777777777777777,7
Goga Bitadze,Noah Penda,ORL,1,8,1,8,0,0,9,1.7777777777777777,7
Jock Landale,John Konchar,MEM,1,8,0,6,1,2,9,1.7777777777777777,7
Dalton Knecht,Luka Dončić,LAL,1,8,0,3,1,5,9,1.7777777777777777,7
James Harden,Thomas Bryant,CLE,8,1,5,0,3,1,9,1.7777777777777777,7
Dyson Daniels,Gabe Vincent,ATL,1,8,0,5,1,3,9,1.7777777777777777,7
Cason Wallace,Jared McCain,OKC,8,1,2,0,6,1,9,1.7777777777777777,7
Herbert Jones,Jose Alvarado,NOP,1,8,0,4,1,4,9,1.7777777777777777,7
Jeremy Sochan,Julian Champagnie,SAS,8,1,2,1,6,0,9,1.7777777777777777,7
Javon Small,Santi Aldama,MEM,8,1,5,1,3,0,9,1.7777777777777777,7
Doug McDermott,Killian Hayes,SAC,1,8,1,0,0,8,9,1.7777777777777777,7
Blake Wesley,Kris Murray,POR,8,1,6,1,2,0,9,1.7777777777777777,7
Dominick Barlow,Trendon Watford,PHI,1,8,1,7,0,1,9,1.7777777777777777,7
Garrison Mathews,T.J. McConnell,IND,1,8,1,3,0,5,9,1.7777777777777777,7
Chaz Lanier,Daniss Jenkins,DET,1,8,0,1,1,7,9,1.7777777777777777,7
CJ McCollum,Luke Kennard,ATL,8,1,2,0,6,1,9,1.7777777777777777,7
Kyle Anderson,Lauri Markkanen,UTA,8,1,8,1,0,0,9,1.7777777777777777,7
Ayo Dosunmu,Kyle Anderson,MIN,1,8,1,5,0,3,9,1.7777777777777777,7
Jalen Wilson,Tyrese Martin,BKN,1,8,0,0,1,8,9,1.7777777777777777,7
Chris Paul,Kawhi Leonard,LAC,8,1,5,0,3,1,9,1.7777777777777777,7
Ivica Zubac,T.J. McConnell,IND,1,8,1,8,0,0,9,1.7777777777777777,7
Taylor Hendricks,Ty Jerome,MEM,1,8,1,5,0,3,9,1.7777777777777777,7
James Harden,Yanic Konan Niederhäuser,LAC,7,1,7,0,0,1,8,1.75,6
Bruce Brown,Zeke Nnaji,DEN,7,1,7,1,0,0,8,1.75,6
Derrick Jones Jr.,Jordan Miller,LAC,1,7,1,3,0,4,8,1.75,6
Jaden Hardy,Tristan Vukcevic,WAS,7,1,5,0,2,1,8,1.75,6
CJ McCollum,Zaccharie Risacher,ATL,7,1,2,1,5,0,8,1.75,6
Trae Young,Vít Krejčí,ATL,7,1,0,1,7,0,8,1.75,6
Cody Williams,Jusuf Nurkić,UTA,1,7,1,6,0,1,8,1.75,6
Jordan Hawkins,Saddiq Bey,NOP,1,7,0,1,1,6,8,1.75,6
Caleb Martin,P.J. Washington,DAL,7,1,5,1,2,0,8,1.75,6
Isaiah Jackson,Kris Dunn,LAC,1,7,1,7,0,0,8,1.75,6
Grant Williams,Sion James,CHA,1,7,0,4,1,3,8,1.75,6
Jabari Walker,Jared McCain,PHI,1,7,1,4,0,3,8,1.75,6
Kevin Huerter,Ronald Holland II,DET,7,1,3,1,4,0,8,1.75,6
DeMar DeRozan,Keon Ellis,SAC,7,1,2,0,5,1,8,1.75,6
Jaxson Hayes,Marcus Smart,LAL,1,7,0,7,1,0,8,1.75,6
Coby White,Ryan Kalkbrenner,CHA,7,1,7,1,0,0,8,1.75,6
Klay Thompson,Tyus Jones,DAL,1,7,1,3,0,4,8,1.75,6
Jarred Vanderbilt,Marcus Smart,LAL,1,7,1,3,0,4,8,1.75,6
Nique Clifford,Zach LaVine,SAC,7,1,3,0,4,1,8,1.75,6
Collin Murray-Boyles,Gradey Dick,TOR,7,1,3,1,4,0,8,1.75,6
Blake Wesley,Jerami Grant,POR,7,1,2,0,5,1,8,1.75,6
Buddy Hield,Moses Moody,GSW,7,1,2,0,5,1,8,1.75,6
Jay Huff,Taelon Peter,IND,1,7,0,3,1,4,8,1.75,6
Bogdan Bogdanović,Ivica Zubac,LAC,7,1,7,0,0,1,8,1.75,6
Cole Anthony,Pete Nance,MIL,7,1,6,0,1,1,8,1.75,6
Chris Paul,Kris Dunn,LAC,6,1,4,0,2,1,7,1.7142857142857142,5
Daniel Gafford,Jaden Hardy,DAL,1,6,1,6,0,0,7,1.7142857142857142,5
Jamaree Bouyea,Khaman Maluach,PHX,6,1,5,1,1,0,7,1.7142857142857142,5
Jahmai Mashack,Taylor Hendricks,MEM,6,1,3,0,3,1,7,1.7142857142857142,5
Lonzo Ball,Sam Merrill,CLE,6,1,1,0,5,1,7,1.7142857142857142,5
Patrick Williams,Yuki Kawamura,CHI,1,6,0,3,1,3,7,1.7142857142857142,5
Dorian Finney-Smith,Jabari Smith Jr.,HOU,6,1,2,0,4,1,7,1.7142857142857142,5
Killian Hayes,Maxime Raynaud,SAC,6,1,5,0,1,1,7,1.7142857142857142,5
Dalen Terry,Jalen Smith,CHI,6,1,1,1,5,0,7,1.7142857142857142,5
Daniss Jenkins,Jaden Ivey,DET,6,1,2,0,4,1,7,1.7142857142857142,5
Kobe Brown,Yanic Konan Niederhäuser,LAC,6,1,6,1,0,0,7,1.7142857142857142,5
Moussa Cisse,Ryan Nembhard,DAL,1,6,1,6,0,0,7,1.7142857142857142,5
Jalen Suggs,Tyus Jones,ORL,1,6,0,3,1,3,7,1.7142857142857142,5
Deni Avdija,Vít Krejčí,POR,6,1,2,1,4,0,7,1.7142857142857142,5
Ace Bailey,Kennedy Chandler,UTA,1,6,1,4,0,2,7,1.7142857142857142,5
Luka Dončić,Maxi Kleber,LAL,6,1,5,0,1,1,7,1.7142857142857142,5
Bilal Coulibaly,Khris Middleton,WAS,1,6,0,1,1,5,7,1.7142857142857142,5
Moussa Cisse,Naji Marshall,DAL,1,6,1,6,0,0,7,1.7142857142857142,5
AJ Green,Cole Anthony,MIL,1,6,1,0,0,6,7,1.7142857142857142,5
Jase Richardson,Tristan da Silva,ORL,6,1,3,1,3,0,7,1.7142857142857142,5
Adem Bona,Trendon Watford,PHI,1,6,1,6,0,0,7,1.7142857142857142,5
Jaylen Wells,Taylor Hendricks,MEM,1,6,1,3,0,3,7,1.7142857142857142,5
