seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,name,value,ht_ft,ht_in,wt,full_in_ht
30156,2022,4984,Marko Simonovic,C,CHI,9,35,0,0,0,8,92,big_percent,100,6,11,216,83
30157,2022,4863,Markus Howard,SG,DEN,24,140,3,66,31,0,0,small_wing_percent,97,5,10,175,70
30158,2022,4428,Marquese Chriss,PF,DAL,23,256,0,0,0,21,79,big_percent,100,6,9,240,81
30160,2022,4656,Marvin Bagley III,PF,SAC,30,656,0,0,0,78,22,big_percent,100,6,11,235,83
30161,2022,4656,Marvin Bagley III,PF,DET,4,90,0,0,0,80,20,big_percent,100,6,11,235,83
30162,2022,4864,Mason Jones,SG,LAL,2,9,0,100,0,0,0,guard_percent,100,6,4,200,76
30162,2022,4864,Mason Jones,SG,LAL,2,9,0,100,0,0,0,small_wing_percent,100,6,4,200,76
30163,2022,4180,Mason Plumlee,C,CHO,54,1363,0,0,0,0,100,big_percent,100,6,11,254,83
30164,2022,4760,Matisse Thybulle,SG,PHI,45,1185,3,49,47,2,0,small_wing_percent,96,6,5,201,77
30165,2022,4761,Matt Mooney,SG,NYK,1,2,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA
30166,2022,4762,Matt Thomas,SG,CHI,37,451,47,50,3,0,0,guard_percent,97,6,4,190,76
30167,2022,4115,Maurice Harkless,SF,SAC,43,842,0,2,74,24,0,big_wing_percent,98,6,7,220,79
30168,2022,4763,Max Strus,SF,MIA,49,1149,0,14,49,37,0,big_wing_percent,86,6,5,215,77
30169,2022,4547,Maxi Kleber,PF,DAL,44,1104,0,0,0,64,36,big_percent,100,6,10,240,82
30170,2022,4985,McKinley Wright IV,PG,MIN,3,9,86,14,0,0,0,guard_percent,100,6,0,196,72
30171,2022,4986,Micah Potter,C,DET,3,31,0,0,0,0,100,big_percent,100,NA,NA,NA,NA
30172,2022,4766,Michael Porter Jr.,SF,DEN,9,265,0,0,91,9,0,big_wing_percent,100,6,10,218,82
30173,2022,4658,Mikal Bridges,SF,PHO,61,2127,0,8,88,3,0,small_wing_percent,96,6,6,209,78
30174,2022,3779,Mike Conley,PG,UTA,54,1528,100,0,0,0,0,guard_percent,100,6,1,175,73
30175,2022,4183,Mike Muscala,C,OKC,43,592,0,0,0,0,100,big_percent,100,6,10,240,82
30176,2022,4659,Miles Bridges,PF,CHO,61,2206,0,0,13,74,13,big_wing_percent,87,6,6,225,78
30176,2022,4659,Miles Bridges,PF,CHO,61,2206,0,0,13,74,13,big_percent,87,6,6,225,78
30177,2022,4987,Miles McBride,PG,NYK,22,153,95,5,0,0,0,guard_percent,100,6,2,200,74
30178,2022,4661,Mitchell Robinson,C,NYK,55,1394,0,0,0,0,100,big_percent,100,7,0,240,84
30179,2022,4767,Miye Oni,SG,UTA,16,44,0,10,84,6,0,small_wing_percent,94,NA,NA,NA,NA
30180,2022,4662,Mo Bamba,C,ORL,51,1328,0,0,0,2,98,big_percent,100,7,0,231,84
30181,2022,4551,Monte Morris,PG,DEN,55,1646,88,12,0,0,0,guard_percent,100,6,2,183,74
30183,2022,4349,Montrezl Harrell,C,WAS,46,1117,0,0,0,0,100,big_percent,100,6,7,240,79
30184,2022,4349,Montrezl Harrell,C,CHO,7,200,0,0,0,18,82,big_percent,100,6,7,240,79
30185,2022,4663,Moritz Wagner,C,ORL,45,564,0,0,0,24,76,big_percent,100,6,11,245,83
30186,2022,4768,Moses Brown,C,DAL,26,169,0,0,0,2,98,big_percent,100,NA,NA,NA,NA
30187,2022,4988,Moses Moody,SG,GSW,36,359,0,36,55,8,0,small_wing_percent,91,6,6,205,78
30188,2022,4989,Moses Wright,PF,LAC,1,1,0,0,0,0,100,big_percent,100,6,9,233,81
30189,2022,4769,Mychal Mulder,PG,ORL,15,195,84,16,0,0,0,guard_percent,100,NA,NA,NA,NA
30190,2022,4990,Myles Powell,PG,PHI,11,52,100,0,0,0,0,guard_percent,100,6,2,195,74
30191,2022,4350,Myles Turner,C,IND,42,1235,0,0,0,0,100,big_percent,100,6,11,250,83
30192,2022,4865,Naji Marshall,SF,NOP,34,340,0,12,54,33,1,big_wing_percent,87,6,7,220,79
30193,2022,4770,Nassir Little,SF,POR,42,1088,0,0,64,35,0,big_wing_percent,99,6,5,220,77
30194,2022,4867,Nate Hinton,SG,IND,2,2,0,100,0,0,0,guard_percent,100,NA,NA,NA,NA
30194,2022,4867,Nate Hinton,SG,IND,2,2,0,100,0,0,0,small_wing_percent,100,NA,NA,NA,NA
30195,2022,4868,Nathan Knight,PF,MIN,28,194,0,0,0,28,72,big_percent,100,6,10,253,82
30196,2022,4771,Naz Reid,C,MIN,59,938,0,0,0,9,91,big_percent,100,6,9,264,81
