seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2
30164,2022,4982,Malcolm Hill,SF,CHI,14,151,0,3,62,35,0,wing_big_percent,97,6,6,220,78,wing
30165,2022,4426,Malik Beasley,SG,MIN,74,1849,16,74,10,0,0,guard_percent,90,6,4,187,76,guard
30167,2022,4861,Malik Fitts,PF,UTA,7,35,0,0,0,67,33,big_percent,100,6,8,230,80,big
30168,2022,4861,Malik Fitts,PF,BOS,5,11,0,0,0,84,16,big_percent,100,6,8,230,80,big
30169,2022,4541,Malik Monk,SG,LAL,70,1946,19,57,23,0,0,wing_small_percent,80,6,3,200,75,wing
30170,2022,4756,Malik Newman,PG,CLE,1,8,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
30171,2022,4862,Mamadi Diakite,PF,OKC,13,188,0,0,0,10,90,big_percent,100,NA,NA,NA,NA,big
30172,2022,4983,Marcus Garrett,SG,MIA,12,128,2,62,36,1,0,wing_small_percent,98,NA,NA,NA,NA,wing
30173,2022,4042,Marcus Morris,PF,LAC,51,1488,0,0,43,50,7,wing_big_percent,93,6,8,218,80,wing
30174,2022,4275,Marcus Smart,PG,BOS,66,2156,100,0,0,0,0,guard_percent,100,6,3,220,75,guard
30175,2022,4544,Markelle Fultz,PG,ORL,13,240,74,26,0,0,0,guard_percent,100,6,3,209,75,guard
30176,2022,4043,Markieff Morris,PF,MIA,16,273,0,0,0,74,26,big_percent,100,6,9,245,81,big
30177,2022,4984,Marko Simonovic,C,CHI,9,35,0,0,0,8,92,big_percent,100,6,11,216,83,big
30178,2022,4863,Markus Howard,SG,DEN,29,149,3,68,29,0,0,guard_percent,97,5,10,175,70,guard
30179,2022,4428,Marquese Chriss,PF,DAL,30,301,0,0,3,25,72,big_percent,97,6,9,240,81,big
30181,2022,4656,Marvin Bagley III,PF,SAC,30,656,0,0,0,78,22,big_percent,100,6,11,235,83,big
30182,2022,4656,Marvin Bagley III,PF,DET,18,490,0,0,0,60,40,big_percent,100,6,11,235,83,big
30183,2022,4864,Mason Jones,SG,LAL,2,9,0,100,0,0,0,guard_percent,100,6,4,200,76,guard
30183,2022,4864,Mason Jones,SG,LAL,2,9,0,100,0,0,0,wing_small_percent,100,6,4,200,76,wing
30184,2022,4180,Mason Plumlee,C,CHO,68,1697,0,0,0,0,100,big_percent,100,6,11,254,83,big
