seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
31928,2025,5031,Blake Wesley,NA,SG,21,3,NBA,SAS,58,683,9.9,0.51,0.312,0.328,2.7,6.9,4.8,22.3,2.6,0.8,20.2,16.7,-0.3,0.4,0.2,0.011,-3.9,-0.3,-4.2,-0.4
31929,2025,4307,Bobby Portis,NA,PF,29,10,NBA,MIL,49,1244,17.7,0.542,0.299,0.123,8.2,27,18,12.9,1.4,1.9,8.3,24.1,0.9,1.9,2.7,0.106,0.6,-0.4,0.2,0.7
31930,2025,5221,Bobi Klintman,NA,SF,21,1,NBA,DET,8,42,15.9,0.689,0.5,0.2,2.7,15.7,9.2,22.5,2.3,2.3,8.4,11.9,0.1,0.1,0.2,0.208,-1,1.9,1,0
31931,2025,4475,Bogdan Bogdanović,NA,SG,32,8,NBA,TOT,54,1348,11.1,0.559,0.587,0.134,2,11.2,6.6,15.2,1.5,0.8,12.4,18.7,0.7,1.2,1.9,0.069,-1.8,-0.2,-2,0
31932,2025,4475,Bogdan Bogdanović,NA,SG,32,8,NBA,ATL,24,598,7.6,0.502,0.652,0.152,2.1,10.1,6,10.8,1.6,0.9,13.4,18.9,-0.4,0.4,-0.1,-0.006,-4.1,-0.6,-4.7,-0.4
31933,2025,4475,Bogdan Bogdanović,NA,SG,32,8,NBA,LAC,30,750,14,0.608,0.534,0.119,1.8,12.1,7,18.7,1.4,0.7,11.6,18.6,1.1,0.9,2,0.128,0.1,0.1,0.2,0.4
31934,2025,4692,Bol Bol,NA,PF,25,6,NBA,PHO,36,448,18.4,0.627,0.508,0.142,5.1,20.4,13,7.7,1,5.2,9.3,21.1,0.6,0.3,0.9,0.097,1.7,-0.9,0.8,0.3
31935,2025,4908,Bones Hyland,NA,PG,24,4,NBA,TOT,24,239,16,0.576,0.695,0.22,2.4,9.3,5.9,20.1,3.7,1.7,16.2,28.2,0.1,0.4,0.5,0.095,0.9,1.8,2.7,0.3
31936,2025,4908,Bones Hyland,NA,PG,24,4,NBA,LAC,20,222,16.4,0.569,0.696,0.226,2.6,9.6,6.1,19.2,4,1.8,16,29.6,0,0.4,0.4,0.09,1.2,1.9,3.1,0.3
31937,2025,4908,Bones Hyland,NA,PG,24,4,NBA,MIN,4,17,11.1,0.833,0.667,0,0,6.4,3.3,32.2,0,0,25,10.2,0,0,0.1,0.165,-3.3,0.1,-3.2,0
31938,2025,4072,Bradley Beal,NA,SG,31,13,NBA,PHO,53,1702,15.2,0.598,0.38,0.197,2.3,9.1,5.8,17.6,1.7,1.5,11.6,22.1,1.9,0.6,2.4,0.068,-0.1,-1,-1.1,0.4
