PLAYER_NAME,MIN,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,DEF_BOXOUTS,DEF_LOOSE_BALLS_RECOVERED,sum
Ja Morant,30.4,0.8588235294117647,0.05,0.01764705882352941,0.6529411764705882,0.25588235294117645,0.8294117647058824,2.6647058823529415
Ja'Kobe Walter,21.9,0.8794117647058823,0.16470588235294117,0.611764705882353,0.7647058823529411,0.27058823529411763,0.8,3.4911764705882353
Jabari Smith Jr.,30.1,0,0.7147058823529412,0.4176470588235294,0.10588235294117647,0.5941176470588235,0.22647058823529412,2.058823529411765
Jabari Walker,14.9,0.6794117647058824,0.31470588235294117,0.6676470588235294,0.5235294117647059,0.65,0.9705882352941176,3.8058823529411763
Jaden Hardy,17.9,0.7823529411764706,0.1411764705882353,0.029411764705882353,0.31176470588235294,0.3411764705882353,0.9235294117647059,2.5294117647058822
Jaden McDaniels,31.9,0.47058823529411764,0.6911764705882353,0.6558823529411765,0.7764705882352941,0.28823529411764703,0.4823529411764706,3.3647058823529408
Jaden Springer,11.7,0,0.03235294117647059,0.11470588235294117,0.9794117647058823,0.6411764705882353,0.9147058823529411,2.6823529411764704
Jae'Sean Tate,12.3,0.9970588235294118,0.43823529411764706,0.9147058823529411,0.9117647058823529,0.8264705882352941,0.26176470588235295,4.35
Jaime Jaquez Jr.,21,0,0.5441176470588235,0.47058823529411764,0.7588235294117647,0.6235294117647059,0.9117647058823529,3.3088235294117645
Jake LaRavia,20.6,0,0.36176470588235293,0.6705882352941176,0.9176470588235294,0.37941176470588234,0.9794117647058823,3.3088235294117645
Jakob Poeltl,29.6,0.5441176470588235,0.9088235294117647,0.7176470588235294,0.8323529411764706,0.9235294117647059,0.4117647058823529,4.338235294117648
Jalen Brunson,35.4,0.9764705882352941,0.06764705882352941,0.39705882352941174,0.10882352941176471,0.19411764705882353,0.5,2.2441176470588236
Jalen Duren,26.1,0,0.9147058823529411,0.7588235294117647,0.31470588235294117,0.9205882352941176,0.21470588235294116,3.123529411764706
Jalen Green,32.9,0.4676470588235294,0.49117647058823527,0.12941176470588237,0.047058823529411764,0.05,0.1,1.285294117647059
Jalen Pickett,17.4,0,0.09705882352941177,0.8647058823529412,0.27058823529411763,0.6970588235294117,0.34705882352941175,2.276470588235294
Jalen Smith,15.6,0.85,0.8529411764705882,0.4823529411764706,0.0058823529411764705,0.9411764705882353,0.5029411764705882,3.6352941176470583
Jalen Williams,32.4,0.7441176470588236,0.5352941176470588,0.12058823529411765,0.9264705882352942,0.6558823529411765,0.9382352941176471,3.920588235294117
Jalen Wilson,25.6,0,0.29705882352941176,0.3323529411764706,0.029411764705882353,0.7176470588235294,0.43529411764705883,1.811764705882353
Jamal Murray,36.1,0.45588235294117646,0.5735294117647058,0.5558823529411765,0.5088235294117647,0.12352941176470589,0.45294117647058824,2.6705882352941175
Jamal Shead,20.3,0.9382352941176471,0.052941176470588235,0.16470588235294117,0.7852941176470588,0.12058823529411765,0.7147058823529412,2.7764705882352945
James Harden,35.3,0.5823529411764706,0.06470588235294118,0.2,0.6470588235294118,0.36176470588235293,0.7058823529411765,2.561764705882353
Jamison Battle,18.5,0.6205882352941177,0.4823529411764706,0.4441176470588235,0.023529411764705882,0.15,0.13529411764705881,1.8558823529411763
Jarace Walker,17,0,0.3941176470588235,0.4088235294117647,0.8735294117647059,0.3205882352941177,0.2323529411764706,2.2294117647058824
Jared Butler,19.2,0.7764705882352941,0.27941176470588236,0.7382352941176471,0.8117647058823529,0.4588235294117647,0.7323529411764705,3.797058823529412
Jaren Jackson Jr.,30.2,0,0.8558823529411764,0.6529411764705882,0.8588235294117647,0.7058823529411765,0.8558823529411764,3.9294117647058826
Jarrett Allen,28.3,0.47352941176470587,0.9647058823529412,0.5088235294117647,0.4852941176470588,0.888235294117647,0.5352941176470588,3.855882352941176
Javonte Green,19.5,0.6088235294117647,0.40588235294117647,0.37058823529411766,0.9705882352941176,0.3911764705882353,0.6323529411764706,3.3794117647058823
Jaxson Hayes,19.5,0.6088235294117647,0.8823529411764706,0.8411764705882353,0.5617647058823529,0.8529411764705882,0.6323529411764706,4.379411764705883
Jay Huff,12.8,0,0.9911764705882353,0.9941176470588236,0.020588235294117647,0.9705882352941176,0.0029411764705882353,2.9794117647058824
Jaylen Brown,34.3,0.6970588235294117,0.25882352941176473,0.5676470588235294,0.2735294117647059,0.5588235294117647,0.6411764705882353,2.9970588235294113
Jaylen Wells,26.1,0.7558823529411764,0.4323529411764706,0.3764705882352941,0.04411764705882353,0.38529411764705884,0.25882352941176473,2.2529411764705882
Jaylin Williams,16.7,1,0.9205882352941176,0.9970588235294118,0.5882352941176471,0.9852941176470589,0.09117647058823529,4.58235294117647
Jaylon Tyson,12,0.8058823529411765,0.6823529411764706,0.9470588235294117,0.3911764705882353,0.8205882352941176,0.29411764705882354,3.9411764705882355
Jayson Tatum,36.4,0,0.09411764705882353,0.15294117647058825,0.3941176470588235,0.4764705882352941,0.32941176470588235,1.4470588235294117
Jeff Dowtin Jr.,19.3,0,0.22647058823529412,0.03823529411764706,0.7176470588235294,0.061764705882352944,0.7735294117647059,1.8176470588235296
Jerami Grant,32.4,0.7441176470588236,0.4235294117647059,0.27058823529411763,0.5970588235294118,0.23529411764705882,0.5294117647058824,2.8
Jeremiah Robinson-Earl,19,0,0.6529411764705882,0.9558823529411765,0.35,0.7588235294117647,0.7441176470588236,3.461764705882353
Jeremy Sochan,25.3,0,0.7764705882352941,0.6323529411764706,0.49117647058823527,0.49411764705882355,0.7588235294117647,3.152941176470588
Jericho Sims,13.2,0,0.8911764705882353,0.75,0.06764705882352941,0.9764705882352941,0.3588235294117647,3.0441176470588234
Jett Howard,13,0,0.6323529411764706,0.5911764705882353,0.03529411764705882,0.05588235294117647,0.1588235294117647,1.473529411764706
Jimmy Butler III,32.2,0.5323529411764706,0.24411764705882352,0.18823529411764706,0.861764705882353,0.5,0.6441176470588236,2.9705882352941178
Jock Landale,12.4,0.8,0.9029411764705882,0.21764705882352942,0.07352941176470588,0.9794117647058823,0.17647058823529413,3.15
John Konchar,15,0.7647058823529411,0.538235294117647,0.8029411764705883,0.9352941176470588,0.5705882352941176,0.9647058823529412,4.576470588235294
Johnny Furphy,9.8,0.8382352941176471,0.7352941176470589,0.8294117647058824,0.9470588235294117,0.3235294117647059,0.8823529411764706,4.555882352941177
Johnny Juzang,19.8,0.7088235294117647,0.6647058823529411,0.5205882352941177,0.3058823529411765,0.4823529411764706,0.19117647058823528,2.8735294117647063
Jonas Valančiūnas,18.8,0,0.8764705882352941,0.6941176470588235,0.21764705882352942,0.9676470588235294,0.011764705882352941,2.7676470588235293
Jonathan Isaac,15.4,0,0.8705882352941177,0.40294117647058825,0.9294117647058824,0.6470588235294118,0.36470588235294116,3.2147058823529413
