,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
57,1631216,Caleb Houstan,1610612753,ORL,21.0,4,5.3,0.75,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612753,Magic,3,4,7,0.5714285714285714,0.4048991354466859,0.5244956772334294,0.023054755043227664,0.1585014409221902,0.18011527377521613,1.2910662824207493
58,1628997,Caleb Martin,1610612755,PHI,29.0,5,33.7,2.8,1.8,1.0,1.0,0.0,0.2,0.4,0.4,0.6,1.0,0.4,0.6,0.0,0.6,0.6,0.6,0.2,0.0,1.0,1.0,0.333,1610612755,76ers,1,4,5,1.0,0.4048991354466859,0.1786743515850144,0.1642651296829971,0.6340057636887608,0.8414985590778098,2.223342939481268
60,1630560,Cam Thomas,1610612751,BKN,23.0,8,34.0,3.5,1.75,1.75,1.13,0.0,0.25,0.63,0.5,0.38,0.88,0.571,0.429,0.0,0.13,0.13,0.13,0.0,0.0,1.0,1.0,0.0,1610612751,Nets,3,4,7,1.1428571428571428,0.4048991354466859,0.30835734870317005,0.19596541786743515,0.3170028818443804,0.6570605187319885,1.8832853025936598
61,1641715,Cam Whitmore,1610612745,HOU,20.0,6,11.1,0.67,0.33,0.33,0.67,0.0,0.17,0.33,0.17,0.0,0.17,1.0,0.0,0.17,0.0,0.17,0.17,0.17,1.0,0.0,1.0,1.0,1610612745,Rockets,3,3,6,1.0,0.4048991354466859,0.07780979827089338,0.5187319884726225,0.1585014409221902,0.18011527377521613,1.3400576368876078
62,1629661,Cameron Johnson,1610612751,BKN,28.0,8,33.6,3.5,2.0,1.5,1.38,0.13,0.5,0.75,0.25,0.0,0.25,1.0,0.0,0.0,0.25,0.25,0.25,0.13,0.0,1.0,1.0,0.5,1610612751,Nets,3,4,7,1.1428571428571428,0.8155619596541787,0.31412103746397696,0.28530259365994237,0.4092219020172911,0.18011527377521613,2.0043227665706054
63,1626166,Cameron Payne,1610612752,NYK,30.0,5,15.4,1.4,0.4,1.0,2.6,0.0,0.2,0.6,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612752,Knicks,3,2,5,1.0,0.4048991354466859,0.24495677233429394,0.9884726224783862,0.1585014409221902,0.7406340057636888,2.537463976945245
64,1627747,Caris LeVert,1610612739,CLE,30.0,6,21.6,2.33,1.5,0.83,1.83,0.0,0.0,0.0,0.0,0.17,0.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612739,Cavaliers,8,0,8,0.75,0.4048991354466859,0.3631123919308357,0.7636887608069164,0.1585014409221902,0.5360230547550432,2.2262247838616713
65,1642267,Carlton Carrington,1610612764,WAS,19.0,6,29.2,3.67,2.17,1.5,1.33,0.0,0.17,0.33,0.5,0.17,0.67,0.75,0.25,0.0,0.67,0.83,0.67,0.33,0.0,0.8,1.0,0.5,1610612764,Wizards,2,4,6,1.0,0.4048991354466859,0.44668587896253603,0.345821325648415,0.7406340057636888,0.4495677233429395,2.387608069164265
66,1641717,Cason Wallace,1610612760,OKC,20.0,6,25.4,3.83,0.83,3.0,3.67,0.0,0.0,0.0,0.5,0.17,0.67,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612760,Thunder,6,0,6,1.0,0.4048991354466859,0.5763688760806917,0.968299711815562,0.1585014409221902,0.49855907780979825,2.606628242074928
67,1629646,Charles Bassey,1610612759,SAS,24.0,3,2.6,0.33,0.33,0.0,0.33,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612759,Spurs,3,3,6,0.5,0.4048991354466859,0.45244956772334294,0.9481268011527377,0.1585014409221902,0.18011527377521613,2.1440922190201728
