PLAYER1_NAME,game_winning_3,game_winning_2,game_winning_ft,game_winning_points
Devin Vassell,1,1,0,5
Dillon Brooks,5,3,1,22
Dillon Jones,0,1,0,2
Domantas Sabonis,0,2,1,5
Donovan Clingan,0,1,1,3
Donovan Mitchell,4,7,1,27
Donte DiVincenzo,1,0,0,3
Dorian Finney-Smith,0,1,0,2
Doug McDermott,1,0,0,3
Draymond Green,0,1,1,3
Drew Timme,0,1,0,2
Dru Smith,1,0,0,3
Duop Reath,0,1,0,2
Dyson Daniels,0,1,0,2
Evan Mobley,0,3,3,9
Franz Wagner,3,3,2,17
Fred VanVleet,2,1,3,11
Gabe Vincent,3,1,0,11
Garrison Mathews,0,0,2,2
Gary Payton II,1,2,0,7
Gary Trent Jr.,6,3,0,24
Georges Niang,2,1,2,10
Giannis Antetokounmpo,0,6,3,15
Gradey Dick,1,0,0,3
Grant Williams,1,0,0,3
Grayson Allen,0,0,3,3
Guerschon Yabusele,1,0,1,4
Harrison Barnes,2,2,0,10
Haywood Highsmith,0,2,0,4
Herbert Jones,0,1,0,2
Hunter Tyson,2,0,0,6
Immanuel Quickley,2,0,0,6
Isaac Okoro,0,1,0,2
Isaiah Collier,0,1,0,2
Isaiah Hartenstein,0,2,1,5
Isaiah Joe,8,2,0,28
Isaiah Stewart,0,2,0,4
Ivica Zubac,0,7,1,15
JD Davison,0,1,0,2
JT Thor,1,0,0,3
Ja Morant,2,5,0,16
Ja'Kobe Walter,1,0,0,3
Jabari Smith Jr.,2,2,0,10
Jacob Toppin,1,0,0,3
Jaden Hardy,1,0,0,3
Jaden Ivey,1,1,2,7
Jaden McDaniels,0,2,1,5
Jaden Springer,1,0,0,3
Jaime Jaquez Jr.,1,1,0,5
Jake LaRavia,1,4,0,11
Jakob Poeltl,0,4,0,8
Jalen Brunson,2,3,5,17
Jalen Duren,0,6,2,14
Jalen Green,6,4,3,29
Jalen Johnson,0,3,1,7
Jalen Pickett,1,0,0,3
Jalen Suggs,0,0,1,1
Jalen Williams,5,6,2,29
Jalen Wilson,1,0,0,3
Jamal Murray,1,4,1,12
Jamal Shead,2,1,0,8
James Harden,4,5,7,29
Jared Rhoden,0,1,0,2
Jaren Jackson Jr.,2,8,3,25
Jarred Vanderbilt,0,0,1,1
Jarrett Allen,0,6,1,13
Jay Huff,1,1,0,5
Jaylen Brown,5,1,1,18
Jaylin Williams,1,0,0,3
Jayson Tatum,1,5,3,16
Jeff Green,0,2,0,4
Jerami Grant,0,1,2,4
Jeremy Sochan,1,1,0,5
Jett Howard,1,0,0,3
Jimmy Butler III,2,3,3,15
Joel Embiid,0,4,0,8
John Collins,0,2,0,4
John Konchar,0,0,1,1
Johnny Juzang,2,0,0,6
Jonas Valančiūnas,0,2,0,4
Jonathan Isaac,0,0,1,1
Jonathan Kuminga,1,4,1,12
Jordan Clarkson,1,0,0,3
Jordan Goodwin,1,0,0,3
Jordan Hawkins,0,1,0,2
Jordan McLaughlin,1,0,0,3
Jordan Miller,0,1,0,2
Jordan Poole,4,0,2,14
Jose Alvarado,1,1,0,5
Josh Giddey,2,5,1,17
Josh Green,0,0,1,1
Josh Hart,1,4,0,11
Josh Okogie,0,1,0,2
Jrue Holiday,3,3,2,17
Julian Champagnie,1,0,1,4
Julian Strawther,3,5,0,19
Julius Randle,2,5,2,18
Jusuf Nurkić,0,0,1,1
KJ Martin,0,1,0,2
KJ Simpson,0,1,0,2
Karl-Anthony Towns,1,9,1,22
Karlo Matković,0,1,0,2
Kawhi Leonard,0,2,1,5
Keegan Murray,2,1,0,8
Kel'el Ware,0,2,0,4
Keldon Johnson,1,1,1,6
Kelly Olynyk,1,1,0,5
Kelly Oubre Jr.,0,1,1,3
Kenrich Williams,1,2,0,7
Kentavious Caldwell-Pope,1,2,1,8
Keon Ellis,1,0,0,3
Kevin Durant,3,4,0,17
Kevin Huerter,2,1,0,8
Kevin Porter Jr.,0,1,0,2
Keyonte George,3,1,2,13
Khris Middleton,0,1,0,2
Klay Thompson,2,0,2,8
Kobe Brown,0,1,0,2
Kristaps Porziņģis,1,1,2,7
Kyle Anderson,0,2,0,4
Kyle Kuzma,1,0,0,3
Kyrie Irving,0,2,3,7
Kyshawn George,1,0,1,4
LaMelo Ball,2,2,2,12
Landry Shamet,1,0,1,4
Larry Nance Jr.,0,1,0,2
Lauri Markkanen,0,2,0,4
LeBron James,5,7,1,30
Lonnie Walker IV,0,1,0,2
Lonzo Ball,2,0,0,6
Luguentz Dort,3,0,0,9
Luka Dončić,3,1,2,13
Luke Kennard,1,0,0,3
Luke Kornet,0,1,0,2
Malcolm Brogdon,0,1,0,2
Malik Beasley,3,1,2,13
Malik Monk,0,3,1,7
Marcus Sasser,1,1,0,5
Mark Williams,0,2,1,5
Markelle Fultz,0,1,0,2
Marvin Bagley III,0,1,0,2
Matas Buzelis,0,1,0,2
Matisse Thybulle,0,2,0,4
Max Christie,1,0,2,5
Max Strus,3,1,0,11
Maxi Kleber,0,0,1,1
Maxwell Lewis,0,0,1,1
Michael Porter Jr.,1,1,0,5
Mikal Bridges,2,7,0,20
Mike Conley,0,0,1,1
Miles Bridges,1,0,0,3
Miles McBride,3,1,0,11
Mo Bamba,1,0,0,3
Moritz Wagner,1,0,2,5
Moses Moody,1,2,2,9
Mouhamed Gueye,0,1,0,2
Moussa Diabaté,0,1,0,2
Myles Turner,2,1,0,8
Naji Marshall,1,2,0,7
Naz Reid,1,2,3,10
Neemias Queta,0,2,0,4
Nic Claxton,0,2,1,5
Nick Richards,0,1,0,2
Nickeil Alexander-Walker,3,5,2,21
Nikola Jokić,0,6,2,14
Nikola Jović,0,0,3,3
Nikola Vučević,0,3,0,6
Noah Clowney,0,1,0,2
Norman Powell,4,7,1,27
OG Anunoby,2,4,1,15
Obi Toppin,2,2,1,11
Ochai Agbaji,2,3,0,12
Onyeka Okongwu,0,2,2,6
Orlando Robinson,0,3,0,6
Oso Ighodaro,0,2,0,4
P.J. Washington,5,0,2,17
Paolo Banchero,1,4,0,11
Pascal Siakam,3,5,1,20
Pat Connaughton,1,1,0,5
Pat Spencer,0,1,0,2
Patrick Williams,2,0,0,6
Paul George,0,1,2,4
Payton Pritchard,2,2,1,11
Pelle Larsson,1,0,0,3
Peyton Watson,1,2,0,7
Precious Achiuwa,0,1,0,2
Quentin Grimes,0,1,2,4
Quenton Jackson,0,1,0,2
Quinten Post,1,0,0,3
RJ Barrett,0,2,2,6
Reed Sheppard,1,0,1,4
Reggie Jackson,0,1,0,2
Rob Dillingham,0,1,0,2
Ronald Holland II,1,2,1,8
Royce O'Neale,2,2,1,11
Rudy Gobert,0,4,1,9
Rui Hachimura,2,3,0,12
Russell Westbrook,2,1,0,8
Ryan Dunn,1,0,0,3
Ryan Rollins,1,1,0,5
Sam Hauser,3,1,0,11
Sam Merrill,3,0,1,10
Santi Aldama,0,2,0,4
Scoot Henderson,0,3,1,7
Scottie Barnes,0,4,2,10
Scotty Pippen Jr.,1,1,0,5
Shaedon Sharpe,1,1,2,7
Shai Gilgeous-Alexander,2,4,8,22
Shake Milton,0,2,0,4
Sidy Cissoko,0,0,1,1
Spencer Dinwiddie,3,2,3,16
Stephen Curry,5,1,6,23
Stephon Castle,0,2,0,4
T.J. McConnell,0,2,1,5
Talen Horton-Tucker,0,0,2,2
Taurean Prince,2,1,1,9
Terance Mann,1,2,0,7
Terry Rozier,3,0,0,9
Thomas Bryant,0,1,0,2
Tim Hardaway Jr.,1,1,0,5
Tobias Harris,0,2,0,4
Toumani Camara,3,0,0,9
Trae Young,4,2,7,23
Tre Jones,0,2,0,4
Tre Mann,0,0,1,1
Trendon Watford,0,3,0,6
Trey Lyles,1,1,0,5
Trey Murphy III,1,1,0,5
Tristan da Silva,1,1,0,5
Ty Jerome,1,2,0,7
Tyler Herro,3,3,1,16
Tyrese Haliburton,4,1,3,17
Tyrese Maxey,3,2,2,15
Tyus Jones,3,0,0,9
Victor Wembanyama,3,3,2,17
Vít Krejčí,0,2,0,4
Walker Kessler,0,1,0,2
Wendell Carter Jr.,1,3,0,9
Yves Missi,0,1,0,2
Zaccharie Risacher,1,0,0,3
Zach Collins,0,1,0,2
Zach LaVine,5,2,3,22
Zeke Nnaji,1,0,0,3
Ziaire Williams,1,1,1,6
Zion Williamson,0,3,1,7
NA,0,1,0,2
