season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,tm_avg_weight_npm,avg_wo_leader,npm_diff,avg_wo_trailer
2024,Bennedict Mathurin,IND,47,1200,-8.9,0.9791666666666666,0.2759728297605741,NA,-1.1033874849066447,1.3793603146672189
2024,Amir Coffey,LAC,34,565,-8,0.7391304347826086,4.579108877482396,NA,-1.010547045862551,5.589655923344947
2024,Taurean Prince,LAL,46,1393,-9.4,0.9387755102040817,1.570157383867605,NA,-1.1305142425014794,2.7006716263690844
2024,Ziaire Williams,MEM,44,828,-10.5,0.9361702127659575,-1.3392949179925533,NA,-0.7865520395250822,-0.552742878467471
2024,Josh Richardson,MIA,38,984,-6,0.7916666666666666,-0.09520369872674635,NA,-0.8275803994070183,0.7323767006802719
2024,Thomas Bryant,MIA,25,259,-6,0.5208333333333334,-0.09520369872674635,NA,-0.8275803994070183,0.7323767006802719
2024,Andre Jackson Jr.,MIL,39,449,-9.5,0.8125,3.0021042524960087,NA,-0.7616312687395128,3.7637355212355215
2024,Shake Milton,MIN,37,486,-11,0.7708333333333334,1.8473964655377535,NA,-0.7120624879397344,2.559458953477488
2024,Jordan Hawkins,NOP,43,932,-6.9,0.8958333333333334,-0.7228423892175484,NA,-0.5728479367599869,-0.14999445245756146
2024,RJ Barrett,NYK,26,766,-10.2,0.5416666666666666,-0.45318413026863585,NA,-1.4744314517979016,1.0212473215292657
2024,Cason Wallace,OKC,48,1010,-5.1,1,1.985243798104414,NA,-0.5350687018955862,2.5203125
2024,Jalen Suggs,ORL,44,1164,-8.9,0.9166666666666666,-0.5571316930217841,NA,-0.3026412574873628,-0.2544904355344213
2024,Jaden Springer,PHI,28,288,-12.9,0.6086956521739131,2.095626121056359,NA,-0.7608215920204096,2.8564477130767685
2024,Nassir Little,PHO,28,375,-10.9,0.5833333333333334,1.3106597578176304,NA,-1.085214272305601,2.3958740301232315
2024,Anfernee Simons,POR,26,873,-6.9,0.5416666666666666,0.3270361211248974,NA,-1.0355501745989566,1.362586295723854
2024,Davion Mitchell,SAC,36,451,-12.1,0.782608695652174,0.18721051102488054,NA,-0.3645195404227136,0.5517300514475941
2024,Malaki Branham,SAS,43,895,-9.7,0.8958333333333334,-0.3254779050215035,NA,-0.8989721252608056,0.5734942202393021
2024,Malachi Flynn,TOR,31,474,-6.3,0.6595744680851063,1.3335745371247978,NA,-0.4773036498440406,1.8108781869688384
2024,Omer Yurtseven,UTA,26,265,-15.7,0.5306122448979592,-0.1836507047324474,NA,-0.4010693732901994,0.21741866855775205
2024,Mike Muscala,WAS,24,338,-11.1,0.5106382978723404,-3.3951127808066244,NA,0.028442552192875503,-3.4235553329995
