player,tm,experience,age,salary,vorp,vorp_per_million,percent_of_cap
Kevin Love,MIA,16,35,3835738,0.9,0.2346354208759827,0.031019675710646556
Jaime Jaquez Jr.,MIA,1,22,3510600,-0.1,-0.02848515923204011,0.028390279406413005
Josh Richardson,MIA,9,30,2891467,0,0,0.023383340746431603
Thomas Bryant,MIA,7,26,2528233,-0.1,-0.0395533164862574,0.02044586146941086
Nikola Jović,MIA,2,20,2352000,0,0,0.019020662326634588
Haywood Highsmith,MIA,4,27,1902137,0.1,0.05257244877734885,0.015382612914965024
Orlando Robinson,MIA,2,23,1801769,0.1,0.05550101039589426,0.014570935263434556
Dru Smith,MIA,2,26,1801769,0.1,0.05550101039589426,0.014570935263434556
Giannis Antetokounmpo,MIL,11,29,45640084,4.1,0.08983331406664369,0.3690921030285876
Damian Lillard,MIL,12,33,45640084,1.7,0.03724795949104739,0.3690921030285876
Khris Middleton,MIL,12,32,29320988,0.8,0.027284210204649315,0.2371193077514051
Brook Lopez,MIL,16,35,25000000,1.3,0.052000000000000005,0.2021754073834459
Bobby Portis,MIL,9,28,11710818,0,0,0.09470557599773563
Pat Connaughton,MIL,9,31,9423869,0.2,0.021222705875898744,0.07621098216812906
MarJon Beauchamp,MIL,2,23,2609400,-0.2,-0.07664597225415805,0.021102260321054545
Thanasis Antetokounmpo,MIL,6,31,2019706,-0.1,-0.049512156719839426,0.0163333953337916
Malik Beasley,MIL,8,27,2019706,0.3,0.14853647015951826,0.0163333953337916
Jae Crowder,MIL,12,33,2019706,0.1,0.049512156719839426,0.0163333953337916
Robin Lopez,MIL,16,35,2019706,0,0,0.0163333953337916
Cameron Payne,MIL,9,29,2019706,0.1,0.049512156719839426,0.0163333953337916
A.J. Green,MIL,2,24,1901769,0,0,0.015379636892968339
Andre Jackson Jr.,MIL,1,22,1119563,-0.1,-0.08932056525626518,0.009053924224657313
Chris Livingston,MIL,1,20,1119563,0,0,0.009053924224657313
Rudy Gobert,MIN,11,31,41000000,1.3,0.03170731707317073,0.33156766810885124
Karl-Anthony Towns,MIN,9,28,36016200,2,0.05553056680049533,0.2912635962961465
Mike Conley,MIN,17,36,24360000,1.7,0.06978653530377668,0.19699971695442967
Anthony Edwards,MIN,4,22,13534817,2,0.14776705144960586,0.10945628563341556
Naz Reid,MIN,5,24,12950400,1,0.07721769211761799,0.1047300958311431
Kyle Anderson,MIN,10,30,9219512,0.7,0.07592592753282386,0.07455834377906272
Shake Milton,MIN,6,27,5000000,-0.3,-0.06,0.04043508147668918
Nickeil Alexander-Walker,MIN,5,25,4687500,0.6,0.128,0.0379078888843961
Troy Brown Jr.,MIN,6,24,4000000,0.2,0.05,0.03234806518135134
Jaden McDaniels,MIN,4,23,3901399,0,0,0.03155067728761474
Wendell Moore Jr.,MIN,2,22,2421720,0,0,0.01958448910274554
Jordan McLaughlin,MIN,5,27,2320000,0.4,0.1724137931034483,0.018761877805183777
Leonard Miller,MIN,1,20,1800000,0,0,0.014556629331608104
Josh Minott,MIN,2,21,1719864,0,0,0.01390856819376491
CJ McCollum,NOP,11,32,35802469,1.7,0.04748275880079667,0.2895351502163277
Zion Williamson,NOP,4,23,34005250,1.6,0.04705155821527558,0.27500101087703693
Brandon Ingram,NOP,8,26,33833400,1.1,0.03251225120738678,0.2736112571266831
Jonas Valančiūnas,NOP,12,31,15435000,1.4,0.09070294784580499,0.12482309651853948
Herbert Jones,NOP,3,25,12015150,0.8,0.06658260612643205,0.09716671384092838
Larry Nance Jr.,NOP,9,31,10375000,0.7,0.06746987951807229,0.08390279406413004
Dyson Daniels,NOP,2,20,5784120,0.5,0.08644357309322767,0.04677627269418948
Jordan Hawkins,NOP,1,21,4310160,0,0,0.03485633415551332
Trey Murphy III,NOP,3,23,3359280,0.4,0.11907313471934462,0.02716655210060248
Cody Zeller,NOP,11,31,2019706,-0.1,-0.049512156719839426,0.0163333953337916
Naji Marshall,NOP,4,26,1930681,0.2,0.10359039116249655,0.015613448708099147
Jose Alvarado,NOP,3,25,1836096,0.3,0.16339014953466485,0.014848538271804618
E.J. Liddell,NOP,1,23,1801769,0,0,0.014570935263434556
Julius Randle,NYK,10,29,28226880,1.5,0.053140835969118796,0.22827123852654563
Jalen Brunson,NYK,6,27,26346666,2.9,0.1100708529876228,0.2130659172698233
Evan Fournier,NYK,12,31,18857143,-0.1,-0.005303030262855832,0.1524980227245158
OG Anunoby,NYK,7,26,18642857,0.6,0.032183908292597,0.15076508835065303
Mitchell Robinson,NYK,6,25,15681818,0.4,0.02550724667254779,0.12681911770652218
Josh Hart,NYK,7,28,12960000,0.6,0.046296296296296294,0.10480773118757834
Donte DiVincenzo,NYK,6,27,10900000,1.8,0.1651376146788991,0.0881484776191824
Isaiah Hartenstein,NYK,6,25,9245121,1.2,0.12979819301445594,0.07476544417937002
Precious Achiuwa,NYK,4,24,4379527,0,0,0.035417306214872026
Malachi Flynn,NYK,4,25,3873025,0,0,0.03132121628725082
Quentin Grimes,NYK,3,23,2385720,0.1,0.04191606726690476,0.01929335651611338
Ryan Arcidiacono,NYK,7,29,2019706,-0.1,-0.049512156719839426,0.0163333953337916
Jericho Sims,NYK,3,25,1927896,0,0,0.015590926367716631
Miles McBride,NYK,3,23,1836096,0.3,0.16339014953466485,0.014848538271804618
Dylan Windler,NYK,4,27,2019706,0,0,0.0163333953337916
DaQuan Jeffries,NYK,4,26,831385,0,0,0.006723424042699446
Shai Gilgeous-Alexander,OKC,6,25,33386850,5,0.14975956102477472,0.27
Dāvis Bertāns,OKC,8,31,17000000,0.1,0.005882352941176471,0.1374792770207432
Luguentz Dort,OKC,5,24,15277778,0.1,0.006545454450247936,0.12355163964255388
Chet Holmgren,OKC,1,21,10386000,2.1,0.20219526285384173,0.08399175124337875
Vasilije Micić,OKC,1,30,7723000,-0.2,-0.025896672277612328,0.0624560268488941
Josh Giddey,OKC,3,21,6587040,0.7,0.1062692802837086,0.05326949981804213
Kenrich Williams,OKC,6,29,6175000,0.2,0.032388663967611336,0.04993732562371113
Cason Wallace,OKC,1,20,5291400,0.4,0.07559436066069472,0.04279163802515062
Aleksej Pokusevski,OKC,4,22,5009633,-0.1,-0.01996154209300362,0.040512983704662164
Ousmane Dieng,OKC,2,20,4798440,-0.1,-0.020840106367902903,0.038805062472200884
Jalen Williams,OKC,2,22,4558680,1.3,0.28517026858652067,0.03686611944523068
Tre Mann,OKC,3,22,3191400,0.1,0.03133421069123268,0.025808903804941167
Jaylin Williams,OKC,2,21,2000000,0.3,0.15,0.01617403259067567
Isaiah Joe,OKC,4,24,1997238,0.7,0.3504840184294511,0.016151696251667947
Aaron Wiggins,OKC,3,25,1836096,0.4,0.2178535327128865,0.014848538271804618
Jonathan Isaac,ORL,5,26,17400000,0.5,0.028735632183908046,0.14071408353887832
Markelle Fultz,ORL,7,25,17000000,0.3,0.01764705882352941,0.1374792770207432
Wendell Carter Jr.,ORL,6,24,13050000,0.4,0.030651340996168584,0.10553556265415875
Gary Harris,ORL,10,29,13000000,0.1,0.007692307692307693,0.10513121183939185
Paolo Banchero,ORL,2,21,11608080,1.3,0.11199095802234306,0.09387473211758522
