player,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Clint Capela,11.5,10.6,1.2,0.6,1.5,0.452755905511811
Coby White,19.1,4.5,5.1,0.7,0.2,0.6452702702702703
Cole Anthony,11.6,3.8,2.9,0.8,0.5,0.5918367346938775
Collin Sexton,18.7,2.6,4.9,0.8,0.2,0.6874999999999999
Corey Kispert,13.4,2.8,2,0.5,0.2,0.7089947089947091
D'Angelo Russell,18,3.1,6.3,0.9,0.5,0.625
Dalen Terry,3.1,1.9,1.4,0.5,0.3,0.4305555555555556
Damian Lillard,24.3,4.4,7,1,0.2,0.6585365853658536
Daniel Gafford,11,7.6,1.6,0.9,2.1,0.4741379310344827
Daniel Theis,6.3,4.1,1,0.4,0.9,0.49606299212598426
Dario Šarić,8,4.4,2.3,0.5,0.2,0.5194805194805195
David Roddy,6.5,3.2,1.2,0.4,0.2,0.5652173913043479
Davion Mitchell,5.3,1.3,1.9,0.2,0,0.6091954022988506
Day'Ron Sharpe,6.8,6.4,1.4,0.4,0.7,0.43312101910828027
De'Aaron Fox,26.6,4.6,5.6,2,0.4,0.6785714285714286
DeMar DeRozan,24,4.3,5.3,1.1,0.6,0.6798866855524078
Dejounte Murray,22.5,5.3,6.4,1.4,0.3,0.6267409470752089
Deni Avdija,14.7,7.2,3.8,0.8,0.5,0.5444444444444444
Dennis Schröder,14,3,6.1,0.8,0.2,0.5809128630705394
Derrick Jones Jr.,8.6,3.3,1,0.7,0.7,0.6013986013986015
Derrick White,15.2,4.2,5.2,1,1.2,0.5671641791044777
Devin Booker,27.1,4.5,6.9,0.9,0.4,0.6809045226130654
Devin Vassell,19.5,3.8,4.1,1.1,0.3,0.6770833333333334
Dillon Brooks,12.7,3.4,1.7,0.9,0.1,0.6755319148936171
Domantas Sabonis,19.4,13.7,8.2,0.9,0.6,0.4532710280373832
Donte DiVincenzo,15.5,3.7,2.7,1.3,0.4,0.6567796610169492
Dorian Finney-Smith,8.5,4.7,1.6,0.8,0.6,0.5246913580246914
Doug McDermott,5.5,0.9,1.1,0.3,0,0.7051282051282052
Drew Eubanks,5.1,4.3,0.8,0.4,0.8,0.4473684210526315
Duncan Robinson,12.9,2.5,2.8,0.7,0.2,0.6753926701570682
Duop Reath,9.1,3.7,1,0.5,0.6,0.610738255033557
Dwight Powell,3.3,3.4,1.3,0.4,0.3,0.37931034482758624
Dyson Daniels,5.8,3.9,2.7,1.4,0.4,0.4084507042253521
Eric Gordon,11,1.8,2,1,0.4,0.6790123456790124
Franz Wagner,19.7,5.3,3.7,1.1,0.4,0.652317880794702
Fred VanVleet,17.4,3.8,8.1,1.4,0.8,0.5523809523809524
Garrison Mathews,4.9,1.4,0.6,0.3,0.1,0.6712328767123288
Gary Trent Jr.,13.7,2.6,1.7,1.1,0.1,0.7135416666666665
Georges Niang,9.4,3.4,1.2,0.4,0.2,0.6438356164383562
Giannis Antetokounmpo,30.4,11.5,6.5,1.2,1.1,0.5996055226824457
Goga Bitadze,5,4.6,1.3,0.5,1.2,0.39682539682539686
Gradey Dick,8.5,2.2,1.1,0.6,0,0.685483870967742
Grant Williams,10.3,4.2,2.3,0.6,0.5,0.5754189944134078
Grayson Allen,13.5,3.9,3,0.9,0.6,0.6164383561643836
Harrison Barnes,12.2,3,1.2,0.7,0.1,0.7093023255813954
Haywood Highsmith,6.1,3.2,1.1,0.8,0.5,0.5213675213675213
Herbert Jones,11,3.6,2.6,1.4,0.8,0.5670103092783506
Immanuel Quickley,17,3.8,4.9,0.7,0.1,0.6415094339622641
Isaac Okoro,9.4,3,1.9,0.8,0.5,0.6025641025641025
Isaiah Hartenstein,7.8,8.3,2.5,1.2,1.1,0.3732057416267942
Isaiah Jackson,6.5,4,0.8,0.6,1,0.5038759689922481
Isaiah Joe,8.2,2.3,1.3,0.6,0.3,0.6456692913385825
Ivica Zubac,11.7,9.2,1.4,0.3,1.2,0.4915966386554622
JT Thor,3.2,2.3,0.5,0.2,0.4,0.48484848484848486
Jabari Smith Jr.,13.7,8.1,1.6,0.7,0.8,0.5502008032128514
Jabari Walker,8.9,7.1,1,0.6,0.3,0.4972067039106145
Jaden Hardy,7.3,1.8,1.5,0.3,0.1,0.6636363636363636
Jaden Ivey,15.4,3.4,3.8,0.7,0.5,0.6470588235294118
Jaden McDaniels,10.5,3.1,1.4,0.9,0.6,0.6363636363636364
Jae'Sean Tate,4.1,3,1,0.6,0.2,0.4606741573033708
Jaime Jaquez Jr.,11.9,3.8,2.6,1,0.3,0.6071428571428571
Jalen Brunson,28.7,3.6,6.7,0.9,0.2,0.7157107231920199
Jalen Duren,13.8,11.6,2.4,0.5,0.8,0.4742268041237114
Jalen Green,19.6,5.2,3.5,0.8,0.3,0.6666666666666666
Jalen Smith,9.9,5.5,1,0.3,0.6,0.5722543352601156
Jalen Suggs,12.6,3.1,2.7,1.4,0.6,0.6176470588235294
Jalen Williams,19.1,4,4.5,1.1,0.6,0.651877133105802
Jamal Murray,21.2,4.1,6.5,1,0.7,0.6328358208955224
James Harden,16.6,5.1,8.5,1.1,0.8,0.5171339563862929
James Wiseman,7.1,5.3,0.9,0.2,0.6,0.5035460992907802
Jaren Jackson Jr.,22.5,5.5,2.3,1.2,1.6,0.6797583081570997
Jarrett Allen,16.5,10.5,2.7,0.7,1.1,0.5238095238095238
Jaxson Hayes,4.3,3,0.5,0.5,0.4,0.4942528735632183
Jaylen Brown,23,5.5,3.6,1.2,0.5,0.680473372781065
Jaylin Williams,4,3.4,1.6,0.4,0.4,0.4081632653061224
Jayson Tatum,26.9,8.1,4.9,1,0.6,0.6481927710843373
Jeff Green,6.5,2.3,0.9,0.2,0.4,0.6310679611650485
Jeremy Sochan,11.6,6.4,3.4,0.8,0.5,0.5110132158590308
Jevon Carter,5,0.8,1.3,0.5,0.2,0.6410256410256411
Jimmy Butler,20.8,5.3,5,1.3,0.3,0.6360856269113151
Joe Ingles,4.4,2.1,3,0.6,0.1,0.4313725490196079
John Collins,15.1,8.5,1.1,0.6,0.9,0.5763358778625953
Jonas Valančiūnas,12.2,8.8,2.1,0.4,0.8,0.5020576131687242
Jonathan Isaac,6.8,4.5,0.5,0.7,1.2,0.49635036496350365
Jonathan Kuminga,16.1,4.8,2.2,0.7,0.5,0.6625514403292182
Jordan Hawkins,7.8,2.2,1,0.3,0.1,0.6842105263157895
Jordan Poole,17.4,2.7,4.4,1.1,0.3,0.6718146718146717
Josh Giddey,12.3,6.4,4.8,0.6,0.6,0.4979757085020242
Josh Hart,9.4,8.3,4.1,0.9,0.3,0.408695652173913
Josh Okogie,4.6,2.6,1.1,0.8,0.4,0.4842105263157894
Jrue Holiday,12.5,5.4,4.8,0.9,0.8,0.5122950819672132
Julian Champagnie,6.8,2.8,1.4,0.6,0.6,0.5573770491803279
Justin Holiday,4,1.2,1.2,0.6,0.2,0.5555555555555556
Jusuf Nurkić,10.9,11,4,1.1,1.1,0.3879003558718861
KJ Martin,3.7,2.2,0.9,0.4,0.2,0.49999999999999994
Karl-Anthony Towns,21.8,8.3,3,0.7,0.7,0.6318840579710144
Kawhi Leonard,23.7,6.1,3.6,1.6,0.9,0.6601671309192201
Keegan Murray,15.2,5.5,1.7,1,0.8,0.628099173553719
Keldon Johnson,15.7,5.5,2.8,0.7,0.3,0.628
Kelly Olynyk,9.8,5.3,4.4,0.9,0.4,0.47115384615384626
Kelly Oubre Jr.,15.4,5,1.5,1.1,0.7,0.649789029535865
Kenrich Williams,4.7,3,1.3,0.6,0.1,0.48453608247422686
Kentavious Caldwell-Pope,10.1,2.4,2.4,1.3,0.6,0.6011904761904762
Kevin Durant,27.1,6.6,5,0.9,1.2,0.6642156862745098
Kevin Huerter,10.2,3.5,2.6,0.7,0.4,0.5862068965517242
Kevon Looney,4.5,5.7,1.8,0.4,0.4,0.3515625
Keyonte George,13,2.8,4.4,0.5,0.1,0.6249999999999999
Klay Thompson,17.9,3.3,2.3,0.6,0.5,0.7276422764227641
Kris Dunn,5.4,2.9,3.8,1,0.4,0.39999999999999997
Kris Murray,6.1,3.6,1.3,0.9,0.3,0.49999999999999994
Kyle Anderson,6.4,3.5,4.2,0.9,0.6,0.41025641025641024
Kyle Kuzma,22.2,6.6,4.2,0.5,0.7,0.6491228070175438
Kyle Lowry,8.1,3.2,4.2,1,0.4,0.47928994082840237
Kyrie Irving,25.6,5,5.2,1.3,0.5,0.6808510638297872
Larry Nance Jr.,5.7,5,1.9,1,0.3,0.41007194244604317
LeBron James,25.7,7.3,8.3,1.3,0.5,0.5962877030162413
Lonnie Walker IV,9.7,2.2,1.3,0.6,0.3,0.6879432624113475
Luguentz Dort,10.9,3.6,1.4,0.9,0.6,0.6264367816091954
Luka Dončić,33.9,9.2,9.8,1.4,0.5,0.6186131386861314
Luke Kornet,5.3,4.1,1.1,0.4,1,0.44537815126050423
Malachi Flynn,5.5,1.7,1.9,0.6,0.1,0.5612244897959184
Malaki Branham,9.2,2,2.1,0.4,0.1,0.6666666666666666
Malik Beasley,11.3,3.7,1.4,0.7,0.1,0.6569767441860466
Malik Monk,15.4,2.9,5.1,0.6,0.5,0.6285714285714286
Marcus Sasser,8.3,1.8,3.3,0.6,0.2,0.5845070422535211
Matisse Thybulle,5.4,2.1,1.4,1.7,0.8,0.4736842105263158
Max Christie,4.2,2.1,0.9,0.3,0.3,0.5384615384615384
Max Strus,12.2,4.8,4,0.9,0.4,0.547085201793722
Michael Porter Jr.,16.7,7,1.5,0.5,0.7,0.6325757575757576
Mikal Bridges,19.6,4.5,3.6,1,0.4,0.6735395189003437
Mike Conley,11.4,2.9,5.9,1.2,0.2,0.5277777777777778
Miles Bridges,21,7.3,3.3,0.9,0.5,0.6363636363636364
Miles McBride,8.3,1.5,1.7,0.7,0.1,0.6747967479674798
Moritz Wagner,10.9,4.3,1.2,0.5,0.3,0.6337209302325582
Moses Moody,8.1,3,0.9,0.6,0.4,0.6230769230769231
Myles Turner,17.1,6.9,1.3,0.5,1.9,0.6173285198555958
Naji Marshall,7.1,3.6,1.9,0.7,0.2,0.525925925925926
Naz Reid,13.5,5.2,1.3,0.8,0.9,0.6221198156682027
Nic Claxton,11.8,9.9,2.1,0.6,2.1,0.44528301886792443
Nick Richards,9.7,8,0.8,0.4,1.1,0.485
Nickeil Alexander-Walker,8,2,2.5,0.8,0.5,0.5797101449275363
Nicolas Batum,5.3,4.1,2.1,0.8,0.6,0.4108527131782946
Nikola Jokić,26.4,12.4,9,1.4,0.9,0.5269461077844312
Nikola Vučević,18,10.5,3.3,0.7,0.8,0.5405405405405406
Norman Powell,13.9,2.6,1.1,0.6,0.3,0.7513513513513512
Obi Toppin,10.3,3.9,1.6,0.6,0.5,0.6094674556213018
Ochai Agbaji,5.8,2.8,1.1,0.6,0.6,0.5321100917431193
P.J. Washington,12.9,5.6,1.9,1,0.8,0.5810810810810811
Paolo Banchero,22.6,6.9,5.4,0.9,0.6,0.6208791208791209
Pascal Siakam,21.7,7.1,4.3,0.8,0.3,0.6345029239766083
Pat Connaughton,5.6,3.1,2.1,0.5,0.3,0.48275862068965514
Patrick Beverley,6.2,3.3,2.9,0.6,0.4,0.4626865671641791
Paul George,22.6,5.2,3.5,1.5,0.5,0.6786786786786788
Paul Reed,7.3,6,1.3,0.8,1,0.44512195121951215
Payton Pritchard,9.6,3.2,3.4,0.5,0.1,0.5714285714285714
Peyton Watson,6.7,3.2,1.1,0.5,1.1,0.5317460317460317
Precious Achiuwa,7.6,6.6,1.3,0.6,0.9,0.44705882352941173
RJ Barrett,20.2,5.4,3.3,0.5,0.4,0.6778523489932885
Reggie Jackson,10.2,1.9,3.8,0.5,0.2,0.6144578313253013
Royce O'Neale,7.7,4.8,2.8,0.7,0.6,0.463855421686747
Rudy Gobert,14,12.9,1.3,0.7,2.1,0.45161290322580644
Rui Hachimura,13.6,4.3,1.2,0.6,0.4,0.6766169154228856
Russell Westbrook,11.1,5,4.5,1.1,0.3,0.5045454545454544
Saddiq Bey,13.7,6.5,1.5,0.8,0.2,0.6035242290748899
Sam Hauser,9,3.5,1,0.5,0.3,0.6293706293706294
Sam Merrill,8,2,1.8,0.3,0.1,0.6557377049180327
Santi Aldama,10.7,5.8,2.3,0.7,0.9,0.5245098039215687
Scoot Henderson,14,3.1,5.4,0.8,0.2,0.5957446808510638
Scottie Barnes,19.9,8.2,6.1,1.3,1.5,0.5378378378378379
Shai Gilgeous-Alexander,30.1,5.5,6.2,2,0.9,0.6733780760626398
Simone Fontecchio,10.5,3.7,1.5,0.7,0.3,0.62874251497006
Spencer Dinwiddie,10.5,2.7,4.7,0.7,0.3,0.5555555555555556
Stephen Curry,26.4,4.5,5.1,0.7,0.4,0.7115902964959568
T.J. McConnell,10.2,2.7,5.5,1,0.1,0.523076923076923
Taurean Prince,8.9,2.9,1.5,0.7,0.4,0.6180555555555556
Terance Mann,8.8,3.4,1.6,0.6,0.2,0.6027397260273973
Terry Rozier,19.8,4,5.6,1,0.3,0.6449511400651466
Tim Hardaway Jr.,14.4,3.2,1.8,0.5,0.1,0.7199999999999999
Tobias Harris,17.2,6.5,3.1,1,0.7,0.6035087719298246
Toumani Camara,7.5,4.9,1.2,0.9,0.5,0.5
Trayce Jackson-Davis,7.9,5,1.2,0.4,1.1,0.5064102564102565
Tre Jones,10,3.8,6.2,1,0.1,0.4739336492890995
Trendon Watford,6.9,3.1,1.3,0.4,0.3,0.575
Trey Lyles,7.2,4.4,1.2,0.3,0.3,0.5373134328358208
Troy Brown Jr.,4.2,2.4,1,0.4,0.1,0.5185185185185186
Tyrese Haliburton,20.1,3.9,10.9,1.2,0.7,0.546195652173913
Tyrese Maxey,25.9,3.7,6.2,1,0.5,0.6943699731903485
Tyus Jones,12,2.7,7.3,1.1,0.3,0.5128205128205128
Vasilije Micić,7,1.5,4.4,0.5,0.1,0.5185185185185185
Victor Wembanyama,21.4,10.6,3.9,1.2,3.6,0.5257985257985257
Walker Kessler,8.1,7.5,0.9,0.5,2.4,0.4175257731958763
Zach Collins,11.2,5.4,2.8,0.5,0.8,0.541062801932367
Zeke Nnaji,3.2,2.2,0.6,0.3,0.7,0.4571428571428572
Zion Williamson,22.9,5.8,5,1.1,0.7,0.6450704225352111
