seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2
29947,2022,4839,Isaiah Joe,SG,PHI,55,609,24,66,10,0,0,guard_percent,90,6,4,165,76,guard
29948,2022,4941,Isaiah Livers,SF,DET,19,383,0,2,45,53,0,wing_big_percent,98,6,7,230,79,wing
29949,2022,4722,Isaiah Roby,PF,OKC,45,948,0,0,5,48,47,big_percent,95,6,8,230,80,big
29950,2022,4840,Isaiah Stewart,C,DET,71,1816,0,0,0,2,98,big_percent,100,6,8,250,80,big
29952,2022,4012,Isaiah Thomas,PG,LAL,4,101,100,0,0,0,0,guard_percent,100,5,9,185,69,guard
29953,2022,4012,Isaiah Thomas,PG,DAL,1,13,100,0,0,0,0,guard_percent,100,5,9,185,69,guard
29954,2022,4012,Isaiah Thomas,PG,CHO,17,219,100,0,0,0,0,guard_percent,100,5,9,185,69,guard
29955,2022,4942,Isaiah Todd,PF,WAS,12,74,0,0,12,63,25,big_percent,88,6,10,220,82,big
29957,2022,3946,Ish Smith,PG,CHO,37,511,100,0,0,0,0,guard_percent,100,6,0,175,72,guard
29958,2022,3946,Ish Smith,PG,WAS,28,615,100,0,0,0,0,guard_percent,100,6,0,175,72,guard
29959,2022,4943,Ish Wainright,PF,PHO,45,359,0,2,30,65,3,wing_big_percent,95,6,6,250,78,wing
29960,2022,4410,Ivica Zubac,C,LAC,76,1852,0,0,0,0,100,big_percent,100,7,0,240,84,big
29961,2022,4723,Ja Morant,PG,MEM,57,1889,90,10,0,0,0,guard_percent,100,6,3,174,75,guard
29962,2022,4249,Jabari Parker,PF,BOS,12,112,0,0,0,28,72,big_percent,100,NA,NA,NA,NA,big
29963,2022,4841,Jaden McDaniels,PF,MIN,70,1803,0,0,33,67,0,wing_big_percent,100,6,9,185,81,wing
29964,2022,4944,Jaden Springer,SG,PHI,2,6,0,37,63,0,0,wing_small_percent,100,6,4,204,76,wing
29965,2022,4091,Jae Crowder,PF,PHO,67,1886,0,0,15,84,0,wing_big_percent,99,6,6,235,78,wing
29966,2022,4842,Jae'Sean Tate,SF,HOU,78,2056,0,1,33,66,0,wing_big_percent,99,6,4,230,76,wing
29967,2022,4843,Jahmi'us Ramsey,SG,SAC,19,134,27,66,7,0,0,guard_percent,93,NA,NA,NA,NA,guard
29968,2022,4945,Jaime Echenique,C,WAS,1,3,0,0,0,0,100,big_percent,100,NA,NA,NA,NA,big
29969,2022,4411,Jake Layman,SF,MIN,34,231,0,2,53,45,0,wing_big_percent,98,6,8,209,80,wing
29970,2022,4412,Jakob Poeltl,C,SAS,68,1970,0,0,0,0,100,big_percent,100,7,1,245,85,big
29971,2022,4630,Jalen Brunson,PG,DAL,79,2524,96,4,0,0,0,guard_percent,100,6,1,190,73,guard
29972,2022,4946,Jalen Green,SG,HOU,67,2138,19,78,3,0,0,guard_percent,97,6,4,178,76,guard
29973,2022,4947,Jalen Johnson,PF,ATL,22,120,0,0,0,87,13,big_percent,100,6,9,220,81,big
29974,2022,4725,Jalen McDaniels,SF,CHO,55,895,0,1,32,64,2,wing_big_percent,96,6,9,205,81,wing
29976,2022,4845,Jalen Smith,PF,PHO,29,382,0,0,0,29,71,big_percent,100,6,10,215,82,big
29977,2022,4845,Jalen Smith,PF,IND,22,543,0,0,0,18,82,big_percent,100,6,10,215,82,big
29978,2022,4948,Jalen Suggs,PG,ORL,48,1307,46,54,0,0,0,guard_percent,100,6,4,205,76,guard
29979,2022,4949,James Bouknight,SG,CHO,31,304,30,58,12,0,0,guard_percent,88,6,5,190,77,guard
29981,2022,4252,James Ennis,SF,BRK,2,14,0,0,11,89,0,wing_big_percent,100,NA,NA,NA,NA,wing
29982,2022,4252,James Ennis,SF,LAC,2,28,0,0,42,58,0,wing_big_percent,100,NA,NA,NA,NA,wing
29983,2022,4252,James Ennis,SF,DEN,3,14,0,0,31,69,0,wing_big_percent,100,NA,NA,NA,NA,wing
