,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
202,1627777,Georges Niang,1610612755,PHI,28.0,75,22.9,4.92,2.92,2.0,0.71,0.04,0.67,1.47,0.23,0.19,0.41,0.548,0.452,0.04,0.63,0.67,0.57,0.15,0.06,0.94,0.977,0.25,1610612755,76ers,49,30,79,0.9493670886075949,0.6982758620689655,0.6091954022988506,0.08045977011494253,0.617816091954023,0.23275862068965517,2.2385057471264367
204,203507,Giannis Antetokounmpo,1610612749,MIL,27.0,65,32.9,9.28,5.85,3.43,1.71,0.02,2.2,5.34,0.57,0.38,0.95,0.597,0.403,0.45,1.06,1.51,1.32,0.98,0.296,0.704,0.977,0.727,1610612749,Bucks,49,30,79,0.8227848101265823,0.41954022988505746,0.7844827586206896,0.4454022988505747,0.6724137931034483,0.5344827586206896,2.8563218390804597
205,1629048,Goga Bitadze,1610612754,IND,22.0,50,14.6,5.38,4.12,1.26,0.88,0.02,1.62,3.58,0.28,0.16,0.44,0.636,0.364,0.36,0.9,1.26,1.12,0.58,0.286,0.714,0.982,0.509,1610612754,Pacers,25,55,80,0.625,0.6293103448275862,0.9339080459770115,0.632183908045977,0.882183908045977,0.4942528735632184,3.57183908045977
207,202330,Gordon Hayward,1610612766,CHA,32.0,49,31.9,5.31,3.1,2.2,1.33,0.02,0.63,1.59,0.47,0.37,0.84,0.561,0.439,0.12,0.49,0.61,0.61,0.24,0.2,0.8,1.0,0.4,1610612766,Hornets,40,39,79,0.620253164556962,0.4281609195402299,0.3448275862068966,0.21839080459770116,0.34051724137931033,0.5431034482758621,1.875
208,203476,Gorgui Dieng,1610612737,ATL,32.0,43,8.6,3.35,2.53,0.81,0.81,0.05,0.95,2.21,0.09,0.02,0.12,0.8,0.2,0.26,0.58,0.84,0.79,0.56,0.306,0.694,0.971,0.686,1610612737,Hawks,41,38,79,0.5443037974683544,0.889367816091954,0.9626436781609196,0.9195402298850575,0.9166666666666666,0.011494252873563218,3.699712643678161
209,1629684,Grant Williams,1610612738,BOS,23.0,74,24.2,7.2,4.66,2.54,1.0,0.08,0.91,2.14,0.2,0.26,0.46,0.441,0.559,0.18,1.34,1.51,1.18,0.42,0.116,0.884,0.916,0.326,1610612738,Celtics,49,30,79,0.9367088607594937,0.8045977011494253,0.8189655172413793,0.20689655172413793,0.8505747126436781,0.47701149425287354,3.158045977011494
210,1628960,Grayson Allen,1610612749,MIL,26.0,66,27.3,5.38,2.23,3.15,1.42,0.05,0.24,0.55,0.29,0.38,0.67,0.432,0.568,0.03,0.45,0.48,0.45,0.17,0.063,0.938,0.938,0.344,1610612749,Bucks,49,30,79,0.8354430379746836,0.7011494252873564,0.5316091954022989,0.4482758620689655,0.3879310344827586,0.75,2.8189655172413794
211,1630535,Greg Brown III,1610612757,POR,20.0,45,12.7,3.82,1.76,2.07,0.64,0.09,0.47,1.04,0.18,0.09,0.27,0.667,0.333,0.02,0.31,0.33,0.33,0.18,0.067,0.933,1.0,0.533,1610612757,Trail Blazers,27,52,79,0.569620253164557,0.9224137931034483,0.8247126436781609,0.4166666666666667,0.5603448275862069,0.12643678160919541,2.8505747126436782
213,1628977,Hamidou Diallo,1610612765,DET,23.0,58,21.9,3.64,2.19,1.45,2.16,0.0,0.17,0.47,0.33,0.5,0.83,0.396,0.604,0.05,0.31,0.36,0.31,0.17,0.143,0.857,0.947,0.526,1610612765,Pistons,23,56,79,0.7341772151898734,0.15229885057471265,0.3390804597701149,0.9367816091954023,0.3103448275862069,0.9971264367816092,2.735632183908046
214,203084,Harrison Barnes,1610612758,SAC,29.0,75,34.0,6.79,4.03,2.76,0.93,0.01,0.56,1.31,0.32,0.31,0.63,0.511,0.489,0.11,0.84,0.95,0.87,0.45,0.113,0.887,0.97,0.507,1610612758,Kings,29,51,80,0.9375,0.32471264367816094,0.5517241379310345,0.05459770114942529,0.5660919540229885,0.3218390804597701,1.8189655172413794
