player_id,player,tm,season,experience,salary,vorp,cap,percent_of_cap,vorp_per_percent_of_cap,wins_added,predicted_sal,act_minus_predict,diff_as_percent_of_cap
4181,Matthew Dellavedova,CLE,2021,8,2174318,-0.3,109140000,0.019922283305845702,-15.058514899844457,-0.81,-2156180.487804878,4330498.4878048785,0.039678380866821315
4181,Matthew Dellavedova,MIL,2017,4,9607500,-1.1,94143000,0.1020521971893821,-10.778797814207651,-2.9700000000000006,-6819627.073170733,16427127.073170733,0.17449122157962602
4181,Matthew Dellavedova,MIL,2018,5,9607500,-0.4,99093000,0.096954376192062,-4.125651834504294,-1.08,-2610254.6341463416,12217754.634146342,0.12329583960669616
4182,Michael Carter-Williams,CHI,2017,4,3183526,-0.3,94143000,0.033815854604166,-8.871578243746086,-0.81,-1859898.2926829269,5043424.292682927,0.053571952165141615
4182,Michael Carter-Williams,CHI,2019,NA,1200000,0,101869000,0.011779834885981015,0,0,0,1200000,0.011779834885981015
4182,Michael Carter-Williams,CHO,2018,5,2700000,0.1,99093000,0.027247131482546698,3.6701111111111113,0.27,652563.6585365854,2047436.3414634145,0.02066176562888816
4182,Michael Carter-Williams,MIL,2015,2,2300040,0.5,63065000,0.03647094267818917,13.709544181840316,1.35,2076530.487804878,223509.51219512196,0.003544113409896487
4182,Michael Carter-Williams,MIL,2016,3,2399040,0.5,70000000,0.034272,14.589169000933708,1.35,2304878.048780488,94161.95121951215,0.0013451707317073164
4182,Michael Carter-Williams,ORL,2019,6,268083,0.3,101869000,0.0026316445631153736,113.99715759671444,0.81,2012533.9024390243,-1744450.9024390243,-0.017124452997860234
4182,Michael Carter-Williams,ORL,2020,7,2028594,0.5,109140000,0.018587080813633864,26.90040491098761,1.35,3593634.1463414636,-1565040.1463414636,-0.014339748454658819
4182,Michael Carter-Williams,ORL,2021,8,3300000,-0.5,109140000,0.030236393622869707,-16.536363636363635,-1.35,-3593634.1463414636,6893634.146341464,0.0631632228911624
4182,Michael Carter-Williams,ORL,2022,NA,3300000,0,112414000,0.029355774191826643,0,0,0,3300000,0.029355774191826643
4182,Michael Carter-Williams,PHI,2014,1,2200920,0.9,58679000,0.037507796656384734,23.995011177144107,2.43,3477804.1463414636,-1276884.1463414636,-0.021760496026542096
4183,Mike Muscala,ATL,2015,2,816482,0.3,63065000,0.012946674066439389,23.171974397476,0.81,1245918.2926829269,-429436.29268292687,-0.006809423494536222
