player,season,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Toby Knight,1978,SF,22,1,0.499,19.6,-0.5,0.6170212765957447,0.5957446808510638,0.9361702127659575,2.148936170212766
Tom Abernethy,1978,SF,23,2,0.544,14.9,1.3,0.23404255319148937,0.10638297872340426,0.3191489361702128,0.6595744680851063
Tom Boswell,1978,PF,24,3,0.563,17.1,0.1,0.05405405405405406,0.5135135135135135,0.6756756756756757,1.2432432432432432
Tom Burleson,1978,C,25,4,0.515,18.9,1.1,0.5641025641025641,0.5384615384615384,0.48717948717948717,1.5897435897435899
Tom Henderson,1978,PG,26,4,0.482,17.6,0.7,0.7428571428571429,0.45714285714285713,0.5142857142857142,1.7142857142857142
Tom LaGarde,1978,C,22,1,0.505,17.8,-0.8,0.6923076923076923,0.46153846153846156,1,2.1538461538461537
Tom McMillen,1978,C,25,3,0.535,17.7,0.2,0.358974358974359,0.4358974358974359,0.7692307692307693,1.5641025641025643
Tom Owens,1978,C,28,7,0.546,21.1,1.3,0.28205128205128205,0.7435897435897436,0.46153846153846156,1.4871794871794872
Tony Robertson,1978,SG,22,1,0.461,21.3,-0.1,0.8648648648648649,0.43243243243243246,0.918918918918919,2.2162162162162162
Tree Rollins,1978,C,22,1,0.521,15.8,1.5,0.5384615384615384,0.28205128205128205,0.41025641025641024,1.2307692307692308
Truck Robinson,1978,PF,26,4,0.481,23.3,0.5,0.7297297297297297,0.8648648648648649,0.4594594594594595,2.0540540540540544
Walt Frazier,1978,PG,32,11,0.52,21.6,1.6,0.2571428571428571,0.8,0.11428571428571428,1.1714285714285715
