player,season,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Lucius Allen,1974,17.6,4,5.2,1.9,0.3,0.606896551724138
Mack Calvin,1974,18,2.9,4.2,1.6,0.1,0.6716417910447761
Mel Daniels,1974,15.4,11.6,1.6,0.7,1.2,0.5049180327868853
Mickey Davis,1974,5.9,3.1,1.2,0.4,0.1,0.5514018691588786
Mike Bantom,1974,10.1,6.8,2.1,0.7,0.6,0.49753694581280783
Mike Green,1974,11.4,7.4,0.8,0.6,1.6,0.5229357798165136
Mike Newlin,1974,18.4,3.4,4.8,1.1,0.1,0.6618705035971222
Mike Riordan,1974,15.9,4.7,3.3,1.3,0.2,0.6259842519685039
Nate Thurmond,1974,13,14.2,2.7,0.7,2.9,0.3880597014925373
Nate Williams,1974,15.5,4.2,2.2,1.8,0.4,0.6431535269709544
Neal Walk,1974,16.8,10.2,4,0.9,0.7,0.5153374233128835
Nick Weatherspoon,1974,7.6,6.1,0.6,0.7,0.2,0.5000000000000001
Norm Van Lier,1974,14.3,4.7,6.9,2,0.1,0.5107142857142858
Ollie Johnson,1974,6.3,4.1,2.1,0.8,0.4,0.45985401459854014
Oscar Robertson,1974,12.7,4,6.4,1.1,0.1,0.5226337448559669
Pat Riley,1974,9.5,1.8,2.1,0.8,0,0.6690140845070423
Patrick McFarland,1974,5.4,2,1,0.3,0.1,0.6136363636363636
Paul Silas,1974,11.5,11.2,2.3,0.8,0.2,0.4423076923076923
Paul Westphal,1974,7.2,1.7,2.1,0.5,0.4,0.6050420168067226
Pete Maravich,1974,27.7,4.9,5.2,1.5,0.2,0.70126582278481
Phil Chenier,1974,21.9,5.1,3.1,2,0.9,0.6636363636363636
Phil Jackson,1974,11.1,5.8,1.6,0.5,0.8,0.5606060606060606
Ralph Simpson,1974,18.7,4.3,2.5,1.4,0.2,0.6900369003690037
Randy Denton,1974,13.3,9.8,1.9,0.7,0.4,0.5095785440613028
Randy Smith,1974,15.5,3.8,4.7,2.5,0,0.5849056603773585
Rich Jones,1974,15.6,7.4,3.4,0.9,0.2,0.5672727272727274
Rick Barry,1974,25.1,6.8,6.1,2.1,0.5,0.6182266009852216
Rick Roberson,1974,13.5,10.2,1.9,0.9,0.8,0.4945054945054946
Roger Brown,1974,11.8,4.8,2.8,0.7,0.7,0.5673076923076923
Ron Behagen,1974,11,7.1,1.7,0.7,0.5,0.5238095238095238
Ron Boone,1974,17.6,5.2,5,1.5,0.3,0.5945945945945946
Ron Williams,1974,6.3,1,2.2,0.7,0,0.6176470588235294
Ronald Thomas,1974,4.1,4.1,0.9,0.7,0.1,0.41414141414141414
Rudy Tomjanovich,1974,24.5,9,3.1,1.1,0.8,0.6363636363636364
Sam Lacey,1974,14.2,13.4,3.8,1.6,2.3,0.40226628895184136
Sidney Wicks,1974,22.5,9.1,4.3,1.2,0.8,0.5936675461741425
Simmie Hill,1974,4.5,2.9,1,0.2,0.3,0.5056179775280899
Slick Watts,1974,8,2.9,5.7,1.9,0.2,0.42780748663101603
Spencer Haywood,1974,23.5,13.4,3.2,0.9,1.4,0.554245283018868
Steve Bracey,1974,7.3,1.9,3.1,0.8,0.1,0.5530303030303031
Steve Kuberski,1974,5.1,3,0.5,0.1,0.1,0.5795454545454546
Steve Mix,1974,14.9,10.5,1.9,2.6,0.5,0.4901315789473685
Steve Patterson,1974,7.8,8.1,2.2,0.6,0.8,0.39999999999999997
Stew Johnson,1974,20.1,6.3,1.5,0.9,0.2,0.6931034482758621
Ted McClain,1974,13.1,4.3,4.1,3,0.3,0.5282258064516129
Terry Driscoll,1974,3.2,3.1,0.8,0.3,0.3,0.4155844155844156
Tim Bassett,1974,6.9,7.3,1.3,0.7,0.4,0.4156626506024097
Toby Kimball,1974,7.5,7.4,1,0.7,0.3,0.44378698224852065
Tom Owens,1974,13.8,8.9,1.6,0.7,0.5,0.5411764705882353
Tom Van Arsdale,1974,19.6,5,2.6,0.8,0,0.7
Walt Bellamy,1974,13.1,9.6,2.5,0.7,0.6,0.49433962264150944
Walt Frazier,1974,20.5,6.7,6.9,2,0.2,0.5647382920110192
Walter Simon,1974,6.6,2.6,1.5,0.5,0.1,0.584070796460177
Wil Jones,1974,13.2,8.2,2.5,1.3,1,0.5038167938931297
Willie Long,1974,12.6,5.7,1.2,0.7,0.2,0.6176470588235294
Willie Norwood,1974,8,3.1,0.8,0.8,0.1,0.625
Willie Sojourner,1974,5.6,4.1,0.7,0.3,1.1,0.4745762711864407
Willie Wise,1974,22.3,7.6,3.7,1.4,0.5,0.6281690140845071
Zaid Abdul-Aziz,1974,10.9,11.7,2.1,1,1.3,0.4037037037037037
Zelmo Beaty,1974,13.4,8,1.7,0.8,0.8,0.5425101214574899
Aaron James,1975,11.7,4.8,0.9,0.5,0.2,0.6464088397790055
Al Smith,1975,8,1.8,4.7,0.7,0,0.5263157894736842
Allan Bristow,1975,6.2,3.5,1.4,0.3,0,0.543859649122807
Archie Clark,1975,13.9,3.1,5.6,1.4,0.1,0.5767634854771784
Artis Gilmore,1975,23.6,16.2,2.5,0.8,3.1,0.510822510822511
Barry Clemens,1975,4.9,2.1,1,0.9,0,0.550561797752809
Barry Parkhill,1975,7.8,1.7,2.9,0.6,0.1,0.5954198473282443
Bill Bradley,1975,13.3,3.2,3.1,0.9,0.2,0.6425120772946861
Bill Keller,1975,12.5,2.7,2.6,0.7,0,0.6756756756756757
