season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,median,npm_diff
2000,Terry Porter,SAS,68,1613,9.3,0.8292682926829268,-1.9,11.200000000000001
2001,Tim Duncan,SAS,82,3174,12.5,1,-1.5999999999999999,14.1
2002,Terry Porter,SAS,72,1294,11.2,0.8780487804878049,1.8,9.399999999999999
2003,Tim Duncan,SAS,81,3181,14.7,0.9878048780487805,0,14.7
2004,Hedo Türkoğlu,SAS,80,2073,8.8,0.975609756097561,1.3,7.500000000000001
2005,Tim Duncan,SAS,66,2203,17.8,0.8048780487804879,-0.75,18.55
2006,Manu Ginóbili,SAS,65,1813,7.3,0.7926829268292683,1.7999999999999998,5.5
2006,Tony Parker,SAS,80,2715,7.3,0.975609756097561,1.7999999999999998,5.5
2007,Tim Duncan,SAS,80,2726,14.5,0.975609756097561,-1.4,15.9
2008,Manu Ginóbili,SAS,74,2299,9.3,0.9024390243902439,-0.55,9.850000000000001
2009,Matt Bonner,SAS,81,1928,8.3,0.9878048780487805,0.04999999999999999,8.25
2010,Manu Ginóbili,SAS,75,2150,6.7,0.9146341463414634,0.9,5.8
2011,Manu Ginóbili,SAS,80,2426,13.2,0.975609756097561,-0.1,13.299999999999999
2012,Manu Ginóbili,SAS,34,792,9.7,0.5151515151515151,0.9500000000000001,8.75
2013,Tony Parker,SAS,66,2174,8,0.8048780487804879,-2.75,10.75
2014,Manu Ginóbili,SAS,68,1550,7.7,0.8292682926829268,-1.6,9.3
2015,Kawhi Leonard,SAS,64,2033,11.2,0.7804878048780488,0.8,10.399999999999999
2016,Kawhi Leonard,SAS,72,2380,7.1,0.8780487804878049,0.3,6.8
2017,Patty Mills,SAS,80,1754,6.7,0.975609756097561,1.6,5.1
2018,LaMarcus Aldridge,SAS,75,2509,6.7,0.9146341463414634,-0.95,7.65
2019,Dāvis Bertāns,SAS,76,1632,11.1,0.926829268292683,-1,12.1
2020,Jakob Poeltl,SAS,66,1171,9.6,0.9295774647887324,0,9.6
2021,Jakob Poeltl,SAS,69,1845,10.3,0.9583333333333334,-1.1,11.4
2022,Jakob Poeltl,SAS,68,1970,5.3,0.8292682926829268,-0.9,6.2
1997,Gary Payton,SEA,82,3213,8.3,1,-1.0499999999999998,9.350000000000001
1998,Gary Payton,SEA,82,3145,9.6,1,-0.25,9.85
1999,Detlef Schrempf,SEA,50,1765,13.5,1,3.7,9.8
2000,Gary Payton,SEA,82,3425,14.7,1,-0.85,15.549999999999999
2001,Ruben Patterson,SEA,76,2059,7,0.926829268292683,-1.9,8.9
2002,Jerome James,SEA,56,949,8.9,0.6829268292682927,-0.25,9.15
2003,Vladimir Radmanović,SEA,72,1910,8.8,0.8780487804878049,-0.8999999999999999,9.700000000000001
2004,Ray Allen,SEA,56,2152,5.5,0.6829268292682927,1.1,4.4
2005,Vladimir Radmanović,SEA,63,1856,12.3,0.7682926829268293,2.7,9.600000000000001
2006,Ray Allen,SEA,78,3022,8.8,0.9512195121951219,-2.8499999999999996,11.65
2007,Rashard Lewis,SEA,60,2348,6.5,0.7317073170731707,0.7,5.8
2008,Wally Szczerbiak,SEA,50,1180,11.4,0.6097560975609756,-1.6,13
1997,Walt Williams,TOR,73,2647,7.5,0.8902439024390244,-0.2,7.7
1998,Doug Christie,TOR,78,2939,6.5,0.9512195121951219,-0.1,6.6
1999,Vince Carter,TOR,50,1760,10.8,1,-0.5999999999999999,11.4
2000,Vince Carter,TOR,82,3126,17.5,1,0.3,17.2
2001,Vince Carter,TOR,75,2979,11.6,0.9146341463414634,0.6000000000000001,11
2002,Jerome Williams,TOR,68,1641,6.8,0.8292682926829268,0.4,6.3999999999999995
2003,Vince Carter,TOR,43,1471,9.4,0.524390243902439,-1,10.4
2004,Vince Carter,TOR,73,2785,10.7,0.8902439024390244,-0.7,11.399999999999999
2005,Chris Bosh,TOR,81,3017,5.4,0.9878048780487805,0.1,5.300000000000001
2006,Chris Bosh,TOR,70,2751,6.6,0.8536585365853658,-1.9,8.5
2007,Anthony Parker,TOR,73,2437,14.3,0.8902439024390244,0.6,13.700000000000001
2008,Chris Bosh,TOR,67,2425,11.1,0.8170731707317073,-1.8,12.9
2009,Jamario Moon,TOR,54,1379,7.5,0.6585365853658537,-1.95,9.45
2010,Amir Johnson,TOR,82,1453,6.7,1,-0.2,6.9
2011,Julian Wright,TOR,52,766,8.3,0.6341463414634146,-3.1,11.4
2012,Jamaal Magloire,TOR,34,374,11.3,0.5151515151515151,-1.65,12.950000000000001
2013,Amir Johnson,TOR,81,2325,15.1,0.9878048780487805,-3.25,18.35
2014,Greivis Vásquez,TOR,61,1314,8.2,0.7439024390243902,-0.35,8.549999999999999
2015,Tyler Hansbrough,TOR,74,1058,9.7,0.9024390243902439,-0.8,10.5
2016,Patrick Patterson,TOR,79,2020,11,0.9634146341463414,-1.3,12.3
2017,Patrick Patterson,TOR,65,1599,10.4,0.7926829268292683,-3.55,13.95
2018,Fred VanVleet,TOR,76,1520,7,0.926829268292683,-0.8,7.8
2019,Danny Green,TOR,80,2216,18.1,0.975609756097561,2.55,15.55
2020,Pascal Siakam,TOR,60,2110,6.2,0.8333333333333334,-0.5,6.7
2021,Pascal Siakam,TOR,56,2006,8.6,0.7777777777777778,-0.9,9.5
2022,Pascal Siakam,TOR,68,2578,6.6,0.8292682926829268,-0.1,6.699999999999999
1997,Jeff Hornacek,UTA,82,2592,22.7,1,-6.25,28.95
1998,Karl Malone,UTA,81,3030,17.4,0.9878048780487805,-3.5,20.9
1999,Karl Malone,UTA,49,1832,13,0.98,-5.45,18.45
2000,Bryon Russell,UTA,82,2900,16,1,-0.5,16.5
2001,John Stockton,UTA,82,2397,18.5,1,-1.15,19.65
2002,Andrei Kirilenko,UTA,82,2151,15.5,1,1.6,13.9
2003,Greg Ostertag,UTA,81,1926,11.9,0.9878048780487805,-0.9,12.8
2004,Andrei Kirilenko,UTA,78,2895,11.4,0.9512195121951219,-2.5,13.9
2005,Andrei Kirilenko,UTA,41,1349,12.7,0.5,-2.2,14.899999999999999
2006,Andrei Kirilenko,UTA,69,2604,12.3,0.8414634146341463,-0.25,12.55
2007,Gordan Giriček,UTA,61,1188,6.1,0.7439024390243902,-0.5,6.6
2008,Kyle Korver,UTA,50,1075,5.6,0.6097560975609756,0,5.6
2009,Andrei Kirilenko,UTA,67,1831,8.5,0.8170731707317073,0.8500000000000001,7.65
2010,Deron Williams,UTA,76,2802,7.3,0.926829268292683,-1.6,8.9
2011,C.J. Miles,UTA,78,1969,6.8,0.9512195121951219,2,4.8
2012,Paul Millsap,UTA,64,2100,12,0.9696969696969697,-2.1,14.1
2013,DeMarre Carroll,UTA,66,1111,9.2,0.8048780487804879,0,9.2
2014,Trey Burke,UTA,70,2262,4.5,0.8536585365853658,0.2,4.3
2015,Dante Exum,UTA,82,1817,6.1,1,1.1,5
2016,Rudy Gobert,UTA,61,1932,4.8,0.7439024390243902,0.45,4.35
2017,Rudy Gobert,UTA,81,2744,11.6,0.9878048780487805,-2,13.6
2018,Raul Neto,UTA,41,498,7.8,0.5,0,7.8
2018,Rudy Gobert,UTA,56,1816,7.8,0.6829268292682927,0,7.8
2019,Thabo Sefolosha,UTA,50,609,6.7,0.6097560975609756,1.4,5.300000000000001
2020,Rudy Gobert,UTA,68,2333,10.9,0.9444444444444444,-0.4,11.3
2021,Rudy Gobert,UTA,71,2187,19.1,0.9861111111111112,1.4,17.700000000000003
2022,Rudy Gobert,UTA,66,2120,7.1,0.8048780487804879,1.35,5.75
1997,George Lynch,VAN,41,1059,3.7,0.5,0.4,3.3000000000000003
1998,Lee Mayberry,VAN,79,1835,9.4,0.9634146341463414,-0.6,10
1999,Pete Chilcutt,VAN,46,697,4.2,0.92,-0.2,4.4
2000,Grant Long,VAN,42,920,5.5,0.5121951219512195,-0.7,6.2
2001,Mahmoud Abdul-Rauf,VAN,41,486,5.2,0.5,0.6,4.6000000000000005
1998,Ben Wallace,WAS,67,1124,12,0.8170731707317073,-1.3,13.3
1999,Ben Wallace,WAS,46,1231,9.9,0.92,-1.2,11.1
2000,Aaron Williams,WAS,81,1545,8.1,0.9878048780487805,0.10000000000000003,8
2001,Popeye Jones,WAS,45,638,4.7,0.5487804878048781,-1.55,6.25
2002,Popeye Jones,WAS,79,1920,6.8,0.9634146341463414,-0.2,7
2003,Brendan Haywood,WAS,81,1930,3.3,0.9878048780487805,-0.1,3.4
2004,Mitchell Butler,WAS,41,552,10,0.5,1.55,8.45
2005,Brendan Haywood,WAS,68,1865,12.2,0.8292682926829268,-3.3,15.5
2006,Antawn Jamison,WAS,82,3288,8.3,1,1,7.300000000000001
2007,Gilbert Arenas,WAS,74,2942,13.4,0.9024390243902439,-0.65,14.05
2008,Antawn Jamison,WAS,79,3061,14,0.9634146341463414,1.9,12.1
2009,Nick Young,WAS,82,1837,6.3,1,-0.6,6.8999999999999995
2010,Brendan Haywood,WAS,49,1614,6.2,0.5975609756097561,0.1,6.1000000000000005
2011,Cartier Martin,WAS,52,542,11.5,0.6341463414634146,-1.2000000000000002,12.7
2012,Kevin Séraphin,WAS,57,1176,7.2,0.8636363636363636,-0.5,7.7
2013,Nenê,WAS,61,1659,10.1,0.7439024390243902,-0.5,10.6
2014,Marcin Gortat,WAS,81,2655,11.3,0.9878048780487805,2.8,8.5
2015,John Wall,WAS,79,2837,12.9,0.9634146341463414,-1.8,14.700000000000001
2016,John Wall,WAS,77,2784,4.8,0.9390243902439024,2.35,2.4499999999999997
2017,Bradley Beal,WAS,77,2684,12.3,0.9390243902439024,1.9,10.4
2018,Otto Porter,WAS,77,2432,11.8,0.9390243902439024,0.09999999999999998,11.700000000000001
2019,Troy Brown Jr.,WAS,52,730,3.7,0.6341463414634146,1.1,2.6
2020,Dāvis Bertāns,WAS,54,1583,7.9,0.75,-0.3,8.200000000000001
2021,Dāvis Bertāns,WAS,57,1464,6.4,0.7916666666666666,0.2,6.2
