,PLAYER_ID,PLAYER_NAME,G,MIN,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,DEF_BOXOUTS,DEF_LOOSE_BALLS_RECOVERED,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
0,1713,Vince Carter,267,5032.0,12,545,557,318,419,53,0.6979813664596274,0.4083850931677019,0.8183229813664596,0.639751552795031,0.7888198757763976,0.31521739130434784,3.6684782608695654
1,1717,Dirk Nowitzki,182,4119.0,0,909,285,167,548,23,0.07841614906832298,0.7795031055900621,0.10714285714285714,0.18478260869565216,0.9394409937888198,0.09472049689440994,2.1840062111801237
3,1891,Jason Terry,125,2179.0,1,200,232,153,30,15,0.281055900621118,0.2639751552795031,0.75,0.7267080745341615,0.18322981366459629,0.12267080745341614,2.327639751552795
5,1938,Manu Ginobili,134,2590.0,25,179,151,271,71,20,0.9611801242236024,0.09006211180124224,0.04192546583850932,0.967391304347826,0.4301242236024845,0.15527950310559005,2.645962732919255
7,2037,Jamal Crawford,227,5027.0,1,222,239,232,40,41,0.18788819875776397,0.007763975155279503,0.007763975155279503,0.327639751552795,0.09006211180124224,0.18633540372670807,0.8074534161490683
8,2199,Tyson Chandler,174,3543.0,4,976,154,127,564,25,0.4720496894409938,0.8633540372670807,0.004658385093167702,0.11645962732919254,0.9798136645962733,0.12577639751552794,2.562111801242236
9,2200,Pau Gasol,171,3800.0,2,1462,201,89,446,23,0.30745341614906835,0.984472049689441,0.018633540372670808,0.012422360248447204,0.8928571428571429,0.09937888198757763,2.315217391304348
10,2207,Joe Johnson,134,3050.0,0,286,338,107,109,24,0.07841614906832298,0.29037267080745344,0.8198757763975155,0.10403726708074534,0.5559006211180124,0.17080745341614906,2.0194099378881987
11,2210,Richard Jefferson,99,1777.0,7,249,217,71,17,4,0.827639751552795,0.6086956521739131,0.9332298136645962,0.17080745341614906,0.11645962732919254,0.055900621118012424,2.7127329192546585
12,2216,Zach Randolph,132,3294.0,1,551,300,174,248,15,0.23136645962732919,0.6956521739130435,0.4409937888198758,0.4472049689440994,0.7639751552795031,0.07453416149068323,2.6537267080745344
13,2225,Tony Parker,174,3661.0,1,230,264,123,57,33,0.21894409937888198,0.055900621118012424,0.14596273291925466,0.09006211180124224,0.21894409937888198,0.23136645962732919,0.9611801242236025
15,2399,Mike Dunleavy,53,841.0,4,100,87,32,0,0,0.860248447204969,0.4860248447204969,0.6816770186335404,0.14130434782608695,0.021739130434782608,0.023291925465838508,2.2142857142857144
16,2403,Nene,161,2502.0,15,620,265,219,333,28,0.90527950310559,0.8198757763975155,0.7375776397515528,0.8975155279503105,0.9409937888198758,0.38198757763975155,4.683229813664596
17,2440,Matt Barnes,74,1776.0,1,243,235,120,0,0,0.3167701863354037,0.59472049689441,0.9782608695652174,0.7049689440993789,0.021739130434782608,0.023291925465838508,2.639751552795031
19,2544,LeBron James,379,13662.0,61,1236,946,770,527,200,0.8462732919254659,0.2453416149068323,0.11024844720496894,0.5295031055900621,0.5745341614906833,0.6863354037267081,2.9922360248447206
20,2546,Carmelo Anthony,358,10718.0,1,969,1093,482,631,67,0.16149068322981366,0.24378881987577639,0.656832298136646,0.29347826086956524,0.703416149068323,0.10714285714285714,2.1661490683229814
21,2548,Dwyane Wade,199,5213.0,2,497,471,387,139,69,0.2608695652173913,0.30124223602484473,0.42701863354037267,0.7888198757763976,0.41304347826086957,0.5652173913043478,2.7562111801242235
23,2561,David West,141,1853.0,2,683,186,181,211,16,0.46273291925465837,0.9767080745341615,0.6288819875776398,0.9425465838509317,0.8819875776397516,0.2111801242236025,4.104037267080746
25,2564,Boris Diaw,73,1283.0,0,214,92,39,0,0,0.07841614906832298,0.6925465838509317,0.13819875776397517,0.05124223602484472,0.021739130434782608,0.023291925465838508,1.0054347826086956
27,2571,Leandro Barbosa,67,963.0,2,37,43,67,0,0,0.6708074534161491,0.0015527950310559005,0.006211180124223602,0.7204968944099379,0.021739130434782608,0.023291925465838508,1.4440993788819878
28,2585,Zaza Pachulia,207,3118.0,4,902,234,289,469,31,0.5124223602484472,0.8850931677018633,0.17236024844720496,0.922360248447205,0.9642857142857143,0.27639751552795033,3.732919254658385
30,2594,Kyle Korver,268,5621.0,25,678,533,246,257,50,0.84472049689441,0.5093167701863354,0.5232919254658385,0.25,0.6381987577639752,0.2251552795031056,2.9906832298136647
32,2730,Dwight Howard,362,8365.0,0,2001,441,510,701,56,0.07841614906832298,0.7996894409937888,0.017080745341614908,0.6055900621118012,0.7903726708074534,0.11490683229813664,2.4060559006211175
34,2733,Shaun Livingston,211,3441.0,1,384,323,172,75,40,0.2267080745341615,0.44254658385093165,0.5031055900621118,0.391304347826087,0.34937888198757766,0.43167701863354035,2.3447204968944098
35,2734,Devin Harris,204,3498.0,39,227,248,246,100,54,0.9736024844720497,0.06987577639751552,0.12422360248447205,0.7313664596273292,0.4440993788819876,0.734472049689441,3.0776397515527947
36,2736,Luol Deng,79,1891.0,2,316,233,94,32,7,0.4518633540372671,0.6940993788819876,0.9394409937888198,0.38664596273291924,0.2531055900621118,0.06987577639751552,2.795031055900621
37,2738,Andre Iguodala,323,7558.0,10,775,651,558,458,130,0.5217391304347826,0.36490683229813664,0.35714285714285715,0.7841614906832298,0.7127329192546584,0.8493788819875776,3.5900621118012426
38,2743,Kris Humphries,56,689.0,0,194,37,34,0,0,0.07841614906832298,0.8742236024844721,0.023291925465838508,0.37732919254658387,0.021739130434782608,0.023291925465838508,1.3982919254658386
39,2744,Al Jefferson,102,1415.0,11,396,58,73,100,9,0.9363354037267081,0.8711180124223602,0.003105590062111801,0.42701863354037267,0.7484472049689441,0.10869565217391304,3.0947204968944098
41,2747,JR Smith,138,3732.0,5,290,373,227,211,52,0.5295031055900621,0.15217391304347827,0.6180124223602484,0.6024844720496895,0.6894409937888198,0.6195652173913043,3.2111801242236027
42,2749,Jameer Nelson,125,3058.0,9,263,251,137,36,20,0.7577639751552795,0.20186335403726707,0.27639751552795033,0.2888198757763975,0.14596273291925466,0.11180124223602485,1.7826086956521738
43,2754,Tony Allen,93,2187.0,0,255,233,253,13,7,0.07841614906832298,0.47360248447204967,0.7515527950310559,0.9875776397515528,0.07453416149068323,0.06366459627329192,2.429347826086956
45,2757,Beno Udrih,39,560.0,1,60,49,32,0,0,0.6071428571428571,0.40062111801242234,0.37422360248447206,0.5419254658385093,0.021739130434782608,0.023291925465838508,1.968944099378882
47,2772,Trevor Ariza,323,10186.0,19,867,848,865,349,136,0.6242236024844721,0.1972049689440994,0.296583850931677,0.8866459627329193,0.5372670807453416,0.5760869565217391,3.1180124223602483
49,101106,Andrew Bogut,62,933.0,18,258,30,41,81,1,0.9968944099378882,0.8649068322981367,0.0015527950310559005,0.2546583850931677,0.8090062111801242,0.04813664596273292,2.9751552795031055
50,101107,Marvin Williams,287,7563.0,8,1472,810,469,790,90,0.453416149068323,0.7422360248447205,0.7686335403726708,0.6211180124223602,0.8618012422360248,0.4503105590062112,3.8975155279503104
51,101108,Chris Paul,382,12172.0,17,584,708,1162,214,228,0.5357142857142857,0.012422360248447204,0.040372670807453416,0.9332298136645962,0.2717391304347826,0.9099378881987578,2.7034161490683233
52,101109,Raymond Felton,195,3444.0,3,414,346,254,94,47,0.38975155279503104,0.5046583850931677,0.6366459627329193,0.781055900621118,0.42701863354037267,0.6040372670807453,3.343167701863354
53,101112,Channing Frye,163,2434.0,5,822,216,98,235,12,0.6677018633540373,0.9549689440993789,0.391304347826087,0.17546583850931677,0.84472049689441,0.08229813664596274,3.116459627329193
54,101114,Deron Williams,64,1657.0,6,195,154,80,0,0,0.7996894409937888,0.4782608695652174,0.4813664596273292,0.36024844720496896,0.021739130434782608,0.023291925465838508,2.164596273291926
55,101123,Gerald Green,161,2940.0,1,410,322,120,116,46,0.2484472049689441,0.6024844720496895,0.796583850931677,0.19409937888198758,0.5791925465838509,0.7562111801242236,3.1770186335403725
56,101127,Jarrett Jack,64,1581.0,3,111,164,68,41,36,0.6335403726708074,0.09937888198757763,0.6909937888198758,0.234472049689441,0.40217391304347827,0.9782608695652174,3.0388198757763973
57,101133,Ian Mahinmi,180,3006.0,15,969,250,293,664,45,0.8742236024844721,0.9409937888198758,0.29347826086956524,0.9394409937888198,0.9984472049689441,0.7080745341614907,4.754658385093168
58,101135,David Lee,79,1477.0,3,376,146,58,0,0,0.656832298136646,0.8354037267080745,0.6055900621118012,0.15838509316770186,0.021739130434782608,0.023291925465838508,2.3012422360248452
60,101139,CJ Miles,210,4133.0,21,409,411,223,172,40,0.8757763975155279,0.33540372670807456,0.6086956521739131,0.484472049689441,0.6024844720496895,0.26242236024844723,3.1692546583850936
61,101141,Ersan Ilyasova,298,6237.0,130,1050,582,427,510,76,0.9984472049689441,0.6987577639751553,0.4891304347826087,0.7127329192546584,0.7872670807453416,0.4720496894409938,4.158385093167702
62,101145,Monta Ellis,74,1998.0,8,166,183,163,0,0,0.8338509316770186,0.18478260869565216,0.4549689440993789,0.8618012422360248,0.021739130434782608,0.023291925465838508,2.380434782608696
63,101150,Lou Williams,422,10661.0,16,643,880,619,194,151,0.5652173913043478,0.04503105590062112,0.281055900621118,0.5605590062111802,0.2841614906832298,0.6366459627329193,2.372670807453416
64,101161,Amir Johnson,205,3307.0,13,1045,176,212,455,27,0.8245341614906833,0.9316770186335404,0.020186335403726708,0.6506211180124224,0.9472049689440993,0.18944099378881987,3.563664596273292
65,101162,Marcin Gortat,211,5380.0,43,1622,290,165,635,38,0.9425465838509317,0.9037267080745341,0.026397515527950312,0.055900621118012424,0.8975155279503105,0.12732919254658384,2.9534161490683233
67,101181,Jose Calderon,147,2085.0,10,193,214,135,62,40,0.8664596273291926,0.2717391304347826,0.6708074534161491,0.6614906832298136,0.46273291925465837,0.922360248447205,3.8555900621118013
70,200746,LaMarcus Aldridge,354,11009.0,0,3317,858,436,1587,95,0.07841614906832298,0.9021739130434783,0.2080745341614907,0.16614906832298137,0.953416149068323,0.2096273291925466,2.517857142857143
71,200751,Randy Foye,69,1284.0,3,146,83,61,0,0,0.6940993788819876,0.4580745341614907,0.07453416149068323,0.34937888198757766,0.021739130434782608,0.023291925465838508,1.6211180124223603
72,200752,Rudy Gay,341,7943.0,11,1140,851,545,474,106,0.5341614906832298,0.6180124223602484,0.7717391304347826,0.717391304347826,0.7096273291925466,0.5745341614906833,3.9254658385093166
73,200755,JJ Redick,328,8997.0,43,739,581,272,261,73,0.8633540372670807,0.17701863354037267,0.07298136645962733,0.04813664596273292,0.4518633540372671,0.18478260869565216,1.7981366459627328
74,200757,Thabo Sefolosha,191,3447.0,2,501,364,380,260,43,0.32608695652173914,0.6273291925465838,0.7313664596273292,0.9798136645962733,0.765527950310559,0.48757763975155277,3.9177018633540373
75,200765,Rajon Rondo,312,7368.0,15,355,597,620,87,126,0.6614906832298136,0.013975155279503106,0.2546583850931677,0.8850931677018633,0.14906832298136646,0.843167701863354,2.8074534161490683
76,200768,Kyle Lowry,370,12800.0,155,905,1011,956,431,222,0.9829192546583851,0.10093167701863354,0.21739130434782608,0.7996894409937888,0.532608695652174,0.8540372670807453,3.487577639751553
78,200771,Sergio Rodriguez,68,1517.0,1,98,86,86,0,0,0.34937888198757766,0.06832298136645963,0.034161490683229816,0.5372670807453416,0.021739130434782608,0.023291925465838508,1.03416149068323
80,200782,P.J. Tucker,440,13123.0,87,1615,1443,868,1172,237,0.9161490683229814,0.5279503105590062,0.8074534161490683,0.687888198757764,0.8229813664596274,0.8850931677018633,4.64751552795031
81,200794,Paul Millsap,317,8159.0,29,1604,1003,659,535,111,0.7919254658385093,0.7468944099378882,0.937888198757764,0.8478260869565217,0.7313664596273292,0.5993788819875776,4.65527950310559
82,200826,J.J. Barea,171,3576.0,8,165,251,104,56,56,0.6863354037267081,0.009316770186335404,0.12267080745341614,0.03881987577639751,0.2204968944099379,0.7593167701863354,1.8369565217391304
83,201142,Kevin Durant,298,10301.0,12,1525,1051,487,312,115,0.484472049689441,0.639751552795031,0.6583850931677019,0.34316770186335405,0.468944099378882,0.37888198757763975,2.9736024844720497
84,201143,Al Horford,372,11256.0,0,3052,1187,488,1347,123,0.07841614906832298,0.8540372670807453,0.7282608695652174,0.2422360248447205,0.90527950310559,0.34316770186335405,3.15139751552795
85,201144,Mike Conley,321,9926.0,25,787,938,668,117,132,0.7204968944099379,0.15838509316770186,0.5139751552795031,0.703416149068323,0.14751552795031056,0.5698757763975155,2.8136645962732914
86,201145,Jeff Green,415,10103.0,47,1781,1198,375,739,90,0.8571428571428571,0.7127329192546584,0.9037267080745341,0.12888198757763975,0.7577639751552795,0.2267080745341615,3.5869565217391304
87,201147,Corey Brewer,190,3015.0,18,390,360,339,61,59,0.9037267080745341,0.5667701863354038,0.9145962732919255,0.9829192546583851,0.32142857142857145,0.9316770186335404,4.62111801242236
88,201148,Brandan Wright,56,828.0,0,253,64,48,99,9,0.07841614906832298,0.9161490683229814,0.20341614906832298,0.5582298136645962,0.9037267080745341,0.3408385093167702,3.0007763975155277
89,201149,Joakim Noah,100,1798.0,5,495,154,97,173,13,0.734472049689441,0.860248447204969,0.34937888198757766,0.4813664596273292,0.843167701863354,0.13198757763975155,3.400621118012422
90,201150,Spencer Hawes,54,797.0,0,217,57,25,0,0,0.07841614906832298,0.8555900621118012,0.13509316770186336,0.06366459627329192,0.021739130434782608,0.023291925465838508,1.1777950310559009
91,201152,Thaddeus Young,420,11421.0,89,1954,1517,1178,837,183,0.937888198757764,0.7049689440993789,0.9813664596273292,0.9627329192546584,0.7593167701863354,0.7841614906832298,5.130434782608696
92,201155,Rodney Stuckey,39,696.0,1,61,61,24,0,0,0.5489130434782609,0.21739130434782608,0.3804347826086957,0.09782608695652174,0.021739130434782608,0.023291925465838508,1.2895962732919257
93,201156,Nick Young,144,2986.0,4,296,272,160,99,30,0.5279503105590062,0.33695652173913043,0.44254658385093165,0.4611801242236025,0.5279503105590062,0.281055900621118,2.577639751552795
94,201158,Marco Belinelli,290,6423.0,1,528,761,289,137,61,0.18012422360248448,0.17857142857142858,0.9006211180124224,0.2950310559006211,0.34006211180124224,0.2484472049689441,2.142857142857143
95,201160,Jason Smith,127,1544.0,7,431,199,55,130,3,0.8478260869565217,0.8695652173913043,0.968944099378882,0.11180124223602485,0.7934782608695652,0.052795031055900624,3.6444099378881987
96,201162,Jared Dudley,228,3714.0,26,655,342,223,437,41,0.9192546583850931,0.7158385093167702,0.4673913043478261,0.5869565217391305,0.8959627329192547,0.36645962732919257,3.951863354037267
97,201163,Wilson Chandler,231,6453.0,0,901,689,235,304,80,0.07841614906832298,0.6040372670807453,0.7577639751552795,0.11956521739130435,0.6444099378881988,0.4829192546583851,2.687111801242236
99,201167,Arron Afflalo,114,2262.0,0,228,220,42,70,8,0.07841614906832298,0.35403726708074534,0.5760869565217391,0.007763975155279503,0.4782608695652174,0.06677018633540373,1.5613354037267084
102,201188,Marc Gasol,322,9529.0,54,2510,518,530,1186,91,0.889751552795031,0.8462732919254659,0.029503105590062112,0.5108695652173914,0.9239130434782609,0.2562111801242236,3.4565217391304346
103,201196,Ramon Sessions,78,1203.0,0,84,110,64,2,6,0.07841614906832298,0.09161490683229814,0.4503105590062112,0.4518633540372671,0.049689440993788817,0.08385093167701864,1.2057453416149069
105,201228,C.J. Watson,62,1013.0,4,74,95,95,0,0,0.8307453416149069,0.11956521739130435,0.5,0.9270186335403726,0.021739130434782608,0.023291925465838508,2.422360248447205
106,201229,Anthony Tolliver,275,5284.0,54,840,516,177,575,71,0.9658385093167702,0.6708074534161491,0.5822981366459627,0.08850931677018634,0.8680124223602484,0.5869565217391305,3.762422360248447
108,201563,Michael Beasley,156,2865.0,0,432,324,172,119,29,0.07841614906832298,0.6459627329192547,0.8478260869565217,0.5854037267080745,0.6009316770186336,0.2888198757763975,3.047360248447205
109,201565,Derrick Rose,266,7106.0,9,586,574,318,49,84,0.5031055900621118,0.18012422360248448,0.25,0.2841614906832298,0.08385093167701864,0.4472049689440994,1.7484472049689441
110,201566,Russell Westbrook,434,15441.0,31,843,831,1185,188,270,0.6521739130434783,0.026397515527950312,0.024844720496894408,0.8167701863354038,0.15372670807453417,0.860248447204969,2.53416149068323
111,201567,Kevin Love,296,8201.0,63,1123,680,289,726,92,0.9332298136645962,0.5962732919254659,0.2888198757763975,0.10559006211180125,0.8198757763975155,0.38509316770186336,3.12888198757764
112,201568,Danilo Gallinari,331,9592.0,36,1343,848,393,473,79,0.812111801242236,0.6071428571428571,0.38509316770186336,0.19875776397515527,0.6475155279503105,0.1972049689440994,2.8478260869565215
113,201569,Eric Gordon,332,10110.0,8,707,687,415,277,100,0.37422360248447206,0.09472049689440994,0.09316770186335403,0.20031055900621117,0.42857142857142855,0.2686335403726708,1.4596273291925466
114,201571,D.J. Augustin,403,8999.0,32,393,647,295,200,116,0.7934782608695652,0.006211180124223602,0.14130434782608695,0.08074534161490683,0.35093167701863354,0.5263975155279503,1.8990683229813663
115,201572,Brook Lopez,381,10296.0,0,5050,1156,418,1494,87,0.07841614906832298,1.0,0.8416149068322981,0.18944099378881987,0.9565217391304348,0.20496894409937888,3.2709627329192545
116,201573,Jerryd Bayless,76,1653.0,3,158,149,74,26,27,0.6195652173913043,0.3059006211180124,0.42080745341614906,0.2857142857142857,0.2236024844720497,0.8074534161490683,2.6630434782608696
117,201575,Brandon Rush,47,1030.0,3,124,99,42,0,0,0.7531055900621118,0.5062111801242236,0.5559006211180124,0.19254658385093168,0.021739130434782608,0.023291925465838508,2.0527950310559007
118,201577,Robin Lopez,392,8491.0,6,3561,692,134,1266,40,0.36024844720496896,0.9937888198757764,0.2577639751552795,0.003105590062111801,0.9627329192546584,0.07919254658385093,2.656832298136646
119,201578,Marreese Speights,134,1961.0,53,540,145,67,136,8,1.0,0.8618012422360248,0.16459627329192547,0.09316770186335403,0.7453416149068323,0.07142857142857142,2.936335403726708
120,201579,Roy Hibbert,48,682.0,0,292,33,29,0,0,0.07841614906832298,0.9953416149068323,0.009316770186335404,0.2251552795031056,0.021739130434782608,0.023291925465838508,1.3532608695652175
121,201580,JaVale McGee,405,6005.0,2,2208,530,324,742,49,0.2468944099378882,0.9751552795031055,0.38354037267080743,0.4829192546583851,0.9208074534161491,0.18788819875776397,3.1972049689440993
122,201582,Alexis Ajinca,39,584.0,1,193,39,46,0,0,0.593167701863354,0.9472049689440993,0.08540372670807453,0.8291925465838509,0.021739130434782608,0.023291925465838508,2.5
123,201583,Ryan Anderson,165,4176.0,22,769,332,102,388,21,0.8788819875776398,0.7236024844720497,0.2267080745341615,0.017080745341614908,0.8369565217391305,0.08540372670807453,2.768633540372671
124,201584,Courtney Lee,211,5542.0,7,487,491,372,93,61,0.5,0.21894409937888198,0.38819875776397517,0.7003105590062112,0.2484472049689441,0.35714285714285715,2.4130434782608696
125,201585,Kosta Koufos,184,3312.0,0,1067,226,196,429,26,0.07841614906832298,0.937888198757764,0.09782608695652174,0.5745341614906833,0.9347826086956522,0.16925465838509315,2.7927018633540373
126,201586,Serge Ibaka,379,9843.0,2,2925,964,290,1193,94,0.18944099378881987,0.8944099378881988,0.5900621118012422,0.04192546583850932,0.9099378881987578,0.2577639751552795,2.883540372670807
127,201587,Nicolas Batum,364,10755.0,17,1417,1030,692,222,146,0.5760869565217391,0.5822981366459627,0.5496894409937888,0.656832298136646,0.33229813664596275,0.59472049689441,3.29192546583851
128,201588,George Hill,319,7854.0,17,782,879,493,245,129,0.6770186335403726,0.34316770186335405,0.8322981366459627,0.6335403726708074,0.4829192546583851,0.8167701863354038,3.7857142857142856
129,201589,Darrell Arthur,60,780.0,1,193,64,70,46,1,0.5108695652173914,0.8183229813664596,0.2748447204968944,0.9099378881987578,0.7049689440993789,0.049689440993788817,3.2686335403726714
130,201596,Mario Chalmers,66,1421.0,13,90,88,128,57,45,0.9580745341614907,0.059006211180124224,0.059006211180124224,0.9130434782608695,0.5916149068322981,0.9984472049689441,3.5791925465838506
131,201599,DeAndre Jordan,388,10142.0,5,2469,647,358,1039,81,0.2950310559006211,0.8105590062111802,0.06366459627329192,0.10714285714285714,0.8555900621118012,0.17391304347826086,2.3059006211180124
132,201600,Omer Asik,49,664.0,0,188,34,25,41,1,0.07841614906832298,0.8773291925465838,0.012422360248447204,0.13509316770186336,0.7220496894409938,0.05124223602484472,1.8765527950310559
133,201601,Luc Mbah a Moute,148,3437.0,5,679,333,272,198,33,0.5543478260869565,0.75,0.5698757763975155,0.8322981366459627,0.6940993788819876,0.2593167701863354,3.6599378881987574
134,201609,Goran Dragic,314,9326.0,25,961,633,481,121,118,0.7282608695652174,0.36645962732919257,0.09161490683229814,0.42391304347826086,0.17391304347826086,0.5077639751552795,2.291925465838509
135,201627,Anthony Morrow,49,714.0,0,41,46,43,0,0,0.07841614906832298,0.034161490683229816,0.06987577639751552,0.593167701863354,0.021739130434782608,0.023291925465838508,0.8206521739130433
137,201933,Blake Griffin,314,9325.0,106,1309,938,413,662,112,0.9767080745341615,0.610248447204969,0.6413043478260869,0.2593167701863354,0.7515527950310559,0.46273291925465837,3.701863354037267
138,201935,James Harden,408,14877.0,28,1644,1137,1188,559,219,0.6288819875776398,0.42701863354037267,0.19099378881987578,0.8400621118012422,0.5667701863354038,0.6940993788819876,3.3478260869565215
139,201936,Tyreke Evans,161,3797.0,5,344,406,252,71,76,0.5201863354037267,0.2515527950310559,0.765527950310559,0.6894409937888198,0.29347826086956524,0.9456521739130435,3.4658385093167703
140,201937,Ricky Rubio,387,11380.0,33,881,931,1127,196,227,0.7453416149068323,0.14906832298136646,0.265527950310559,0.9487577639751553,0.2608695652173913,0.9425465838509317,3.312111801242236
141,201939,Stephen Curry,331,11103.0,39,723,834,850,177,168,0.7857142857142857,0.07298136645962733,0.17391304347826086,0.8136645962732919,0.22826086956521738,0.7142857142857143,2.7888198757763973
