,PLAYER_ID,PLAYER_NAME,G,MIN,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,DEF_BOXOUTS,DEF_LOOSE_BALLS_RECOVERED,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
818,1629631,De'Andre Hunter,139,4273.0,6,511,446,192,150,50,0.5419254658385093,0.4937888198757764,0.7080745341614907,0.29037267080745344,0.5450310559006211,0.43788819875776397,3.017080745341615
819,1629632,Coby White,195,5505.0,12,580,514,215,44,88,0.6785714285714286,0.3804347826086957,0.4922360248447205,0.15683229813664595,0.09161490683229814,0.782608695652174,2.5822981366459627
820,1629633,Jarrett Culver,134,2343.0,2,247,212,190,33,30,0.38198757763975155,0.38198757763975155,0.42857142857142855,0.8555900621118012,0.18944099378881987,0.515527950310559,2.7531055900621118
821,1629634,Brandon Clarke,181,3961.0,4,891,407,228,271,59,0.43478260869565216,0.7872670807453416,0.6739130434782609,0.5496894409937888,0.7406832298136646,0.7003105590062112,3.8866459627329193
822,1629635,Sekou Doumbouya,96,1639.0,0,204,117,73,90,24,0.07841614906832298,0.5372670807453416,0.13198757763975155,0.2686335403726708,0.6832298136645962,0.687888198757764,2.387422360248447
823,1629636,Darius Garland,181,6044.0,12,416,460,303,67,84,0.6490683229813664,0.08540372670807453,0.18633540372670807,0.39596273291925466,0.13509316770186336,0.6180124223602484,2.0698757763975153
824,1629637,Jaxson Hayes,194,3442.0,4,863,364,190,254,40,0.4813664596273292,0.8229813664596274,0.7329192546583851,0.4984472049689441,0.7608695652173914,0.4301242236024845,3.7267080745341614
825,1629638,Nickeil Alexander-Walker,158,3064.0,6,286,214,253,54,44,0.6428571428571429,0.2841614906832298,0.11645962732919254,0.8711180124223602,0.2748447204968944,0.6661490683229814,2.8555900621118013
826,1629639,Tyler Herro,175,5294.0,1,463,454,194,85,83,0.18322981366459629,0.21583850931677018,0.35403726708074534,0.12267080745341614,0.23136645962732919,0.7608695652173914,1.8680124223602486
827,1629640,Keldon Johnson,161,4661.0,1,493,428,196,125,54,0.19875776397515527,0.38509316770186336,0.4642857142857143,0.21428571428571427,0.4161490683229814,0.4254658385093168,2.1040372670807455
828,1629641,Romeo Langford,98,1424.0,13,170,110,64,34,11,0.9565217391304348,0.4906832298136646,0.20186335403726707,0.2919254658385093,0.37732919254658387,0.15838509316770186,2.4767080745341614
829,1629642,Nassir Little,138,2300.0,0,345,277,71,62,19,0.07841614906832298,0.6428571428571429,0.922360248447205,0.05745341614906832,0.42080745341614906,0.19875776397515527,2.3206521739130435
830,1629643,Chuma Okeke,115,2882.0,3,344,295,246,110,44,0.4440993788819876,0.4891304347826087,0.6661490683229814,0.8881987577639752,0.5729813664596274,0.7236024844720497,3.78416149068323
832,1629645,Kevin Porter Jr.,137,3905.0,2,374,332,249,50,43,0.30124223602484473,0.30745341614906835,0.34006211180124224,0.6475155279503105,0.16925465838509315,0.358695652173913,2.124223602484472
834,1629647,Darius Bazley,185,4767.0,0,777,744,155,150,54,0.07841614906832298,0.6832298136645962,0.9953416149068323,0.07763975155279502,0.4891304347826087,0.40217391304347827,2.7259316770186333
836,1629649,Ignas Brazdeikis,64,838.0,0,93,71,26,19,8,0.07841614906832298,0.4332298136645963,0.33540372670807456,0.06055900621118013,0.36024844720496896,0.2531055900621118,1.5209627329192545
837,1629650,Moses Brown,92,1297.0,2,420,113,70,64,8,0.5698757763975155,0.9425465838509317,0.37111801242236025,0.4860248447204969,0.6490683229813664,0.10248447204968944,3.1211180124223605
838,1629651,Nic Claxton,94,1755.0,0,517,274,98,127,15,0.07841614906832298,0.8913043478260869,0.9968944099378882,0.515527950310559,0.7546583850931677,0.2080745341614907,3.444875776397515
839,1629652,Luguentz Dort,139,4028.0,10,369,500,215,66,74,0.7127329192546584,0.2593167701863354,0.9456521739130435,0.45652173913043476,0.2406832298136646,0.8959627329192547,3.510869565217391
841,1629655,Daniel Gafford,169,2844.0,13,1039,238,171,254,30,0.8509316770186336,0.9736024844720497,0.30745341614906835,0.5900621118012422,0.8245341614906833,0.3167701863354037,3.8633540372670807
842,1629656,Quentin Grimes,46,786.0,0,70,82,63,1,12,0.07841614906832298,0.23136645962732919,0.703416149068323,0.84472049689441,0.04503105590062112,0.7236024844720497,2.626552795031056
844,1629658,Jaylen Hoard,39,663.0,0,74,53,34,13,7,0.07841614906832298,0.4440993788819876,0.2406832298136646,0.41770186335403725,0.3090062111801242,0.31832298136645965,1.8082298136645962
845,1629659,Talen Horton-Tucker,131,2896.0,7,280,320,213,54,41,0.7049689440993789,0.3167701863354037,0.8136645962732919,0.7732919254658385,0.2888198757763975,0.6350931677018633,3.532608695652174
846,1629660,Ty Jerome,112,1917.0,3,121,147,131,35,20,0.5745341614906833,0.05745341614906832,0.19409937888198758,0.7111801242236024,0.2857142857142857,0.30745341614906835,2.1304347826086953
847,1629661,Cameron Johnson,183,4422.0,17,541,367,193,182,56,0.8167701863354038,0.5186335403726708,0.2919254658385093,0.2484472049689441,0.5993788819875776,0.5093167701863354,2.984472049689441
851,1629667,Jalen McDaniels,118,2092.0,5,336,286,128,72,26,0.7003105590062112,0.6770186335403726,0.984472049689441,0.6086956521739131,0.5403726708074534,0.484472049689441,3.995341614906833
853,1629669,Jaylen Nowell,119,1885.0,2,181,143,85,17,18,0.4549689440993789,0.3090062111801242,0.18478260869565216,0.2996894409937888,0.10714285714285714,0.2546583850931677,1.610248447204969
854,1629670,Jordan Nwora,92,1459.0,1,129,155,70,10,12,0.35714285714285715,0.2267080745341615,0.7468944099378882,0.35714285714285715,0.08229813664596274,0.1956521739130435,1.9658385093167703
856,1629672,Eric Paschall,158,3086.0,4,429,288,119,180,33,0.515527950310559,0.6009316770186336,0.4906832298136646,0.14906832298136646,0.7003105590062112,0.3307453416149068,2.7872670807453415
857,1629673,Jordan Poole,184,4545.0,9,239,355,197,51,52,0.6444099378881988,0.020186335403726708,0.2127329192546584,0.2406832298136646,0.13664596273291926,0.41770186335403725,1.672360248447205
859,1629675,Naz Reid,177,3057.0,12,873,326,184,257,34,0.8229813664596274,0.8835403726708074,0.7562111801242236,0.5916149068322981,0.7919254658385093,0.37267080745341613,4.2189440993788825
860,1629676,Isaiah Roby,109,2384.0,4,515,233,193,125,27,0.5869565217391305,0.7717391304347826,0.5854037267080745,0.8540372670807453,0.6614906832298136,0.40062111801242234,3.860248447204969
863,1629680,Matisse Thybulle,196,4270.0,2,489,362,617,66,98,0.2826086956521739,0.4611801242236025,0.33695652173913043,1.0,0.21428571428571427,0.9813664596273292,3.2763975155279503
867,1629684,Grant Williams,209,4056.0,16,790,453,181,316,41,0.8291925465838509,0.7437888198757764,0.8260869565217391,0.2732919254658385,0.7763975155279503,0.2857142857142857,3.734472049689441
868,1629685,Dylan Windler,81,972.0,1,95,90,68,15,22,0.43788819875776397,0.32608695652173914,0.47437888198757766,0.7236024844720497,0.2127329192546584,0.9767080745341615,3.1513975155279503
875,1629717,Armoni Brooks,74,1364.0,1,76,93,88,8,10,0.36180124223602483,0.029503105590062112,0.09627329192546584,0.6599378881987578,0.06987577639751552,0.13664596273291926,1.3540372670807452
878,1629723,John Konchar,134,2048.0,3,191,204,168,34,39,0.5574534161490683,0.2826086956521739,0.6118012422360248,0.8649068322981367,0.24378881987577639,0.9208074534161491,3.481366459627329
881,1629726,Garrison Mathews,147,2977.0,40,238,218,160,73,31,0.9860248447204969,0.16304347826086957,0.15993788819875776,0.468944099378882,0.38664596273291924,0.3059006211180124,2.470496894409938
884,1629731,Dean Wade,126,2263.0,0,379,163,130,105,29,0.07841614906832298,0.6972049689440993,0.14285714285714285,0.5481366459627329,0.639751552795031,0.5170807453416149,2.6234472049689437
889,1629740,Nicolo Melli,105,1608.0,1,298,149,107,178,19,0.33695652173913043,0.7267080745341615,0.4767080745341615,0.6940993788819876,0.8742236024844721,0.44565217391304346,3.5543478260869565
895,1629750,Javonte Green,154,2461.0,3,248,188,247,71,46,0.4906832298136646,0.35248447204968947,0.18944099378881987,0.9565217391304348,0.4503105590062112,0.906832298136646,3.346273291925466
907,1630162,Anthony Edwards,144,4780.0,1,348,355,312,14,77,0.19409937888198758,0.11645962732919254,0.16770186335403728,0.6692546583850931,0.05124223602484472,0.796583850931677,1.9953416149068324
908,1630163,LaMelo Ball,126,3891.0,0,206,269,358,23,70,0.07841614906832298,0.024844720496894408,0.10559006211180125,0.9208074534161491,0.07298136645962733,0.8819875776397516,2.0846273291925463
909,1630164,James Wiseman,39,836.0,1,261,76,9,54,12,0.4891304347826087,0.9254658385093167,0.4332298136645963,0.0015527950310559005,0.7282608695652174,0.6614906832298136,3.239130434782609
910,1630165,Killian Hayes,92,2317.0,2,211,205,247,36,33,0.38354037267080743,0.2546583850931677,0.38664596273291924,0.9751552795031055,0.21739130434782608,0.6490683229813664,2.8664596273291925
911,1630166,Deni Avdija,136,3241.0,2,511,341,174,55,24,0.3338509316770186,0.6645962732919255,0.7236024844720497,0.4642857142857143,0.2562111801242236,0.14130434782608695,2.5838509316770186
912,1630167,Obi Toppin,134,1913.0,1,229,206,82,83,22,0.3059006211180124,0.4968944099378882,0.7795031055900621,0.22981366459627328,0.6164596273291926,0.42080745341614906,2.8493788819875774
913,1630168,Onyeka Okongwu,98,1593.0,2,488,143,86,127,20,0.4968944099378882,0.9177018633540373,0.41459627329192544,0.48757763975155277,0.7857142857142857,0.4953416149068323,3.597826086956522
914,1630169,Tyrese Haliburton,135,4440.0,0,282,322,336,19,68,0.07841614906832298,0.06366459627329192,0.15372670807453417,0.8059006211180124,0.05434782608695652,0.7282608695652174,1.8843167701863353
915,1630170,Devin Vassell,133,2993.0,2,311,202,214,37,50,0.3555900621118012,0.37422360248447206,0.08850931677018634,0.7484472049689441,0.15527950310559005,0.827639751552795,2.549689440993789
916,1630171,Isaac Okoro,134,4154.0,11,489,284,202,90,47,0.7267080745341615,0.4798136645962733,0.09937888198757763,0.36335403726708076,0.3447204968944099,0.39596273291925466,2.4099378881987574
917,1630172,Patrick Williams,88,2405.0,0,289,199,134,69,18,0.07841614906832298,0.5031055900621118,0.2841614906832298,0.5139751552795031,0.44875776397515527,0.14285714285714285,1.9712732919254656
918,1630173,Precious Achiuwa,134,2462.0,5,603,292,113,135,35,0.65527950310559,0.812111801242236,0.90527950310559,0.3167701863354037,0.6816770186335404,0.6459627329192547,4.017080745341615
919,1630174,Aaron Nesmith,98,1243.0,5,179,104,53,41,19,0.8354037267080745,0.6211180124223602,0.3059006211180124,0.2267080745341615,0.5217391304347826,0.7267080745341615,3.2375776397515525
920,1630175,Cole Anthony,112,3332.0,13,239,279,139,15,44,0.8214285714285714,0.11024844720496894,0.3090062111801242,0.2127329192546584,0.055900621118012424,0.5590062111801242,2.0683229813664594
922,1630177,Theo Maledon,116,2686.0,0,262,239,128,25,33,0.07841614906832298,0.3245341614906832,0.3944099378881988,0.35093167701863354,0.11180124223602485,0.4782608695652174,1.7383540372670807
923,1630178,Tyrese Maxey,136,3586.0,2,296,280,155,39,46,0.31521739130434784,0.18167701863354038,0.2111801242236025,0.2391304347826087,0.13043478260869565,0.5186335403726708,1.5962732919254656
925,1630180,Saddiq Bey,152,4613.0,2,298,280,200,136,54,0.2748447204968944,0.06677018633540373,0.05124223602484472,0.24378881987577639,0.4611801242236025,0.4394409937888199,1.5372670807453417
926,1630181,R.J. Hampton,115,2290.0,3,150,209,122,11,32,0.5186335403726708,0.07453416149068323,0.44565217391304346,0.453416149068323,0.059006211180124224,0.6242236024844721,2.175465838509317
927,1630182,Josh Green,106,1484.0,5,125,106,118,13,18,0.7763975155279503,0.19409937888198758,0.13354037267080746,0.8369565217391305,0.10403726708074534,0.4704968944099379,2.515527950310559
928,1630183,Jaden McDaniels,133,3314.0,1,616,376,191,77,43,0.22826086956521738,0.7282608695652174,0.8524844720496895,0.5527950310559007,0.36645962732919257,0.531055900621118,3.2593167701863353
929,1630184,Kira Lewis Jr.,78,1245.0,7,116,119,90,6,20,0.8866459627329193,0.281055900621118,0.5450310559006211,0.7593167701863354,0.06055900621118013,0.7903726708074534,3.3229813664596275
933,1630188,Jalen Smith,78,1080.0,1,233,123,20,48,7,0.40683229813664595,0.7701863354037267,0.8571428571428571,0.006211180124223602,0.6257763975155279,0.11024844720496894,2.77639751552795
936,1630191,Isaiah Stewart,139,3271.0,1,1178,379,106,218,16,0.234472049689441,0.9704968944099379,0.8804347826086957,0.07608695652173914,0.7375776397515528,0.08074534161490683,2.9798136645962736
