seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
30975,2023,5087,Orlando Robinson,C,MIA,31,425,0,0,0,4,96,big_percent,100,7,0,235,84,big,0.5,0.6,1.1,0.129,-2.7,0.7,-2.1,0,FALSE
30976,2023,4777,Oshae Brissett,SF,IND,65,1083,0,4,10,85,1,wing_big_percent,95,6,7,210,79,wing,0.4,0.7,1.1,0.05,-2,-1.2,-3.2,-0.3,FALSE
30977,2023,4189,Otto Porter Jr.,SF,TOR,8,146,10,75,14,0,0,wing_small_percent,89,6,8,198,80,wing,0.2,0.2,0.4,0.142,-1.3,2,0.7,0.1,FALSE
30978,2023,5088,Ousmane Dieng,SF,OKC,39,569,0,3,37,53,7,wing_big_percent,90,6,10,216,82,wing,-0.1,0.6,0.4,0.038,-3.1,-0.5,-3.6,-0.2,FALSE
30979,2023,3698,P.J. Tucker,PF,PHI,75,1920,0,1,82,17,0,wing_big_percent,99,6,5,245,77,wing,0.9,1.7,2.5,0.064,-3.2,0.1,-3,-0.5,FALSE
30980,2023,4778,P.J. Washington,PF,CHO,73,2380,0,0,3,95,3,wing_big_percent,98,6,7,230,79,wing,0.4,2.2,2.6,0.052,-1,-0.3,-1.3,0.4,TRUE
30980,2023,4778,P.J. Washington,PF,CHO,73,2380,0,0,3,95,3,big_percent,98,6,7,230,79,big,0.4,2.2,2.6,0.052,-1,-0.3,-1.3,0.4,FALSE
30981,2023,5089,Paolo Banchero,PF,ORL,72,2430,0,0,27,70,3,wing_big_percent,97,6,10,250,82,wing,-0.3,2.6,2.4,0.047,-0.7,-0.7,-1.5,0.3,FALSE
30982,2023,4437,Pascal Siakam,C,TOR,71,2652,0,0,0,43,57,big_percent,100,6,9,230,81,big,5.2,2.6,7.8,0.141,3.3,-0.1,3.1,3.5,TRUE
30983,2023,4354,Pat Connaughton,SG,MIL,61,1443,1,26,67,6,0,wing_small_percent,93,6,5,209,77,wing,0.7,1.8,2.5,0.085,-1.3,0.3,-1.1,0.3,FALSE
30986,2023,4124,Patrick Beverley,PG,LAL,45,1211,100,0,0,0,0,guard_percent,100,6,1,180,73,guard,0.5,1.3,1.8,0.071,-3.2,1.4,-1.8,0.1,FALSE
30987,2023,4124,Patrick Beverley,PG,CHI,22,605,100,0,0,0,0,guard_percent,100,6,1,180,73,guard,0.3,0.9,1.2,0.096,-2.4,2.2,-0.2,0.3,FALSE
30988,2023,4873,Patrick Williams,PF,CHI,82,2323,0,0,0,89,11,big_percent,100,6,7,215,79,big,0.5,3,3.5,0.072,-1.7,0.4,-1.3,0.4,FALSE
30989,2023,3898,Patty Mills,PG,BRK,40,567,100,0,0,0,0,guard_percent,100,6,1,180,73,guard,0,0.4,0.4,0.035,-1.4,-1.7,-3.1,-0.2,FALSE
30990,2023,3969,Paul George,SG,LAC,56,1939,1,38,51,10,0,wing_small_percent,89,6,8,220,80,wing,2.3,2.3,4.6,0.114,2.4,0.3,2.8,2.3,FALSE
30992,2023,4875,Payton Pritchard,PG,BOS,48,643,100,0,0,0,0,guard_percent,100,6,1,195,73,guard,-0.1,0.7,0.6,0.045,-2.1,-1.2,-3.4,-0.2,FALSE
30995,2023,4876,Precious Achiuwa,C,TOR,55,1140,0,0,9,58,33,big_percent,91,6,8,225,80,big,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,FALSE
30996,2023,5000,Quentin Grimes,SG,NYK,71,2121,0,65,35,0,0,wing_small_percent,100,6,5,205,77,wing,3.2,1.6,4.8,0.108,-0.3,0.1,-0.1,1,TRUE
30997,2023,5092,Quenton Jackson,PG,WAS,9,135,22,62,16,0,0,guard_percent,84,6,5,175,77,guard,0.1,0.1,0.2,0.078,-3.7,-1.5,-5.2,-0.1,FALSE
30999,2023,4877,R.J. Hampton,PG,ORL,26,361,88,12,0,0,0,guard_percent,100,6,4,175,76,guard,0.2,0.4,0.6,0.077,-1.6,0.3,-1.3,0.1,FALSE
31000,2023,4877,R.J. Hampton,PG,DET,21,389,100,0,0,0,0,guard_percent,100,6,4,175,76,guard,-0.1,0.2,0.1,0.01,-3.1,-1.4,-4.4,-0.2,FALSE
31001,2023,5093,RaiQuan Gray,PF,BRK,1,35,0,0,0,35,65,big_percent,100,NA,NA,NA,NA,big,0,0,0.1,0.106,-0.6,-1.4,-2,0,FALSE
31003,2023,4194,Reggie Bullock,SF,DAL,78,2364,0,2,45,51,2,wing_big_percent,96,6,6,205,78,wing,1.3,1.4,2.8,0.056,-2.2,-0.3,-2.6,-0.4,FALSE
31005,2023,4050,Reggie Jackson,PG,LAC,52,1338,100,0,0,0,0,guard_percent,100,6,2,208,74,guard,-0.4,1,0.6,0.02,-2.6,-1,-3.6,-0.6,FALSE
31006,2023,4050,Reggie Jackson,PG,DEN,16,319,88,12,0,0,0,guard_percent,100,6,2,208,74,guard,-0.2,0.2,0.1,0.008,-3.8,-1.3,-5.1,-0.3,FALSE
31008,2023,4051,Ricky Rubio,PG,CLE,33,566,60,40,0,0,0,guard_percent,100,6,2,190,74,guard,-0.2,0.9,0.7,0.062,-3.8,1.1,-2.8,-0.1,FALSE
31009,2023,4782,RJ Barrett,SG,NYK,73,2475,0,18,78,4,0,wing_small_percent,96,6,6,214,78,wing,0.5,1.8,2.2,0.043,-1.2,-1.9,-3.1,-0.7,FALSE
31010,2023,4197,Robert Covington,PF,LAC,48,779,0,0,21,73,6,wing_big_percent,94,6,7,209,79,wing,0.7,1.2,1.9,0.117,-0.5,2.1,1.7,0.7,FALSE
31011,2023,4667,Robert Williams,C,BOS,35,824,0,0,1,46,53,big_percent,99,6,9,237,81,big,2.3,1.6,3.8,0.224,1,2.4,3.3,1.1,FALSE
31013,2023,4443,Rodney McGruder,SG,DET,32,524,0,53,41,6,0,wing_small_percent,94,6,4,205,76,wing,0.5,0.2,0.7,0.068,-0.8,-0.7,-1.5,0.1,FALSE
