season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,team_avg_weighted_npm,avg_wo_leader,npm_diff,avg_wo_trailer
2023,Christian Koloko,TOR,58,802,9.2,0.7073170731707317,0.47538474330493236,0.01088141773332962,0.46450332557160273,NA
2023,Lauri Markkanen,UTA,66,2273,10,0.8048780487804879,1.662371341567598,0.5518413908611173,1.1105299507064808,NA
2023,Kristaps Porziņģis,WAS,65,2120,6.2,0.7926829268292683,1.7476584172615923,1.099507829404966,0.6481505878566263,NA
2023,Dejounte Murray,ATL,74,2693,-5,0.9024390243902439,-0.2212131696260757,NA,-0.8136597818064079,0.5924466121803321
2023,Payton Pritchard,BOS,48,643,-6.6,0.5853658536585366,0.62748472460474225,NA,-0.5846196212658373,1.2121043458705796
2023,Day'Ron Sharpe,BRK,48,552,-13.5,0.5853658536585366,-0.2976897366295874,NA,-1.1698495929385233,0.8721598563089358
2023,Patrick Williams,CHI,82,2323,-8.3,1,-1.7040543305139308,NA,-0.4649546281329786,-1.2390997023809522
2023,Mason Plumlee,CHO,56,1597,-4,0.6829268292682927,-0.14180392385697205,NA,-0.25462719290534386,0.11282326904837181
2023,Lamar Stevens,CLE,62,1120,-5.4,0.7560975609756098,1.1673338739524952,NA,-0.6304391968054621,1.7977730707579573
2023,Reggie Bullock,DAL,78,2364,-4.7,0.9512195121951219,1.4969974593546411,NA,-1.4155674983743596,2.9125649577290007
2023,Jeff Green,DEN,56,1091,-15.8,0.6829268292682927,4.406400366271396,NA,-2.310732500861471,6.717132867132867
2023,Jaden Ivey,DET,74,2304,-11.8,0.9024390243902439,-0.1941684379646512,NA,-1.1143202200489446,0.9201517820842934
2023,JaMychal Green,GSW,57,797,-12.6,0.6951219512195121,1.0500693389325144,NA,-0.9249555892157644,1.9750249281482788
2023,Jabari Smith Jr.,HOU,79,2451,-8.5,0.9634146341463414,-0.8643500130939374,NA,-1.0516522130167472,0.1873021999228097
2023,Andrew Nembhard,IND,75,2073,-5.8,0.9146341463414634,-0.0877250480605476,NA,-0.5951183834700771,0.5073933354095295
2023,Amir Coffey,LAC,50,625,-11.3,0.6097560975609756,0.5572127116200624,NA,-0.534337432221511,1.0915501438415733
2023,Lonnie Walker IV,LAL,56,1297,-10.7,0.6829268292682927,0.8936925872970825,NA,-1.4451519662804364,2.338844553577519
2023,David Roddy,MEM,70,1258,-8.2,0.8536585365853658,2.4654546995703255,NA,-0.30199885368247914,2.7674535532528046
2023,Max Strus,MIA,80,2272,-9.1,0.975609756097561,0.8187481782159575,NA,-1.6080367240123281,2.4267849022282855
2023,MarJon Beauchamp,MIL,52,701,-11.2,0.6341463414634146,3.4477822839334484,NA,-1.047355573624503,4.4951378575579515
2023,Austin Rivers,MIN,52,1016,-7.6,0.6341463414634146,0.603913515782573,NA,-0.7782445350102594,1.3821580507928324
2023,Jaxson Hayes,NOP,47,610,-8.7,0.573170731707317,-0.6339780335272212,NA,-0.052095262656884245,-0.5818827708703369
2023,Jericho Sims,NYK,52,812,-11.8,0.6341463414634146,-0.15456452912615218,NA,-0.7832187467694232,0.628654217643271
2023,Josh Giddey,OKC,76,2367,-9.5,0.926829268292683,0.5026845127059723,NA,-1.0602392444962252,1.5629237572021975
2023,Paolo Banchero,ORL,72,2430,-4.4,0.8780487804878049,0.6413501472915288,NA,-1.181361059306295,1.822711206597824
2023,Georges Niang,PHI,78,1512,-5,0.9512195121951219,1.0270189457742316,NA,-0.28209188342655245,1.309110829200784
2023,Torrey Craig,PHO,79,1948,-9.9,0.9634146341463414,0.047587667832316244,NA,-0.917452982574188,0.9650406504065042
2023,Shaedon Sharpe,POR,80,1779,-7.3,0.975609756097561,4.060403536888203,NA,-0.873115776416518,4.933519313304721
2023,Keegan Murray,SAC,80,2382,-2.6,0.975609756097561,1.1989767838180325,NA,-0.544492769971316,1.7434695537893485
2023,Keldon Johnson,SAS,63,2063,-3.4,0.7682926829268293,1.103579693323366,NA,-0.7105633099016797,1.8141430032250456
2023,Thaddeus Young,TOR,54,795,-8.2,0.6585365853658537,0.47538474330493236,NA,-0.6978809081333079,1.1732656514382402
2023,Simone Fontecchio,UTA,52,766,-15.1,0.6341463414634146,1.662371341567598,NA,-1.1781630980639073,2.8405344396315053
2023,Jordan Goodwin,WAS,62,1106,-4.8,0.7560975609756098,1.7476584172615923,NA,-0.1755412687872009,1.9231996860487932
